time,Houston,pts.away,score,pts.home,Boston
6:19.0,,,89-86,,I. Thomas misses 3-pt shot from 25 ft
6:18.0,,,89-86,,Offensive rebound by J. Sullinger
6:17.0,,,89-86,,Shooting foul by P. Beverley (drawn by J. Sullinger)
6:17.0,,,89-87,1,J. Sullinger makes free throw 1 of 2
6:17.0,,,89-87,,J. Sullinger misses free throw 2 of 2
6:17.0,Defensive rebound by J. Harden,,89-87,,
6:04.0,D. Howard makes 2-pt shot from 1 ft (assist by P. Beverley),2,91-87,,
5:39.0,,,91-87,,A. Bradley misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by J. Harden,,91-87,,
5:32.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,94-87,,
5:14.0,,,94-87,,M. Smart misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by P. Beverley,,94-87,,
5:04.0,J. Harden misses 2-pt shot from 15 ft,,94-87,,
5:03.0,,,94-87,,Defensive rebound by T. Rozier
4:50.0,,,94-87,,I. Thomas misses 2-pt shot from 10 ft
4:48.0,Defensive rebound by D. Howard,,94-87,,
4:43.0,Turnover by D. Howard (lost ball; steal by J. Sullinger),,94-87,,
4:42.0,,,94-89,2,J. Sullinger makes 2-pt shot at rim
4:23.0,J. Terry misses 3-pt shot from 23 ft,,94-89,,
4:22.0,,,94-89,,Defensive rebound by T. Rozier
4:16.0,,,94-89,,I. Thomas misses 2-pt shot from 2 ft (block by J. Harden)
4:15.0,Defensive rebound by Team,,94-89,,
4:15.0,,,94-89,,E. Turner enters the game for T. Rozier
4:15.0,C. Brewer enters the game for J. Terry,,94-89,,
3:56.0,P. Beverley misses 3-pt shot from 25 ft,,94-89,,
3:55.0,,,94-89,,Defensive rebound by Team
3:34.0,,,94-91,2,J. Sullinger makes 2-pt shot from 15 ft (assist by I. Thomas)
3:10.0,J. Harden makes 2-pt shot from 8 ft,2,96-91,,
2:48.0,,,96-91,,A. Bradley misses 3-pt shot from 22 ft
2:47.0,Defensive rebound by P. Beverley,,96-91,,
2:33.0,Shooting foul by A. Bradley (drawn by J. Harden),,96-91,,
2:33.0,Official timeout,,96-91,,
2:33.0,J. Harden makes free throw 1 of 2,1,97-91,,
2:33.0,J. Harden misses free throw 2 of 2,,97-91,,
2:32.0,,,97-91,,Defensive rebound by M. Smart
2:22.0,,,97-91,,Offensive foul by M. Smart
2:22.0,,,97-91,,Turnover by M. Smart (offensive foul)
2:22.0,M. Beasley enters the game for D. Howard,,97-91,,
2:01.0,J. Harden misses 3-pt shot from 27 ft,,97-91,,
2:00.0,Offensive rebound by P. Beverley,,97-91,,
1:44.0,M. Beasley misses 2-pt shot from 1 ft,,97-91,,
1:44.0,,,97-91,,Defensive rebound by E. Turner
1:40.0,D. Howard enters the game for M. Beasley,,97-91,,
1:37.0,,,97-91,,A. Bradley misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by D. Howard,,97-91,,
1:11.0,J. Harden misses 2-pt shot from 19 ft,,97-91,,
1:11.0,Offensive rebound by Team,,97-91,,
1:09.0,Jump ball: D. Howard vs. J. Sullinger (T. Ariza gains possession),,,,Jump ball: D. Howard vs. J. Sullinger (T. Ariza gains possession)
0:48.0,J. Harden makes 2-pt shot from 18 ft,2,99-91,,
0:48.0,,,99-91,,Boston full timeout
0:41.0,,,99-91,,J. Sullinger misses 2-pt shot from 2 ft
0:40.0,,,99-91,,Offensive rebound by J. Sullinger
0:39.0,,,99-91,,J. Sullinger misses 2-pt shot from 4 ft
0:38.0,,,99-91,,Offensive rebound by J. Sullinger
0:37.0,,,99-91,,J. Sullinger misses 2-pt shot from 4 ft (block by D. Howard)
0:35.0,,,99-91,,Offensive rebound by J. Sullinger
0:35.0,,,99-93,2,J. Sullinger makes 2-pt shot from 1 ft
0:32.0,Turnover by J. Harden (lost ball; steal by A. Bradley),,99-93,,
0:30.0,,,99-93,,Turnover by Team (offensive goaltending)
0:30.0,Houston full timeout,,99-93,,
0:30.0,,,99-93,,T. Rozier enters the game for J. Sullinger
0:30.0,J. Terry enters the game for D. Howard,,99-93,,
0:21.0,,,99-93,,Personal foul by A. Bradley
0:21.0,Houston full timeout,,99-93,,
0:21.0,,,99-93,,J. Sullinger enters the game for T. Rozier
0:13.0,Turnover by P. Beverley (step out of bounds),,99-93,,
0:13.0,,,99-93,,Boston full timeout
0:09.0,,,99-95,2,I. Thomas makes 2-pt shot at rim
0:08.0,,,99-95,,Personal take foul by E. Turner
0:08.0,,,99-95,,Technical foul by E. Turner
0:08.0,J. Harden makes technical free throw,1,100-95,,
0:08.0,J. Harden makes free throw 1 of 2,1,101-95,,
0:08.0,J. Harden makes free throw 2 of 2,1,102-95,,
0:01.0,,,102-98,3,I. Thomas makes 3-pt shot from 23 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
