time,New Orleans,pts.away,score,pts.home,Milwaukee
0:25.0,A. Davis enters the game for K. Perkins,,52-54,,
0:25.0,J. Holiday enters the game for D. Cunningham,,52-54,,
0:25.0,,,52-55,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,J. Holiday misses 3-pt shot from 24 ft,,52-55,,
0:00.0,Offensive rebound by Team,,52-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,52-55,,Shooting foul by T. Douglas (drawn by G. Monroe)
11:50.0,,,52-56,1,G. Monroe makes free throw 1 of 2
11:50.0,,,52-57,1,G. Monroe makes free throw 2 of 2
11:38.0,L. Babbitt makes 2-pt shot from 3 ft (assist by A. Davis),2,54-57,,
11:21.0,,,54-57,,Turnover by J. Parker (step out of bounds)
11:08.0,A. Davis misses 2-pt shot from 17 ft,,54-57,,
11:07.0,,,54-57,,Defensive rebound by K. Middleton
10:58.0,,,54-59,2,G. Antetokounmpo makes 2-pt shot from 7 ft
10:58.0,,,54-59,,Shooting foul by L. Babbitt (drawn by G. Antetokounmpo)
10:58.0,,,54-60,1,G. Antetokounmpo makes free throw 1 of 1
10:35.0,D. Cunningham makes 2-pt shot from 10 ft (assist by L. Babbitt),2,56-60,,
10:21.0,,,56-62,2,J. Bayless makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
10:01.0,L. Babbitt misses 2-pt shot from 3 ft (block by G. Monroe),,56-62,,
9:59.0,,,56-62,,Defensive rebound by G. Monroe
9:53.0,,,56-62,,K. Middleton misses 3-pt shot from 23 ft
9:51.0,Defensive rebound by T. Douglas,,56-62,,
9:42.0,A. Gee makes 2-pt shot at rim,2,58-62,,
9:28.0,Personal block foul by A. Gee,,58-62,,
9:19.0,,,58-62,,Turnover by J. Parker (lost ball; steal by L. Babbitt)
9:03.0,A. Davis makes 2-pt shot from 16 ft (assist by L. Babbitt),2,60-62,,
8:49.0,,,60-62,,G. Antetokounmpo misses 2-pt shot at rim (block by D. Cunningham)
8:49.0,,,60-62,,Offensive rebound by Team
8:48.0,,,60-62,,Turnover by J. Parker (lost ball; steal by T. Douglas)
8:44.0,T. Douglas misses 2-pt shot at rim (block by J. Bayless),,60-62,,
8:44.0,Offensive rebound by A. Gee,,60-62,,
8:44.0,Shooting foul by G. Monroe (drawn by A. Gee),,60-62,,
8:44.0,A. Gee makes free throw 1 of 2,1,61-62,,
8:44.0,A. Gee makes free throw 2 of 2,1,62-62,,
8:21.0,,,62-64,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
8:13.0,Turnover by T. Douglas (lost ball; steal by J. Parker),,62-64,,
8:08.0,,,62-66,2,J. Parker makes 2-pt shot at rim
7:53.0,D. Cunningham misses 3-pt shot from 22 ft,,62-66,,
7:52.0,,,62-66,,Defensive rebound by K. Middleton
7:48.0,,,62-66,,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo)
7:48.0,,,62-67,1,G. Antetokounmpo makes free throw 1 of 2
7:48.0,,,62-68,1,G. Antetokounmpo makes free throw 2 of 2
7:35.0,A. Davis misses 2-pt shot from 15 ft,,62-68,,
7:33.0,,,62-68,,Defensive rebound by J. Parker
7:29.0,,,62-68,,Turnover by G. Antetokounmpo (bad pass)
7:29.0,J. Holiday enters the game for T. Douglas,,62-68,,
7:15.0,Turnover by J. Holiday (lost ball; steal by K. Middleton),,62-68,,
7:12.0,,,62-68,,Offensive foul by J. Parker
7:12.0,,,62-68,,Turnover by J. Parker (offensive foul)
6:55.0,L. Babbitt misses 2-pt shot from 9 ft,,62-68,,
6:53.0,Offensive rebound by A. Gee,,62-68,,
6:49.0,A. Davis makes 3-pt shot from 25 ft (assist by A. Gee),3,65-68,,
6:29.0,,,65-68,,J. Bayless misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by A. Davis,,65-68,,
6:20.0,A. Davis makes 2-pt shot from 18 ft,2,67-68,,
5:56.0,,,67-68,,G. Monroe misses 2-pt shot from 17 ft
5:55.0,Defensive rebound by A. Gee,,67-68,,
5:51.0,Turnover by J. Holiday (lost ball; steal by G. Monroe),,67-68,,
5:36.0,,,67-68,,Milwaukee full timeout
5:34.0,,,67-68,,Turnover by G. Antetokounmpo (lost ball; steal by A. Davis)
5:22.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday),2,69-68,,
4:55.0,,,69-68,,J. Bayless misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by A. Davis,,69-68,,
4:44.0,L. Babbitt misses 2-pt shot from 12 ft,,69-68,,
4:42.0,,,69-68,,Defensive rebound by G. Monroe
4:30.0,Personal foul by L. Babbitt,,69-68,,
4:30.0,,,69-68,,J. Parker misses free throw 1 of 2
4:30.0,,,69-68,,Offensive rebound by Team
4:30.0,,,69-68,,M. Plumlee enters the game for G. Monroe
4:30.0,,,69-69,1,J. Parker makes free throw 2 of 2
4:22.0,J. Holiday makes 2-pt shot from 3 ft,2,71-69,,
4:00.0,,,71-71,2,K. Middleton makes 2-pt shot from 19 ft
3:47.0,R. Anderson enters the game for L. Babbitt,,71-71,,
3:41.0,A. Gee misses 3-pt shot from 23 ft,,71-71,,
3:39.0,,,71-71,,Defensive rebound by G. Antetokounmpo
3:33.0,,,71-71,,Shooting foul by A. Gee (drawn by G. Antetokounmpo)
3:33.0,,,71-71,,G. Antetokounmpo misses free throw 1 of 2
3:33.0,,,71-71,,Offensive rebound by Team
3:33.0,L. Babbitt enters the game for A. Gee,,71-71,,
3:33.0,,,71-71,,G. Antetokounmpo misses free throw 2 of 2
3:33.0,Defensive rebound by A. Davis,,71-71,,
3:18.0,R. Anderson misses 2-pt shot from 12 ft,,71-71,,
3:17.0,,,71-71,,Defensive rebound by K. Middleton
2:58.0,,,71-71,,G. Antetokounmpo misses 2-pt shot from 3 ft
2:57.0,,,71-71,,Offensive rebound by K. Middleton
2:39.0,,,71-71,,G. Antetokounmpo misses 2-pt shot at rim (block by R. Anderson)
2:35.0,,,71-71,,Offensive rebound by J. Parker
2:35.0,,,71-73,2,J. Parker makes 2-pt shot at rim
2:26.0,Turnover by A. Davis (traveling),,71-73,,
2:26.0,New Orleans full timeout,,71-73,,
2:26.0,O. Johnson enters the game for D. Cunningham,,71-73,,
2:17.0,,,71-73,,G. Antetokounmpo misses 2-pt shot at rim
2:16.0,Defensive rebound by A. Davis,,71-73,,
2:09.0,Turnover by J. Holiday (lost ball),,71-73,,
1:50.0,,,71-75,2,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by J. Bayless)
1:36.0,A. Davis misses 2-pt shot at rim,,71-75,,
1:35.0,,,71-75,,Defensive rebound by M. Plumlee
1:27.0,,,71-75,,K. Middleton misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by L. Babbitt,,71-75,,
1:10.0,A. Davis misses 2-pt shot from 6 ft,,71-75,,
1:08.0,,,71-75,,Defensive rebound by K. Middleton
1:00.0,,,71-75,,J. Bayless misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by A. Davis,,71-75,,
0:48.0,A. Davis misses 2-pt shot from 20 ft,,71-75,,
0:45.0,Offensive rebound by Team,,71-75,,
0:39.0,A. Davis misses 2-pt shot from 7 ft (block by M. Plumlee),,71-75,,
0:38.0,Offensive rebound by A. Davis,,71-75,,
0:37.0,A. Davis misses 2-pt shot from 2 ft (block by M. Plumlee),,71-75,,
0:36.0,,,71-75,,Defensive rebound by J. Bayless
0:25.0,Personal foul by J. Holiday,,71-75,,
0:25.0,,,71-76,1,J. Parker makes free throw 1 of 2
0:25.0,,,71-77,1,J. Parker makes free throw 2 of 2
0:05.0,A. Davis misses 2-pt shot from 16 ft,,71-77,,
0:01.0,Offensive rebound by R. Anderson,,71-77,,
0:01.0,R. Anderson misses 2-pt shot from 1 ft,,71-77,,
0:00.0,,,71-77,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,L. Babbitt misses 2-pt shot from 8 ft,,71-77,,
11:41.0,Offensive rebound by R. Anderson,,71-77,,
11:37.0,Turnover by R. Anderson (lost ball; steal by J. Bayless),,71-77,,
11:36.0,,,71-77,,Turnover by J. Parker (traveling)
11:18.0,J. Holiday misses 3-pt shot from 25 ft,,71-77,,
11:17.0,,,71-77,,Defensive rebound by Team
11:17.0,Loose ball foul by K. Perkins,,71-77,,
11:07.0,,,71-77,,J. Parker misses 2-pt shot from 6 ft
11:05.0,Defensive rebound by A. Gee,,71-77,,
10:42.0,L. Babbitt makes 2-pt shot from 13 ft (assist by A. Gee),2,73-77,,
10:26.0,,,73-79,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
10:06.0,,,73-79,,Violation by M. Plumlee (def goaltending)
10:06.0,K. Perkins makes 2-pt shot at rim (assist by A. Gee),2,75-79,,
10:06.0,Shooting foul by K. Middleton (drawn by K. Perkins),,75-79,,
10:06.0,K. Perkins misses free throw 1 of 1,,75-79,,
10:04.0,,,75-79,,Defensive rebound by Team
