time,Philadelphia,pts.away,score,pts.home,San Antonio
7:53.0,Turnover by J. Sampson (lost ball; steal by B. Diaw),,69-83,,
7:33.0,,,69-83,,D. Green misses 2-pt shot from 2 ft (block by J. Okafor)
7:33.0,,,69-83,,Offensive rebound by Team
7:33.0,I. Canaan enters the game for J. Sampson,,69-83,,
7:31.0,,,69-85,2,R. McCallum makes 2-pt shot from 17 ft (assist by B. Diaw)
7:07.0,J. Okafor makes 2-pt shot at rim,2,71-85,,
7:07.0,Shooting foul by D. West (drawn by J. Okafor),,71-85,,
7:07.0,,,71-85,,L. Aldridge enters the game for D. West
7:07.0,J. Okafor makes free throw 1 of 1,1,72-85,,
6:49.0,,,72-85,,D. Green misses 2-pt shot from 19 ft
6:47.0,Defensive rebound by J. Okafor,,72-85,,
6:42.0,Philadelphia full timeout,,72-85,,
6:32.0,I. Canaan makes 3-pt shot from 26 ft (assist by P. Pressey),3,75-85,,
6:16.0,,,75-85,,L. Aldridge misses 2-pt shot from 17 ft
6:14.0,Defensive rebound by J. Grant,,75-85,,
6:08.0,I. Canaan misses 3-pt shot from 26 ft,,75-85,,
6:06.0,,,75-85,,Defensive rebound by L. Aldridge
5:56.0,,,75-85,,Turnover by R. McCallum (bad pass; steal by J. Grant)
5:51.0,P. Pressey misses 2-pt shot from 6 ft,,75-85,,
5:49.0,Offensive rebound by H. Thompson,,75-85,,
5:36.0,J. Okafor makes 2-pt shot from 11 ft (assist by I. Canaan),2,77-85,,
5:36.0,,,77-85,,San Antonio full timeout
5:36.0,N. Noel enters the game for J. Okafor,,77-85,,
5:36.0,T. McConnell enters the game for P. Pressey,,77-85,,
5:36.0,,,77-85,,K. Anderson enters the game for B. Diaw
5:36.0,,,77-85,,T. Parker enters the game for R. McCallum
5:36.0,,,77-85,,T. Duncan enters the game for J. Simmons
5:29.0,,,77-85,,Turnover by T. Parker (bad pass; steal by N. Noel)
5:23.0,N. Noel makes 2-pt shot at rim,2,79-85,,
5:02.0,,,79-85,,T. Parker misses 2-pt shot from 8 ft
5:01.0,,,79-85,,Offensive rebound by T. Parker
4:43.0,,,79-85,,Turnover by T. Parker (traveling)
4:43.0,,,79-85,,P. Mills enters the game for T. Parker
4:27.0,N. Noel misses 2-pt shot from 4 ft,,79-85,,
4:26.0,,,79-85,,Defensive rebound by L. Aldridge
4:17.0,Personal foul by I. Canaan (drawn by D. Green),,79-85,,
4:07.0,,,79-85,,K. Anderson misses 2-pt shot from 10 ft
4:06.0,,,79-85,,Offensive rebound by L. Aldridge
4:06.0,,,79-85,,Shooting foul by J. Grant (drawn by L. Aldridge)
4:06.0,,,79-86,1,L. Aldridge makes free throw 1 of 2
4:06.0,J. Okafor enters the game for J. Grant,,79-86,,
4:06.0,,,79-87,1,L. Aldridge makes free throw 2 of 2
3:45.0,J. Okafor makes 2-pt shot from 1 ft (assist by N. Noel),2,81-87,,
3:20.0,,,81-87,,Turnover by Team (shot clock)
3:07.0,T. McConnell makes 2-pt shot from 18 ft,2,83-87,,
2:45.0,,,83-87,,K. Anderson misses 2-pt shot from 15 ft
2:44.0,Defensive rebound by T. McConnell,,83-87,,
2:35.0,I. Canaan misses 3-pt shot from 25 ft,,83-87,,
