time,New York,pts.away,score,pts.home,Toronto
0:00.0,A. Afflalo misses 2-pt shot from 18 ft (block by J. Johnson),,43-53,,
0:00.0,,,43-53,,Defensive rebound by C. Joseph
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Afflalo makes 2-pt shot from 3 ft,2,45-53,,
11:44.0,Shooting foul by J. Valanciunas (drawn by A. Afflalo),,45-53,,
11:44.0,A. Afflalo makes free throw 1 of 1,1,46-53,,
11:30.0,,,46-53,,J. Johnson misses 3-pt shot from 23 ft
11:30.0,Defensive rebound by K. O'Quinn,,46-53,,
11:17.0,Turnover by K. O'Quinn (bad pass; steal by J. Johnson),,46-53,,
11:14.0,,,46-53,,Shooting foul by L. Thomas (drawn by K. Lowry)
11:14.0,,,46-54,1,K. Lowry makes free throw 1 of 2
11:14.0,,,46-54,,K. Lowry misses free throw 2 of 2
11:13.0,Defensive rebound by R. Lopez,,46-54,,
11:05.0,,,46-54,,Personal foul by J. Johnson (drawn by A. Afflalo)
10:51.0,A. Afflalo misses 2-pt shot from 4 ft (block by J. Johnson),,46-54,,
10:51.0,Offensive rebound by Team,,46-54,,
10:48.0,K. O'Quinn misses 3-pt shot from 24 ft,,46-54,,
10:47.0,,,46-54,,Defensive rebound by J. Valanciunas
10:35.0,,,46-54,,D. DeRozan misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by K. O'Quinn,,46-54,,
10:28.0,L. Galloway makes 2-pt shot from 3 ft,2,48-54,,
10:14.0,,,48-54,,Shooting foul by K. O'Quinn (drawn by D. DeRozan)
10:14.0,,,48-55,1,D. DeRozan makes free throw 1 of 2
10:14.0,,,48-56,1,D. DeRozan makes free throw 2 of 2
10:05.0,Turnover by R. Lopez (lost ball; steal by D. DeRozan),,48-56,,
9:59.0,,,48-58,2,D. DeRozan makes 2-pt shot from 2 ft
9:32.0,Turnover by Team (shot clock),,48-58,,
9:19.0,Personal foul by L. Galloway (drawn by K. Lowry),,48-58,,
9:11.0,,,48-58,,Offensive foul by J. Johnson
9:11.0,,,48-58,,Turnover by J. Johnson (offensive foul)
8:51.0,A. Afflalo misses 2-pt shot from 22 ft (block by J. Johnson),,48-58,,
8:50.0,,,48-58,,Defensive rebound by J. Valanciunas
8:37.0,,,48-58,,D. DeRozan misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by R. Lopez,,48-58,,
8:26.0,A. Afflalo makes 3-pt shot from 26 ft (assist by K. O'Quinn),3,51-58,,
8:04.0,,,51-58,,J. Valanciunas misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by L. Thomas,,51-58,,
7:57.0,L. Galloway makes 2-pt shot from 4 ft,2,53-58,,
7:50.0,,,53-58,,Toronto full timeout
7:42.0,,,53-58,,K. Lowry misses 2-pt shot from 9 ft
7:41.0,,,53-58,,Offensive rebound by J. Valanciunas
7:41.0,,,53-58,,J. Valanciunas misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by Team,,53-58,,
7:25.0,K. O'Quinn misses 2-pt shot from 8 ft,,53-58,,
7:24.0,Offensive rebound by K. O'Quinn,,53-58,,
7:20.0,K. O'Quinn makes 2-pt shot from 3 ft,2,55-58,,
7:07.0,,,55-58,,Turnover by D. DeRozan (lost ball; steal by K. O'Quinn)
7:06.0,,,55-58,,Loose ball foul by D. DeRozan (drawn by K. O'Quinn)
6:50.0,K. O'Quinn misses 2-pt shot from 9 ft,,55-58,,
6:49.0,Offensive rebound by L. Galloway,,55-58,,
6:39.0,L. Thomas makes 2-pt shot from 14 ft (assist by A. Afflalo),2,57-58,,
6:15.0,,,57-58,,J. Valanciunas misses 2-pt shot from 3 ft
6:15.0,,,57-58,,Offensive rebound by J. Valanciunas
6:13.0,,,57-58,,J. Valanciunas misses 2-pt shot from 2 ft (block by R. Lopez)
6:12.0,,,57-58,,Offensive rebound by J. Valanciunas
6:03.0,,,57-58,,Shooting foul by A. Afflalo (drawn by K. Lowry)
6:03.0,,,57-59,1,K. Lowry makes free throw 1 of 3
