time,Boston,pts.away,score,pts.home,Utah
6:05.0,,,81-96,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
5:48.0,J. Sullinger misses 3-pt shot from 24 ft,,81-96,,
5:47.0,,,81-96,,Defensive rebound by R. Gobert
5:34.0,,,81-98,2,R. Gobert makes 2-pt shot at rim
5:21.0,J. Crowder makes 3-pt shot from 22 ft (assist by I. Thomas),3,84-98,,
5:11.0,,,84-98,,Utah full timeout
5:11.0,J. Jerebko enters the game for J. Sullinger,,84-98,,
4:57.0,,,84-98,,Shooting foul by J. Crowder (drawn by R. Neto)
4:57.0,,,84-99,1,R. Neto makes free throw 1 of 2
4:57.0,,,84-99,,T. Booker enters the game for R. Gobert
4:57.0,,,84-100,1,R. Neto makes free throw 2 of 2
4:47.0,J. Crowder makes 2-pt shot from 16 ft (assist by E. Turner),2,86-100,,
4:23.0,,,86-100,,Shooting foul by E. Turner (drawn by R. Neto)
4:23.0,,,86-100,,R. Neto misses free throw 1 of 2
4:23.0,,,86-100,,Offensive rebound by Team
4:23.0,,,86-101,1,R. Neto makes free throw 2 of 2
4:10.0,Shooting foul by G. Hayward (drawn by E. Turner),,86-101,,
4:10.0,E. Turner makes free throw 1 of 2,1,87-101,,
4:10.0,E. Turner misses free throw 2 of 2,,87-101,,
4:09.0,,,87-101,,Defensive rebound by T. Booker
3:53.0,,,87-101,,Turnover by D. Favors (lost ball; steal by A. Bradley)
3:45.0,Turnover by A. Bradley (lost ball; steal by R. Neto),,87-101,,
3:40.0,,,87-103,2,C. Johnson makes 2-pt shot from 1 ft (assist by R. Neto)
3:27.0,J. Jerebko misses 2-pt shot from 21 ft,,87-103,,
3:26.0,,,87-103,,Defensive rebound by D. Favors
3:06.0,,,87-103,,G. Hayward misses 3-pt shot from 24 ft
3:06.0,,,87-103,,Offensive rebound by Team
3:06.0,Loose ball foul by J. Crowder,,87-103,,
3:06.0,,,87-104,1,T. Booker makes free throw 1 of 2
3:06.0,T. Rozier enters the game for A. Bradley,,87-104,,
3:06.0,,,87-104,,T. Booker misses free throw 2 of 2
3:05.0,Defensive rebound by E. Turner,,87-104,,
2:51.0,I. Thomas misses 3-pt shot from 24 ft,,87-104,,
2:51.0,,,87-104,,Defensive rebound by T. Booker
2:43.0,,,87-104,,Shooting foul by J. Crowder (drawn by G. Hayward)
2:43.0,Boston full timeout,,87-104,,
2:43.0,T. Zeller enters the game for J. Crowder,,87-104,,
2:43.0,J. Young enters the game for I. Thomas,,87-104,,
2:43.0,J. Mickey enters the game for E. Turner,,87-104,,
2:43.0,R. Hunter enters the game for J. Jerebko,,87-104,,
2:43.0,,,87-104,,G. Hayward misses free throw 1 of 2
2:43.0,,,87-104,,Offensive rebound by Team
2:43.0,,,87-105,1,G. Hayward makes free throw 2 of 2
2:30.0,J. Mickey makes 2-pt shot from 2 ft (assist by T. Rozier),2,89-105,,
2:12.0,,,89-107,2,D. Favors makes 2-pt shot from 17 ft (assist by G. Hayward)
1:59.0,T. Zeller makes 2-pt shot from 16 ft (assist by T. Rozier),2,91-107,,
1:43.0,,,91-107,,G. Hayward misses 2-pt shot from 2 ft (block by J. Mickey)
1:42.0,,,91-107,,Offensive rebound by D. Favors
1:42.0,,,91-107,,Shooting foul by J. Young (drawn by D. Favors)
1:42.0,,,91-108,1,D. Favors makes free throw 1 of 2
1:42.0,,,91-108,,J. Ingles enters the game for G. Hayward
1:42.0,,,91-108,,T. Burke enters the game for R. Neto
1:42.0,,,91-108,,T. Lyles enters the game for T. Booker
1:42.0,,,91-109,1,D. Favors makes free throw 2 of 2
1:40.0,,,91-109,,Personal foul by D. Favors
1:40.0,,,91-109,,J. Withey enters the game for D. Favors
1:30.0,Shooting foul by T. Lyles (drawn by T. Zeller),,91-109,,
1:30.0,T. Zeller makes free throw 1 of 2,1,92-109,,
1:30.0,T. Zeller makes free throw 2 of 2,1,93-109,,
1:13.0,,,93-109,,J. Withey misses 2-pt shot from 1 ft (block by J. Mickey)
1:10.0,Defensive rebound by T. Zeller,,93-109,,
1:06.0,R. Hunter misses 3-pt shot from 22 ft,,93-109,,
1:06.0,,,93-109,,Defensive rebound by T. Lyles
0:53.0,,,93-111,2,T. Burke makes 2-pt shot from 2 ft
0:41.0,Turnover by T. Rozier (bad pass),,93-111,,
0:23.0,,,93-111,,Turnover by T. Burke (bad pass)
0:00.0,R. Hunter misses 2-pt shot from 21 ft,,93-111,,
0:00.0,Offensive rebound by Team,,93-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
