time,Phoenix,pts.away,score,pts.home,Portland
4:04.0,,,88-81,,C. McCollum misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by P. Tucker,,88-81,,
3:49.0,M. Morris makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,90-81,,
3:38.0,,,90-81,,Shooting foul by T. Chandler (drawn by A. Aminu)
3:38.0,,,90-82,1,A. Aminu makes free throw 1 of 2
3:38.0,,,90-82,,M. Harkless enters the game for A. Crabbe
3:38.0,,,90-83,1,A. Aminu makes free throw 2 of 2
3:24.0,M. Morris misses 2-pt shot from 9 ft,,90-83,,
3:23.0,Offensive rebound by P. Tucker,,90-83,,
3:21.0,P. Tucker makes 2-pt shot at rim,2,92-83,,
3:05.0,,,92-86,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
2:42.0,B. Knight makes 2-pt shot from 20 ft,2,94-86,,
2:33.0,,,94-86,,Turnover by M. Plumlee (lost ball; steal by E. Bledsoe)
2:14.0,M. Morris makes 2-pt shot from 7 ft,2,96-86,,
1:58.0,,,96-86,,Shooting foul by T. Chandler (drawn by M. Plumlee)
1:58.0,,,96-86,,M. Plumlee misses free throw 1 of 2
1:58.0,,,96-86,,Offensive rebound by Team
1:58.0,,,96-86,,M. Plumlee misses free throw 2 of 2
1:55.0,Defensive rebound by M. Morris,,96-86,,
1:33.0,M. Morris misses 2-pt shot from 15 ft,,96-86,,
1:32.0,,,96-86,,Defensive rebound by Team
1:22.0,,,96-86,,Shooting foul by T. Chandler (drawn by D. Lillard)
1:22.0,,,96-86,,D. Lillard misses free throw 1 of 2
1:22.0,,,96-86,,Offensive rebound by Team
1:22.0,,,96-87,1,D. Lillard makes free throw 2 of 2
1:03.0,M. Morris misses 3-pt shot from 26 ft,,96-87,,
1:02.0,Offensive rebound by B. Knight,,96-87,,
0:55.0,,,96-87,,Personal take foul by D. Lillard (drawn by E. Bledsoe)
0:51.0,,,96-87,,Personal take foul by D. Lillard (drawn by E. Bledsoe)
0:51.0,E. Bledsoe misses free throw 1 of 2,,96-87,,
0:51.0,Offensive rebound by Team,,96-87,,
0:51.0,E. Bledsoe makes free throw 2 of 2,1,97-87,,
0:51.0,,,97-87,,Portland full timeout
0:51.0,,,97-87,,M. Leonard enters the game for M. Harkless
0:48.0,Personal foul by E. Bledsoe (drawn by D. Lillard),,97-87,,
0:48.0,,,97-88,1,D. Lillard makes free throw 1 of 2
0:48.0,,,97-89,1,D. Lillard makes free throw 2 of 2
0:42.0,,,97-89,,Personal take foul by D. Lillard (drawn by E. Bledsoe)
0:42.0,E. Bledsoe makes free throw 1 of 2,1,98-89,,
0:42.0,E. Bledsoe makes free throw 2 of 2,1,99-89,,
0:42.0,,,99-89,,Portland full timeout
0:40.0,Shooting block foul by P. Tucker (drawn by D. Lillard),,99-89,,
0:40.0,,,99-89,,D. Lillard misses free throw 1 of 2
0:40.0,,,99-89,,Offensive rebound by Team
0:40.0,,,99-90,1,D. Lillard makes free throw 2 of 2
0:33.0,,,99-90,,Personal take foul by M. Plumlee (drawn by B. Knight)
0:33.0,B. Knight makes free throw 1 of 2,1,100-90,,
0:33.0,B. Knight makes free throw 2 of 2,1,101-90,,
0:29.0,,,101-90,,A. Aminu misses 2-pt shot from 17 ft
0:28.0,Defensive rebound by B. Knight,,101-90,,
0:05.0,M. Morris misses 3-pt shot from 25 ft,,101-90,,
0:05.0,,,101-90,,Defensive rebound by D. Lillard
0:00.0,End of 4th quarter,,,,End of 4th quarter
