time,Cleveland,pts.away,score,pts.home,Sacramento
5:54.0,,,105-100,2,R. Gay makes 2-pt shot from 2 ft
5:33.0,J. Smith misses 3-pt shot from 22 ft,,105-100,,
5:33.0,Offensive rebound by J. Smith,,105-100,,
5:30.0,J. Smith makes 2-pt shot from 5 ft,2,107-100,,
5:12.0,,,107-100,,Q. Acy misses 2-pt shot from 18 ft
5:12.0,Defensive rebound by L. James,,107-100,,
5:04.0,K. Love misses 3-pt shot from 23 ft,,107-100,,
5:04.0,Offensive rebound by L. James,,107-100,,
4:58.0,K. Irving makes 2-pt shot from 2 ft,2,109-100,,
4:42.0,,,109-100,,R. Rondo misses 2-pt shot from 13 ft
4:42.0,,,109-100,,Offensive rebound by Team
4:42.0,Loose ball foul by T. Thompson,,109-100,,
4:42.0,,,109-101,1,Q. Acy makes free throw 1 of 2
4:42.0,,,109-101,,O. Casspi enters the game for R. Gay
4:42.0,,,109-102,1,Q. Acy makes free throw 2 of 2
4:20.0,K. Love misses 3-pt shot from 24 ft,,109-102,,
4:20.0,,,109-102,,Defensive rebound by R. Rondo
4:07.0,,,109-102,,D. Cousins misses 3-pt shot from 25 ft
4:07.0,,,109-102,,Offensive rebound by D. Collison
4:07.0,Personal foul by J. Smith,,109-102,,
4:07.0,,,109-103,1,D. Collison makes free throw 1 of 2
4:07.0,,,109-103,,R. Gay enters the game for O. Casspi
4:07.0,,,109-104,1,D. Collison makes free throw 2 of 2
3:43.0,J. Smith misses 3-pt shot from 23 ft,,109-104,,
3:42.0,,,109-104,,Defensive rebound by D. Cousins
3:34.0,,,109-104,,R. Gay misses 3-pt shot from 25 ft
3:34.0,,,109-104,,Offensive rebound by D. Collison
3:27.0,,,109-106,2,R. Gay makes 2-pt shot from 18 ft (assist by D. Collison)
3:27.0,Cleveland full timeout,,109-106,,
3:15.0,L. James misses 3-pt shot from 24 ft,,109-106,,
3:14.0,,,109-106,,Defensive rebound by D. Cousins
2:58.0,,,109-108,2,R. Rondo makes 2-pt shot from 9 ft
2:36.0,Shooting foul by D. Cousins (drawn by K. Love),,109-108,,
2:36.0,K. Love makes free throw 1 of 2,1,110-108,,
2:36.0,K. Love makes free throw 2 of 2,1,111-108,,
2:25.0,,,111-108,,R. Rondo misses 2-pt shot from 8 ft
2:24.0,Defensive rebound by T. Thompson,,111-108,,
2:04.0,K. Irving misses 3-pt shot from 25 ft,,111-108,,
2:04.0,Offensive rebound by T. Thompson,,111-108,,
1:50.0,K. Love misses 3-pt shot from 25 ft,,111-108,,
1:50.0,Offensive rebound by L. James,,111-108,,
1:32.0,K. Love makes 3-pt shot from 23 ft (assist by K. Irving),3,114-108,,
1:32.0,Shooting foul by D. Collison (drawn by K. Love),,114-108,,
1:32.0,,,114-108,,O. Casspi enters the game for Q. Acy
1:32.0,I. Shumpert enters the game for T. Thompson,,114-108,,
1:32.0,K. Love makes free throw 1 of 1,1,115-108,,
1:22.0,,,115-108,,D. Cousins misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by L. James,,115-108,,
1:01.0,J. Smith makes 3-pt shot from 24 ft (assist by I. Shumpert),3,118-108,,
1:01.0,,,118-108,,Sacramento full timeout
1:01.0,T. Thompson enters the game for K. Love,,118-108,,
0:58.0,,,118-108,,D. Cousins misses 2-pt shot from 4 ft
0:57.0,Defensive rebound by J. Smith,,118-108,,
0:40.0,,,118-108,,Personal foul by R. Gay
0:40.0,L. James makes free throw 1 of 2,1,119-108,,
0:40.0,M. Dellavedova enters the game for K. Irving,,119-108,,
0:40.0,L. James makes free throw 2 of 2,1,120-108,,
0:34.0,,,120-111,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
0:13.0,L. James misses 2-pt shot from 7 ft,,120-111,,
0:12.0,,,120-111,,Defensive rebound by R. Rondo
0:08.0,,,120-111,,Turnover by O. Casspi (lost ball)
0:00.0,End of 4th quarter,,,,End of 4th quarter
