time,Chicago,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,58-40,,K. Bryant misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by D. Rose,,58-40,,
11:28.0,T. Gibson misses 2-pt shot from 13 ft,,58-40,,
11:25.0,,,58-40,,Defensive rebound by J. Randle
11:09.0,,,58-40,,J. Clarkson misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by T. Gibson,,58-40,,
10:52.0,D. Rose makes 2-pt shot from 3 ft,2,60-40,,
10:35.0,,,60-42,2,R. Hibbert makes 2-pt shot from 12 ft (assist by J. Clarkson)
10:21.0,T. Gibson misses 2-pt shot from 11 ft,,60-42,,
10:20.0,,,60-42,,Defensive rebound by J. Clarkson
10:16.0,,,60-44,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
9:49.0,P. Gasol misses 2-pt shot from 15 ft,,60-44,,
9:48.0,,,60-44,,Defensive rebound by A. Brown
9:39.0,,,60-47,3,K. Bryant makes 3-pt shot from 24 ft
9:16.0,D. Rose misses 2-pt shot from 13 ft,,60-47,,
9:15.0,,,60-47,,Defensive rebound by A. Brown
9:03.0,,,60-47,,R. Hibbert misses 2-pt shot from 3 ft
9:01.0,,,60-47,,Offensive rebound by J. Clarkson
8:59.0,,,60-47,,J. Clarkson misses 2-pt shot at rim
8:59.0,Defensive rebound by J. Butler,,60-47,,
8:59.0,,,60-47,,Personal foul by J. Randle (drawn by J. Butler)
8:51.0,Shooting foul by R. Hibbert (drawn by D. Rose),,60-47,,
8:51.0,D. Rose makes free throw 1 of 2,1,61-47,,
8:51.0,D. Rose makes free throw 2 of 2,1,62-47,,
8:37.0,,,62-47,,K. Bryant misses 2-pt shot from 16 ft
8:34.0,Defensive rebound by P. Gasol,,62-47,,
8:34.0,,,62-47,,Personal block foul by K. Bryant (drawn by D. Rose)
8:22.0,P. Gasol makes 2-pt shot from 2 ft (assist by T. Gibson),2,64-47,,
8:11.0,,,64-49,2,J. Clarkson makes 2-pt shot from 6 ft (assist by K. Bryant)
8:00.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose),2,66-49,,
8:00.0,Shooting foul by R. Hibbert (drawn by P. Gasol),,66-49,,
8:00.0,P. Gasol makes free throw 1 of 1,1,67-49,,
7:47.0,,,67-49,,Turnover by J. Randle (lost ball; steal by D. Rose)
7:43.0,Shooting foul by A. Brown (drawn by E. Moore),,67-49,,
7:43.0,E. Moore makes free throw 1 of 2,1,68-49,,
7:43.0,E. Moore makes free throw 2 of 2,1,69-49,,
7:36.0,,,69-51,2,K. Bryant makes 2-pt shot from 15 ft
7:19.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,71-51,,
7:19.0,Shooting foul by R. Hibbert (drawn by J. Butler),,71-51,,
7:19.0,J. Butler makes free throw 1 of 1,1,72-51,,
7:10.0,,,72-53,2,J. Clarkson makes 2-pt shot from 6 ft
7:10.0,,,72-53,,Shooting foul by P. Gasol (drawn by J. Clarkson)
7:10.0,,,72-53,,J. Clarkson misses free throw 1 of 1
7:08.0,Defensive rebound by P. Gasol,,72-53,,
6:44.0,P. Gasol misses 2-pt shot from 20 ft,,72-53,,
6:44.0,Offensive rebound by Team,,72-53,,
6:44.0,Turnover by Team (shot clock),,72-53,,
6:28.0,,,72-55,2,J. Randle makes 2-pt shot from 2 ft (assist by A. Brown)
6:16.0,Shooting foul by R. Hibbert (drawn by P. Gasol),,72-55,,
6:16.0,P. Gasol makes free throw 1 of 2,1,73-55,,
6:16.0,,,73-55,,B. Bass enters the game for R. Hibbert
6:16.0,P. Gasol makes free throw 2 of 2,1,74-55,,
6:04.0,,,74-58,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
5:51.0,Chicago full timeout,,74-58,,
5:51.0,D. McDermott enters the game for E. Moore,,74-58,,
5:43.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler),2,76-58,,
5:23.0,,,76-58,,K. Bryant misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by P. Gasol,,76-58,,
5:18.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,78-58,,
5:08.0,,,78-60,2,J. Randle makes 2-pt shot from 1 ft
4:51.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler),2,80-60,,
4:40.0,,,80-60,,K. Bryant misses 2-pt shot from 15 ft
4:35.0,Defensive rebound by D. Rose,,80-60,,
4:31.0,D. McDermott makes 3-pt shot from 25 ft (assist by J. Butler),3,83-60,,
4:20.0,,,83-60,,J. Clarkson misses 2-pt shot from 4 ft
4:18.0,Defensive rebound by D. Rose,,83-60,,
4:11.0,D. McDermott misses 2-pt shot from 17 ft,,83-60,,
4:07.0,,,83-60,,Defensive rebound by J. Randle
3:59.0,,,83-63,3,A. Brown makes 3-pt shot from 24 ft (assist by K. Bryant)
3:34.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Butler),3,86-63,,
3:21.0,,,86-63,,Shooting foul by T. Gibson (drawn by J. Randle)
3:21.0,,,86-64,1,J. Randle makes free throw 1 of 2
3:21.0,A. Brooks enters the game for D. Rose,,86-64,,
3:21.0,B. Portis enters the game for T. Gibson,,86-64,,
3:21.0,,,86-64,,D. Russell enters the game for K. Bryant
3:21.0,,,86-64,,N. Young enters the game for J. Clarkson
3:21.0,,,86-65,1,J. Randle makes free throw 2 of 2
2:57.0,J. Butler misses 2-pt shot from 16 ft,,86-65,,
2:53.0,,,86-65,,Defensive rebound by J. Randle
2:49.0,,,86-65,,Shooting foul by B. Portis (drawn by J. Randle)
2:49.0,,,86-65,,LA Lakers full timeout
2:49.0,,,86-66,1,J. Randle makes free throw 1 of 2
2:49.0,,,86-67,1,J. Randle makes free throw 2 of 2
2:36.0,J. Butler misses 2-pt shot from 1 ft,,86-67,,
2:31.0,,,86-67,,Defensive rebound by J. Randle
2:25.0,,,86-69,2,J. Randle makes 2-pt shot from 5 ft
2:11.0,D. McDermott misses 2-pt shot from 1 ft (block by J. Randle),,86-69,,
2:09.0,,,86-69,,Defensive rebound by J. Randle
2:07.0,,,86-69,,L. Nance enters the game for J. Randle
2:04.0,,,86-69,,Turnover by A. Brown (bad pass; steal by B. Portis)
1:58.0,D. McDermott misses 3-pt shot from 24 ft,,86-69,,
1:56.0,Offensive rebound by B. Portis,,86-69,,
