time,Memphis,pts.away,score,pts.home,Atlanta
3:23.0,,,74-88,,Loose ball foul by T. Sefolosha
3:14.0,J. Green makes 2-pt shot from 16 ft (assist by R. McCallum),2,76-88,,
3:02.0,,,76-88,,K. Hinrich misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by J. Green,,76-88,,
2:51.0,Turnover by L. Stephenson (lost ball; steal by T. Sefolosha),,76-88,,
2:46.0,,,76-90,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
2:25.0,M. Barnes misses 2-pt shot from 1 ft,,76-90,,
2:25.0,Offensive rebound by T. Allen,,76-90,,
2:25.0,T. Allen makes 2-pt shot at rim,2,78-90,,
2:25.0,Shooting foul by P. Millsap (drawn by T. Allen),,78-90,,
2:25.0,,,78-90,,Atlanta full timeout
2:25.0,B. Weber enters the game for L. Stephenson,,78-90,,
2:25.0,,,78-90,,T. Hardaway enters the game for T. Sefolosha
2:25.0,T. Allen misses free throw 1 of 1,,78-90,,
2:24.0,Offensive rebound by Team,,78-90,,
2:12.0,Turnover by J. Green (lost ball; steal by P. Millsap),,78-90,,
2:11.0,Personal foul by T. Allen,,78-90,,
1:55.0,,,78-92,2,P. Millsap makes 2-pt shot from 3 ft (assist by K. Bazemore)
1:46.0,M. Barnes misses 3-pt shot from 24 ft,,78-92,,
1:45.0,,,78-92,,Defensive rebound by K. Bazemore
1:24.0,,,78-95,3,K. Korver makes 3-pt shot from 22 ft (assist by P. Millsap)
1:17.0,Memphis full timeout,,78-95,,
1:17.0,,,78-95,,M. Muscala enters the game for K. Bazemore
1:17.0,,,78-95,,M. Scott enters the game for P. Millsap
1:17.0,,,78-95,,K. Humphries enters the game for K. Korver
1:17.0,J. Martin enters the game for M. Barnes,,78-95,,
1:17.0,R. Hollins enters the game for J. Green,,78-95,,
1:17.0,A. Stepheson enters the game for T. Allen,,78-95,,
1:02.0,R. McCallum makes 3-pt shot from 24 ft (assist by A. Stepheson),3,81-95,,
0:43.0,,,81-95,,T. Hardaway misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by R. Hollins,,81-95,,
0:33.0,R. McCallum makes 2-pt shot from 12 ft,2,83-95,,
0:21.0,,,83-95,,K. Humphries misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by A. Stepheson,,83-95,,
0:01.0,J. Martin misses 2-pt shot from 20 ft,,83-95,,
0:01.0,Offensive rebound by R. Hollins,,83-95,,
0:00.0,Turnover by R. Hollins (lost ball; steal by K. Humphries),,83-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
