time,LA Clippers,pts.away,score,pts.home,Portland
0:06.0,,,63-40,,Turnover by A. Aminu (bad pass; steal by J. Crawford)
0:02.0,Turnover by P. Pierce (bad pass; steal by A. Crabbe),,63-40,,
0:00.0,,,63-40,,L. Montero misses 3-pt shot from 47 ft
0:00.0,,,63-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,63-42,2,A. Crabbe makes 2-pt shot from 20 ft (assist by A. Aminu)
11:16.0,C. Paul misses 2-pt shot from 16 ft,,63-42,,
11:15.0,,,63-42,,Defensive rebound by A. Aminu
11:11.0,Personal foul by C. Paul (drawn by D. Lillard),,63-42,,
11:04.0,,,63-44,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
10:42.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by P. Pierce),2,65-44,,
10:34.0,,,65-44,,Shooting foul by P. Pierce (drawn by M. Plumlee)
10:34.0,,,65-44,,M. Plumlee misses free throw 1 of 2
10:34.0,,,65-44,,Offensive rebound by Team
10:34.0,,,65-45,1,M. Plumlee makes free throw 2 of 2
10:22.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,68-45,,
10:10.0,Personal foul by J. Redick (drawn by M. Plumlee),,68-45,,
10:05.0,,,68-48,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:40.0,Turnover by J. Redick (bad pass; steal by D. Lillard),,68-48,,
9:38.0,Personal foul by D. Jordan (drawn by D. Lillard),,68-48,,
9:19.0,,,68-50,2,M. Plumlee makes 2-pt shot from 3 ft
8:52.0,C. Paul misses 3-pt shot from 24 ft,,68-50,,
8:51.0,,,68-50,,Defensive rebound by A. Aminu
8:45.0,,,68-50,,M. Plumlee misses 2-pt shot from 3 ft (block by D. Jordan)
8:44.0,,,68-50,,Offensive rebound by M. Plumlee
8:44.0,Personal foul by C. Paul (drawn by M. Plumlee),,68-50,,
8:44.0,,,68-50,,M. Plumlee misses free throw 1 of 2
8:44.0,,,68-50,,Offensive rebound by Team
8:44.0,,,68-51,1,M. Plumlee makes free throw 2 of 2
8:30.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,70-51,,
8:13.0,,,70-51,,N. Vonleh misses 3-pt shot from 23 ft
8:13.0,,,70-51,,Offensive rebound by Team
8:13.0,Loose ball foul by P. Pierce (drawn by M. Plumlee),,70-51,,
8:13.0,,,70-52,1,M. Plumlee makes free throw 1 of 2
8:13.0,,,70-52,,M. Plumlee misses free throw 2 of 2
8:12.0,Defensive rebound by D. Jordan,,70-52,,
7:56.0,J. Redick misses 3-pt shot from 24 ft,,70-52,,
7:55.0,,,70-52,,Defensive rebound by M. Plumlee
7:44.0,,,70-54,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
7:44.0,,,70-54,,Shooting foul by P. Pierce (drawn by N. Vonleh)
7:44.0,,,70-55,1,N. Vonleh makes free throw 1 of 1
7:26.0,P. Pierce misses 2-pt shot from 14 ft (block by D. Lillard),,70-55,,
7:24.0,,,70-55,,Defensive rebound by D. Lillard
7:11.0,,,70-58,3,D. Lillard makes 3-pt shot from 24 ft
7:10.0,LA Clippers full timeout,,70-58,,
6:57.0,C. Paul misses 2-pt shot from 3 ft,,70-58,,
6:56.0,,,70-58,,Defensive rebound by N. Vonleh
6:49.0,,,70-58,,A. Aminu misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by P. Pierce,,70-58,,
6:42.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,73-58,,
6:24.0,,,73-58,,D. Lillard misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by P. Pierce,,73-58,,
6:11.0,C. Paul makes 2-pt shot from 17 ft,2,75-58,,
5:51.0,,,75-60,2,M. Plumlee makes 2-pt shot from 1 ft
5:29.0,J. Redick makes 2-pt shot from 2 ft,2,77-60,,
5:11.0,,,77-62,2,A. Crabbe makes 2-pt shot from 22 ft (assist by M. Plumlee)
4:58.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,79-62,,
4:41.0,,,79-62,,A. Crabbe misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by D. Jordan,,79-62,,
4:32.0,D. Jordan misses 2-pt shot at rim,,79-62,,
4:31.0,Offensive rebound by C. Paul,,79-62,,
4:31.0,,,79-62,,Personal foul by N. Vonleh (drawn by C. Paul)
4:31.0,W. Johnson enters the game for P. Pierce,,79-62,,
4:12.0,J. Redick misses 3-pt shot from 27 ft,,79-62,,
4:11.0,,,79-62,,Defensive rebound by M. Plumlee
4:04.0,,,79-62,,D. Lillard misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
4:04.0,,,79-62,,Offensive rebound by Team
3:54.0,,,79-62,,D. Lillard misses 2-pt shot from 21 ft
3:53.0,,,79-62,,Offensive rebound by M. Plumlee
3:49.0,,,79-64,2,M. Plumlee makes 2-pt shot from 8 ft
3:30.0,L. Mbah a Moute misses 2-pt shot from 13 ft,,79-64,,
3:28.0,Offensive rebound by D. Jordan,,79-64,,
3:24.0,W. Johnson misses 2-pt shot from 20 ft,,79-64,,
3:23.0,Offensive rebound by D. Jordan,,79-64,,
3:12.0,Turnover by L. Mbah a Moute (traveling),,79-64,,
3:12.0,,,79-64,,Portland full timeout
3:12.0,J. Crawford enters the game for L. Mbah a Moute,,79-64,,
3:12.0,,,79-64,,M. Harkless enters the game for A. Aminu
3:12.0,,,79-64,,E. Davis enters the game for N. Vonleh
2:52.0,,,79-66,2,M. Plumlee makes 2-pt shot from 13 ft
2:34.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,81-66,,
2:12.0,,,81-66,,Offensive foul by M. Plumlee
2:12.0,,,81-66,,Turnover by M. Plumlee (offensive foul)
1:58.0,C. Paul makes 2-pt shot from 1 ft,2,83-66,,
1:39.0,,,83-66,,D. Lillard misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by D. Jordan,,83-66,,
1:28.0,C. Paul misses 3-pt shot from 24 ft,,83-66,,
1:27.0,,,83-66,,Defensive rebound by E. Davis
1:23.0,,,83-66,,Shooting foul by J. Crawford (drawn by M. Plumlee)
1:23.0,,,83-67,1,M. Plumlee makes free throw 1 of 2
1:23.0,P. Prigioni enters the game for C. Paul,,83-67,,
1:23.0,A. Rivers enters the game for J. Redick,,83-67,,
1:23.0,,,83-68,1,M. Plumlee makes free throw 2 of 2
1:07.0,J. Crawford misses 3-pt shot from 25 ft,,83-68,,
1:06.0,,,83-68,,Defensive rebound by A. Crabbe
1:00.0,,,83-70,2,M. Plumlee makes 2-pt shot at rim (assist by A. Crabbe)
0:46.0,W. Johnson misses 2-pt shot from 17 ft,,83-70,,
0:45.0,Offensive rebound by D. Jordan,,83-70,,
0:42.0,Turnover by W. Johnson (bad pass),,83-70,,
0:42.0,C. Aldrich enters the game for D. Jordan,,83-70,,
0:33.0,,,83-70,,D. Lillard misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by C. Aldrich,,83-70,,
0:08.0,J. Crawford misses 2-pt shot from 22 ft,,83-70,,
0:05.0,Offensive rebound by P. Prigioni,,83-70,,
0:00.0,A. Rivers makes 2-pt shot from 21 ft (assist by J. Crawford),2,85-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Rivers makes 2-pt shot from 15 ft,2,87-70,,
11:34.0,Personal foul by A. Rivers (drawn by D. Lillard),,87-70,,
11:25.0,,,87-72,2,M. Leonard makes 2-pt shot from 18 ft (assist by M. Harkless)
11:06.0,J. Crawford misses 2-pt shot from 17 ft,,87-72,,
11:05.0,Offensive rebound by J. Crawford,,87-72,,
10:46.0,Turnover by J. Crawford (lost ball; steal by G. Henderson),,87-72,,
10:46.0,,,87-72,,Turnover by G. Henderson (lost ball)
10:40.0,A. Rivers misses 2-pt shot from 6 ft (block by G. Henderson),,87-72,,
10:39.0,,,87-72,,Defensive rebound by E. Davis
10:30.0,,,87-72,,D. Lillard misses 2-pt shot from 7 ft
10:28.0,,,87-72,,Offensive rebound by D. Lillard
10:26.0,,,87-72,,D. Lillard misses 2-pt shot from 13 ft
10:24.0,,,87-72,,Offensive rebound by E. Davis
10:24.0,,,87-74,2,E. Davis makes 2-pt shot at rim
10:06.0,C. Aldrich misses 2-pt shot from 3 ft (block by M. Harkless),,87-74,,
10:05.0,,,87-74,,Defensive rebound by D. Lillard
