time,Orlando,pts.away,score,pts.home,Phoenix
3:09.0,,,97-102,,E. Bledsoe misses 3-pt shot from 25 ft
3:07.0,,,97-102,,Offensive rebound by P. Tucker
3:04.0,,,97-102,,B. Knight misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by V. Oladipo,,97-102,,
2:45.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,100-102,,
2:24.0,,,100-102,,E. Bledsoe misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by E. Payton,,100-102,,
2:15.0,Shooting foul by E. Bledsoe (drawn by T. Harris),,100-102,,
2:15.0,T. Harris makes free throw 1 of 2,1,101-102,,
2:15.0,,,101-102,,D. Booker enters the game for M. Teletovic
2:15.0,T. Harris makes free throw 2 of 2,1,102-102,,
2:03.0,Violation by V. Oladipo (kicked ball),,102-102,,
1:48.0,Jump ball: V. Oladipo vs. P. Tucker (B. Knight gains possession),,,,Jump ball: V. Oladipo vs. P. Tucker (B. Knight gains possession)
1:41.0,Personal foul by T. Harris (drawn by E. Bledsoe),,102-102,,
1:41.0,,,102-103,1,E. Bledsoe makes free throw 1 of 2
1:41.0,,,102-104,1,E. Bledsoe makes free throw 2 of 2
1:28.0,Shooting foul by A. Len (drawn by N. Vucevic),,102-104,,
1:28.0,N. Vucevic makes free throw 1 of 2,1,103-104,,
1:28.0,N. Vucevic makes free throw 2 of 2,1,104-104,,
1:11.0,,,104-106,2,E. Bledsoe makes 2-pt shot from 1 ft
0:54.0,E. Fournier misses 2-pt shot from 2 ft,,104-106,,
0:52.0,Offensive rebound by N. Vucevic,,104-106,,
0:52.0,N. Vucevic misses 2-pt shot from 1 ft,,104-106,,
0:50.0,,,104-106,,Defensive rebound by B. Knight
0:29.0,,,104-106,,P. Tucker misses 3-pt shot from 22 ft
0:28.0,Defensive rebound by E. Fournier,,104-106,,
0:28.0,Orlando full timeout,,104-106,,
0:26.0,Turnover by E. Payton (back court),,104-106,,
0:26.0,,,104-106,,Phoenix full timeout
0:26.0,,,104-106,,M. Teletovic enters the game for P. Tucker
0:26.0,A. Gordon enters the game for N. Vucevic,,104-106,,
0:26.0,,,104-106,,Phoenix full timeout
0:26.0,,,104-106,,P. Tucker enters the game for A. Len
0:17.0,Personal take foul by V. Oladipo (drawn by E. Bledsoe),,104-106,,
0:17.0,,,104-107,1,E. Bledsoe makes free throw 1 of 2
0:17.0,N. Vucevic enters the game for T. Harris,,104-107,,
0:17.0,,,104-107,,E. Bledsoe misses free throw 2 of 2
0:16.0,Defensive rebound by Team,,104-107,,
0:16.0,Orlando full timeout,,104-107,,
0:16.0,T. Harris enters the game for A. Gordon,,104-107,,
0:16.0,,,104-107,,A. Len enters the game for M. Teletovic
0:06.0,V. Oladipo misses 3-pt shot from 24 ft,,104-107,,
0:03.0,Offensive rebound by Team,,104-107,,
0:00.0,E. Fournier misses 3-pt shot from 24 ft (block by A. Len),,104-107,,
0:00.0,,,104-107,,Defensive rebound by B. Knight
0:00.0,End of 4th quarter,,,,End of 4th quarter
