time,Atlanta,pts.away,score,pts.home,Dallas
5:17.0,,,84-84,,W. Matthews misses 2-pt shot from 21 ft
5:16.0,,,84-84,,Offensive rebound by D. Williams
5:13.0,,,84-86,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki)
4:54.0,J. Teague misses 2-pt shot from 8 ft,,84-86,,
4:53.0,,,84-86,,Defensive rebound by R. Felton
4:38.0,,,84-88,2,D. Williams makes 2-pt shot from 12 ft
4:16.0,Turnover by A. Horford (lost ball; steal by D. Nowitzki),,84-88,,
4:10.0,,,84-88,,D. Nowitzki misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by P. Millsap,,84-88,,
4:03.0,A. Horford misses 2-pt shot from 1 ft (block by D. Nowitzki),,84-88,,
4:03.0,,,84-88,,Defensive rebound by Team
3:53.0,,,84-88,,Turnover by D. Nowitzki (lost ball; steal by P. Millsap)
3:50.0,Shooting foul by D. Nowitzki (drawn by K. Korver),,84-88,,
3:50.0,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap),2,86-88,,
3:50.0,K. Bazemore enters the game for T. Sefolosha,,86-88,,
3:50.0,K. Korver makes free throw 1 of 1,1,87-88,,
3:35.0,,,87-90,2,D. Williams makes 2-pt shot from 16 ft
3:27.0,Atlanta full timeout,,87-90,,
3:27.0,,,87-90,,D. Powell enters the game for D. Nowitzki
3:22.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,89-90,,
3:07.0,,,89-93,3,D. Williams makes 3-pt shot from 22 ft (assist by R. Felton)
2:54.0,K. Bazemore misses 2-pt shot from 8 ft,,89-93,,
2:53.0,Offensive rebound by P. Millsap,,89-93,,
2:53.0,P. Millsap makes 2-pt shot at rim,2,91-93,,
2:33.0,,,91-93,,D. Williams misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by K. Bazemore,,91-93,,
2:20.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,94-93,,
2:18.0,,,94-93,,Dallas full timeout
2:18.0,,,94-93,,D. Nowitzki enters the game for D. Powell
2:06.0,Personal foul by J. Teague (drawn by D. Williams),,94-93,,
1:53.0,,,94-93,,W. Matthews misses 2-pt shot from 13 ft
1:52.0,Defensive rebound by P. Millsap,,94-93,,
1:41.0,P. Millsap makes 2-pt shot from 16 ft (assist by J. Teague),2,96-93,,
1:23.0,,,96-93,,D. Nowitzki misses 3-pt shot from 22 ft (block by P. Millsap)
1:21.0,Defensive rebound by K. Bazemore,,96-93,,
1:09.0,K. Bazemore misses 3-pt shot from 24 ft,,96-93,,
1:08.0,,,96-93,,Defensive rebound by D. Williams
1:01.0,,,96-93,,D. Nowitzki misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by P. Millsap,,96-93,,
0:39.0,J. Teague misses 2-pt shot from 14 ft,,96-93,,
0:38.0,,,96-93,,Defensive rebound by D. Nowitzki
0:37.0,,,96-93,,Dallas full timeout
0:37.0,T. Sefolosha enters the game for J. Teague,,96-93,,
0:30.0,,,96-93,,Shooting foul by A. Horford (drawn by R. Felton)
0:30.0,,,96-94,1,R. Felton makes free throw 1 of 2
0:30.0,,,96-95,1,R. Felton makes free throw 2 of 2
0:30.0,Atlanta full timeout,,96-95,,
0:30.0,J. Teague enters the game for T. Sefolosha,,96-95,,
0:11.0,Shooting foul by W. Matthews (drawn by J. Teague),,96-95,,
0:11.0,J. Teague makes free throw 1 of 2,1,97-95,,
0:11.0,J. Teague makes free throw 2 of 2,1,98-95,,
0:01.0,,,98-95,,D. Williams misses 3-pt shot from 24 ft
0:00.0,,,98-95,,Offensive rebound by Z. Pachulia
0:00.0,End of 4th quarter,,,,End of 4th quarter
