time,Toronto,pts.away,score,pts.home,Utah
0:18.0,,,87-92,1,T. Burke makes free throw 2 of 2
0:11.0,L. Scola makes 2-pt shot from 23 ft (assist by K. Lowry),2,89-92,,
0:10.0,,,89-92,,Utah full timeout
0:10.0,,,89-92,,J. Ingles enters the game for T. Burke
0:09.0,Personal foul by L. Scola (drawn by D. Favors),,89-92,,
0:09.0,,,89-92,,D. Favors misses free throw 1 of 2
0:09.0,,,89-92,,Offensive rebound by Team
0:09.0,,,89-92,,C. Johnson enters the game for J. Ingles
0:09.0,,,89-93,1,D. Favors makes free throw 2 of 2
0:04.0,K. Lowry misses 3-pt shot from 25 ft,,89-93,,
0:02.0,,,89-93,,Defensive rebound by C. Johnson
0:00.0,Jump ball: D. DeRozan vs. C. Johnson (A. Burks gains possession),,,,Jump ball: D. DeRozan vs. C. Johnson (A. Burks gains possession)
0:00.0,End of 4th quarter,,,,End of 4th quarter
