time,Oklahoma City,pts.away,score,pts.home,Cleveland
2:24.0,,,93-100,2,L. James makes 2-pt shot from 2 ft
2:10.0,Turnover by K. Durant (bad pass; steal by L. James),,93-100,,
2:09.0,,,93-100,,Turnover by L. James (bad pass; steal by R. Westbrook)
2:04.0,Shooting foul by T. Thompson (drawn by R. Westbrook),,93-100,,
2:04.0,R. Westbrook makes free throw 1 of 2,1,94-100,,
2:04.0,R. Westbrook makes free throw 2 of 2,1,95-100,,
1:44.0,,,95-103,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
1:34.0,R. Westbrook makes 3-pt shot from 25 ft,3,98-103,,
1:10.0,,,98-103,,Turnover by Team (shot clock)
0:58.0,Oklahoma City full timeout,,98-103,,
0:53.0,R. Westbrook makes 2-pt shot from 14 ft,2,100-103,,
0:28.0,,,100-103,,L. James misses 2-pt shot from 8 ft
0:26.0,Defensive rebound by S. Ibaka,,100-103,,
0:23.0,Oklahoma City full timeout,,100-103,,
0:09.0,K. Durant misses 3-pt shot from 25 ft,,100-103,,
0:08.0,,,100-103,,Defensive rebound by T. Thompson
0:07.0,,,100-103,,Turnover by T. Thompson (bad pass)
0:07.0,Oklahoma City full timeout,,100-103,,
0:03.0,R. Westbrook misses 3-pt shot from 26 ft,,100-103,,
0:02.0,,,100-103,,Defensive rebound by L. James
0:01.0,Personal foul by S. Adams (drawn by L. James),,100-103,,
0:01.0,A. Roberson enters the game for S. Adams,,100-103,,
0:01.0,,,100-104,1,L. James makes free throw 1 of 2
0:01.0,,,100-104,,L. James misses free throw 2 of 2
0:00.0,Defensive rebound by S. Ibaka,,100-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
