time,Brooklyn,pts.away,score,pts.home,Detroit
1:08.0,W. Reed makes free throw 1 of 2,1,98-110,,
1:08.0,W. Reed makes free throw 2 of 2,1,99-110,,
0:58.0,,,99-112,2,A. Tolliver makes 2-pt shot at rim (assist by S. Blake)
0:58.0,,,99-112,,Shooting foul by W. Reed (drawn by A. Tolliver)
0:58.0,,,99-113,1,A. Tolliver makes free throw 1 of 1
0:49.0,S. Kilpatrick makes 2-pt shot from 14 ft,2,101-113,,
0:33.0,,,101-115,2,A. Baynes makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:25.0,Shooting foul by A. Baynes (drawn by W. Reed),,101-115,,
0:25.0,W. Reed makes free throw 1 of 2,1,102-115,,
0:25.0,W. Reed makes free throw 2 of 2,1,103-115,,
0:00.0,,,103-115,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
