time,New Orleans,pts.away,score,pts.home,Miami
1:09.0,,,76-76,2,D. Wade makes 2-pt shot at rim (assist by C. Bosh)
0:52.0,Turnover by T. Evans (bad pass; steal by G. Green),,76-76,,
0:48.0,,,76-78,2,G. Green makes 2-pt shot from 1 ft
0:48.0,New Orleans full timeout,,76-78,,
0:37.0,E. Gordon makes 2-pt shot at rim,2,78-78,,
0:15.0,,,78-78,,C. Bosh misses 2-pt shot from 10 ft
0:14.0,Defensive rebound by R. Anderson,,78-78,,
0:14.0,New Orleans full timeout,,78-78,,
0:09.0,New Orleans full timeout,,78-78,,
0:02.0,A. Davis misses 2-pt shot from 20 ft,,78-78,,
0:01.0,,,78-78,,Defensive rebound by D. Wade
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,78-78,,Turnover by L. Deng (bad pass; steal by R. Anderson)
4:25.0,Turnover by Team (5 sec inbounds),,78-78,,
4:06.0,,,78-78,,D. Wade misses 2-pt shot from 15 ft
4:05.0,Defensive rebound by R. Anderson,,78-78,,
3:49.0,N. Cole misses 2-pt shot from 19 ft,,78-78,,
3:48.0,,,78-78,,Defensive rebound by C. Bosh
3:31.0,,,78-78,,Shooting foul by R. Anderson (drawn by C. Bosh)
3:31.0,,,78-79,1,C. Bosh makes free throw 1 of 2
3:31.0,,,78-80,1,C. Bosh makes free throw 2 of 2
3:17.0,E. Gordon makes 2-pt shot from 5 ft,2,80-80,,
2:56.0,,,80-83,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
2:34.0,T. Evans makes 2-pt shot from 2 ft,2,82-83,,
2:13.0,,,82-85,2,C. Bosh makes 2-pt shot from 4 ft
2:05.0,R. Anderson misses 3-pt shot from 24 ft,,82-85,,
2:04.0,,,82-85,,Defensive rebound by C. Bosh
1:46.0,Personal foul by E. Gordon (drawn by D. Wade),,82-85,,
1:36.0,,,82-87,2,D. Wade makes 2-pt shot from 16 ft
1:36.0,New Orleans full timeout,,82-87,,
1:17.0,A. Davis misses 2-pt shot from 1 ft,,82-87,,
1:16.0,,,82-87,,Defensive rebound by G. Green
1:06.0,,,82-87,,D. Wade misses 2-pt shot from 5 ft
1:05.0,Defensive rebound by A. Davis,,82-87,,
1:00.0,Turnover by T. Evans (traveling),,82-87,,
0:41.0,,,82-89,2,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade)
0:41.0,,,82-89,,Shooting foul by E. Gordon (drawn by C. Bosh)
0:41.0,,,82-90,1,C. Bosh makes free throw 1 of 1
0:41.0,New Orleans full timeout,,82-90,,
0:41.0,New Orleans full timeout,,82-90,,
0:39.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,84-90,,
0:38.0,Personal foul by E. Gordon (drawn by D. Wade),,84-90,,
0:38.0,,,84-91,1,D. Wade makes free throw 1 of 2
0:38.0,,,84-92,1,D. Wade makes free throw 2 of 2
0:31.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,87-92,,
0:31.0,Shooting foul by G. Green (drawn by E. Gordon),,87-92,,
0:31.0,E. Gordon makes free throw 1 of 1,1,88-92,,
0:31.0,Personal foul by E. Gordon (drawn by D. Wade),,88-92,,
0:31.0,,,88-93,1,D. Wade makes free throw 1 of 2
0:31.0,,,88-94,1,D. Wade makes free throw 2 of 2
0:21.0,E. Gordon misses 2-pt shot from 2 ft,,88-94,,
0:20.0,,,88-94,,Defensive rebound by D. Wade
0:00.0,End of 1st overtime,,,,End of 1st overtime
