time,Minnesota,pts.away,score,pts.home,Brooklyn
2:29.0,,,100-83,,Defensive rebound by B. Lopez
2:25.0,,,100-85,2,J. Johnson makes 2-pt shot from 2 ft (assist by J. Jack)
2:24.0,Minnesota full timeout,,100-85,,
2:24.0,S. Muhammad enters the game for R. Rubio,,100-85,,
2:24.0,A. Miller enters the game for A. Wiggins,,100-85,,
2:07.0,Z. LaVine misses 2-pt shot from 2 ft (block by B. Lopez),,100-85,,
2:05.0,,,100-85,,Defensive rebound by J. Johnson
1:59.0,,,100-85,,J. Jack misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by K. Towns,,100-85,,
1:36.0,Z. LaVine misses 2-pt shot from 6 ft,,100-85,,
1:35.0,Offensive rebound by Team,,100-85,,
1:35.0,Turnover by Team (shot clock),,100-85,,
1:35.0,D. Rudez enters the game for K. Towns,,100-85,,
1:17.0,,,100-85,,B. Bogdanovic misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by Z. LaVine,,100-85,,
0:58.0,S. Muhammad misses 3-pt shot from 25 ft,,100-85,,
0:56.0,,,100-85,,Defensive rebound by J. Jack
0:47.0,,,100-85,,B. Lopez misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by D. Rudez,,100-85,,
0:23.0,D. Rudez misses 3-pt shot from 22 ft,,100-85,,
0:22.0,,,100-85,,Defensive rebound by J. Johnson
0:06.0,,,100-85,,B. Bogdanovic misses 2-pt shot from 2 ft
0:05.0,Defensive rebound by G. Dieng,,100-85,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
