time,Milwaukee,pts.away,score,pts.home,Denver
0:28.0,,,100-101,1,E. Mudiay makes free throw 2 of 2
0:28.0,Milwaukee full timeout,,100-101,,
0:28.0,,,100-101,,W. Barton enters the game for J. Hickson
0:18.0,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by G. Vasquez),2,102-101,,
0:18.0,,,102-101,,Denver full timeout
0:05.0,,,102-101,,D. Gallinari misses 3-pt shot from 23 ft
0:05.0,,,102-101,,Offensive rebound by K. Faried
0:05.0,,,102-103,2,K. Faried makes 2-pt shot from 2 ft
0:05.0,Milwaukee full timeout,,102-103,,
0:01.0,K. Middleton misses 2-pt shot from 19 ft,,102-103,,
0:00.0,,,102-103,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
