time,Cleveland,pts.away,score,pts.home,Dallas
0:04.0,,,95-95,,Turnover by D. Nowitzki (lost ball; steal by I. Shumpert)
0:01.0,Cleveland full timeout,,95-95,,
0:01.0,,,95-95,,J. McGee enters the game for D. Nowitzki
0:01.0,K. Love enters the game for T. Thompson,,95-95,,
0:01.0,K. Irving enters the game for I. Shumpert,,95-95,,
0:01.0,,,95-95,,D. Harris enters the game for Z. Pachulia
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:36.0,L. James misses 3-pt shot from 26 ft,,95-95,,
4:34.0,,,95-95,,Defensive rebound by W. Matthews
4:26.0,,,95-98,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
4:01.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,98-98,,
3:32.0,,,98-98,,D. Nowitzki misses 3-pt shot from 31 ft
3:31.0,Defensive rebound by L. James,,98-98,,
3:18.0,K. Irving misses 2-pt shot from 3 ft,,98-98,,
3:16.0,Offensive rebound by K. Love,,98-98,,
3:16.0,K. Love misses 2-pt shot at rim,,98-98,,
3:14.0,,,98-98,,Defensive rebound by C. Parsons
3:04.0,Personal foul by M. Dellavedova (drawn by W. Matthews),,98-98,,
3:04.0,,,98-98,,D. Harris enters the game for J. McGee
3:04.0,I. Shumpert enters the game for J. Smith,,98-98,,
2:58.0,,,98-98,,Shooting foul by M. Dellavedova (drawn by D. Williams)
2:58.0,,,98-99,1,D. Williams makes free throw 1 of 2
2:58.0,,,98-100,1,D. Williams makes free throw 2 of 2
2:38.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,100-100,,
2:17.0,,,100-103,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
2:00.0,,,100-103,,Personal foul by D. Williams (drawn by K. Irving)
1:54.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,102-103,,
1:38.0,,,102-103,,D. Williams misses 2-pt shot from 3 ft
1:36.0,Defensive rebound by K. Irving,,102-103,,
1:32.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,104-103,,
1:32.0,,,104-103,,Dallas full timeout
1:32.0,J. Smith enters the game for K. Love,,104-103,,
1:12.0,,,104-103,,D. Nowitzki misses 2-pt shot from 2 ft
1:11.0,,,104-103,,Offensive rebound by C. Parsons
1:10.0,,,104-105,2,C. Parsons makes 2-pt shot from 2 ft
1:10.0,Cleveland full timeout,,104-105,,
1:10.0,K. Love enters the game for I. Shumpert,,104-105,,
1:00.0,L. James makes 2-pt shot from 2 ft,2,106-105,,
0:38.0,,,106-105,,D. Williams misses 2-pt shot from 23 ft
0:37.0,Defensive rebound by L. James,,106-105,,
0:14.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,109-105,,
0:13.0,,,109-105,,Dallas full timeout
0:13.0,I. Shumpert enters the game for K. Love,,109-105,,
0:13.0,T. Thompson enters the game for K. Irving,,109-105,,
0:06.0,,,109-105,,D. Williams misses 2-pt shot from 4 ft (block by I. Shumpert)
0:05.0,Defensive rebound by L. James,,109-105,,
0:05.0,,,109-105,,Personal take foul by D. Harris (drawn by L. James)
0:05.0,L. James misses free throw 1 of 2,,109-105,,
0:05.0,Offensive rebound by Team,,109-105,,
0:05.0,L. James makes free throw 2 of 2,1,110-105,,
0:05.0,,,110-105,,Dallas full timeout
0:02.0,,,110-105,,W. Matthews misses 3-pt shot from 27 ft
0:01.0,,,110-105,,Offensive rebound by D. Nowitzki
0:00.0,,,110-107,2,D. Williams makes 2-pt shot from 16 ft (assist by D. Nowitzki)
0:00.0,End of 1st overtime,,,,End of 1st overtime
