time,Orlando,pts.away,score,pts.home,Boston
4:16.0,,,90-98,,M. Smart misses 3-pt shot from 22 ft
4:15.0,Defensive rebound by V. Oladipo,,90-98,,
4:08.0,E. Fournier makes 2-pt shot from 3 ft,2,92-98,,
3:51.0,Personal foul by J. Smith,,92-98,,
3:51.0,,,92-98,,E. Turner enters the game for M. Smart
3:45.0,,,92-98,,I. Thomas misses 2-pt shot from 4 ft
3:44.0,,,92-98,,Offensive rebound by A. Bradley
3:39.0,,,92-98,,Turnover by A. Bradley (bad pass)
3:39.0,Orlando full timeout,,92-98,,
3:23.0,E. Fournier misses 2-pt shot from 1 ft,,92-98,,
3:22.0,,,92-98,,Defensive rebound by A. Bradley
3:02.0,,,92-98,,Turnover by A. Bradley (lost ball; steal by A. Gordon)
2:49.0,V. Oladipo makes 2-pt shot from 17 ft,2,94-98,,
2:24.0,,,94-98,,I. Thomas misses 3-pt shot from 25 ft
2:24.0,,,94-98,,Offensive rebound by A. Johnson
2:06.0,,,94-100,2,A. Bradley makes 2-pt shot from 2 ft
1:45.0,A. Gordon misses 2-pt shot from 2 ft (block by A. Johnson),,94-100,,
1:44.0,Offensive rebound by A. Gordon,,94-100,,
1:40.0,E. Fournier misses 3-pt shot from 24 ft,,94-100,,
1:39.0,,,94-100,,Defensive rebound by J. Jerebko
1:37.0,Personal foul by E. Payton,,94-100,,
1:37.0,,,94-100,,I. Thomas misses free throw 1 of 2
1:37.0,,,94-100,,Offensive rebound by Team
1:37.0,,,94-101,1,I. Thomas makes free throw 2 of 2
1:37.0,Orlando full timeout,,94-101,,
1:32.0,E. Payton makes 2-pt shot from 2 ft,2,96-101,,
1:13.0,,,96-103,2,A. Bradley makes 2-pt shot from 20 ft
1:01.0,A. Gordon misses 2-pt shot from 1 ft,,96-103,,
1:00.0,Offensive rebound by A. Gordon,,96-103,,
0:59.0,A. Gordon misses 2-pt shot from 1 ft (block by A. Johnson),,96-103,,
0:58.0,,,96-103,,Defensive rebound by E. Turner
0:38.0,,,96-105,2,I. Thomas makes 2-pt shot from 2 ft
0:38.0,Orlando full timeout,,96-105,,
0:31.0,V. Oladipo misses 3-pt shot from 27 ft,,96-105,,
0:29.0,,,96-105,,Defensive rebound by A. Bradley
0:28.0,Personal take foul by J. Smith,,96-105,,
0:28.0,,,96-106,1,A. Bradley makes free throw 1 of 2
0:28.0,,,96-107,1,A. Bradley makes free throw 2 of 2
0:20.0,E. Payton misses 2-pt shot from 2 ft,,96-107,,
0:20.0,,,96-107,,Defensive rebound by J. Jerebko
0:00.0,End of 4th quarter,,,,End of 4th quarter
