time,Denver,pts.away,score,pts.home,Utah
1:33.0,,,88-94,1,G. Hayward makes free throw 2 of 2
1:18.0,W. Barton misses 2-pt shot from 8 ft,,88-94,,
1:17.0,,,88-94,,Defensive rebound by T. Booker
0:56.0,,,88-94,,Turnover by G. Hayward (offensive goaltending)
0:46.0,D. Gallinari misses 3-pt shot from 24 ft,,88-94,,
0:44.0,Offensive rebound by Team,,88-94,,
0:44.0,Turnover by Team (5 sec inbounds),,88-94,,
0:44.0,,,88-94,,Utah full timeout
0:44.0,,,88-94,,J. Ingles enters the game for T. Booker
0:27.0,,,88-96,2,G. Hayward makes 2-pt shot from 1 ft
0:27.0,Denver full timeout,,88-96,,
0:27.0,,,88-96,,T. Booker enters the game for J. Ingles
0:18.0,W. Barton misses 3-pt shot from 24 ft,,88-96,,
0:17.0,,,88-96,,Defensive rebound by R. Hood
0:12.0,Personal foul by J. Lauvergne (drawn by R. Hood),,88-96,,
0:12.0,,,88-96,,R. Hood misses free throw 1 of 2
0:12.0,,,88-96,,Offensive rebound by Team
0:12.0,,,88-97,1,R. Hood makes free throw 2 of 2
0:03.0,J. Nelson misses 3-pt shot from 24 ft,,88-97,,
0:02.0,,,88-97,,Defensive rebound by A. Burks
0:00.0,End of 4th quarter,,,,End of 4th quarter
