time,Minnesota,pts.away,score,pts.home,Atlanta
0:47.0,,,113-107,,Turnover by K. Bazemore (offensive foul)
0:47.0,Minnesota full timeout,,113-107,,
0:47.0,,,113-107,,T. Sefolosha enters the game for K. Bazemore
0:47.0,,,113-107,,J. Holiday enters the game for K. Korver
0:43.0,,,113-107,,Personal take foul by J. Teague (drawn by R. Rubio)
0:43.0,R. Rubio makes free throw 1 of 2,1,114-107,,
0:43.0,R. Rubio makes free throw 2 of 2,1,115-107,,
0:43.0,,,115-107,,Atlanta full timeout
0:43.0,,,115-107,,K. Korver enters the game for T. Sefolosha
0:43.0,,,115-107,,D. Schroder enters the game for J. Holiday
0:37.0,,,115-107,,A. Horford misses 3-pt shot from 25 ft
0:35.0,,,115-107,,Offensive rebound by P. Millsap
0:30.0,,,115-107,,D. Schroder misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by K. Towns,,115-107,,
0:29.0,,,115-107,,Personal foul by A. Horford (drawn by K. Towns)
0:29.0,K. Towns makes free throw 1 of 2,1,116-107,,
0:29.0,K. Towns makes free throw 2 of 2,1,117-107,,
0:22.0,,,117-107,,P. Millsap misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by A. Wiggins,,117-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
