time,Charlotte,pts.away,score,pts.home,Portland
4:46.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,86-98,,
4:28.0,,,86-98,,A. Aminu misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by M. Williams,,86-98,,
4:16.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,89-98,,
3:58.0,,,89-98,,D. Lillard misses 2-pt shot from 21 ft
3:58.0,Defensive rebound by T. Hansbrough,,89-98,,
3:45.0,Turnover by N. Batum (lost ball; steal by G. Henderson),,89-98,,
3:40.0,,,89-100,2,A. Aminu makes 2-pt shot at rim (assist by G. Henderson)
3:26.0,B. Roberts makes 2-pt shot from 1 ft,2,91-100,,
3:01.0,,,91-100,,G. Henderson misses 2-pt shot from 15 ft
3:01.0,Defensive rebound by M. Williams,,91-100,,
2:43.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by M. Plumlee),,91-100,,
2:41.0,Offensive rebound by M. Williams,,91-100,,
2:41.0,M. Williams misses 2-pt shot from 1 ft,,91-100,,
2:40.0,Offensive rebound by M. Williams,,91-100,,
2:40.0,M. Williams misses 2-pt shot from 1 ft,,91-100,,
2:40.0,Offensive rebound by M. Williams,,91-100,,
2:40.0,Shooting foul by M. Plumlee (drawn by M. Williams),,91-100,,
2:40.0,,,91-100,,Portland full timeout
2:40.0,,,91-100,,A. Crabbe enters the game for G. Henderson
2:40.0,M. Williams misses free throw 1 of 2,,91-100,,
2:40.0,Offensive rebound by Team,,91-100,,
2:40.0,M. Williams misses free throw 2 of 2,,91-100,,
2:39.0,Offensive rebound by T. Hansbrough,,91-100,,
2:26.0,B. Roberts misses 3-pt shot from 25 ft,,91-100,,
2:25.0,,,91-100,,Defensive rebound by D. Lillard
2:10.0,,,91-102,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
2:10.0,,,91-102,,Shooting foul by M. Williams (drawn by A. Aminu)
2:10.0,,,91-103,1,A. Aminu makes free throw 1 of 1
1:55.0,N. Batum misses 3-pt shot from 24 ft,,91-103,,
1:55.0,,,91-103,,Defensive rebound by D. Lillard
1:39.0,,,91-105,2,D. Lillard makes 2-pt shot from 14 ft
1:39.0,Charlotte full timeout,,91-105,,
1:23.0,B. Roberts misses 2-pt shot from 2 ft,,91-105,,
1:23.0,Offensive rebound by T. Hansbrough,,91-105,,
1:23.0,T. Hansbrough misses 2-pt shot at rim,,91-105,,
1:21.0,,,91-105,,Defensive rebound by C. McCollum
1:04.0,,,91-107,2,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee)
0:55.0,Turnover by N. Batum (bad pass; steal by A. Crabbe),,91-107,,
0:35.0,,,91-109,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
0:22.0,M. Williams misses 3-pt shot from 25 ft,,91-109,,
0:22.0,,,91-109,,Defensive rebound by M. Plumlee
0:00.0,End of 4th quarter,,,,End of 4th quarter
