time,LA Clippers,pts.away,score,pts.home,Charlotte
5:05.0,Turnover by J. Crawford (bad pass; steal by C. Zeller),,108-99,,
5:00.0,,,108-99,,Turnover by N. Batum (bad pass; steal by C. Aldrich)
4:52.0,LA Clippers full timeout,,108-99,,
4:52.0,D. Jordan enters the game for P. Prigioni,,108-99,,
4:52.0,C. Paul enters the game for C. Aldrich,,108-99,,
4:52.0,,,108-99,,M. Williams enters the game for C. Zeller
4:36.0,C. Paul misses 3-pt shot from 25 ft,,108-99,,
4:35.0,,,108-99,,Defensive rebound by F. Kaminsky
4:27.0,,,108-102,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker)
4:14.0,,,108-102,,Personal foul by P. Hairston (drawn by J. Crawford)
4:14.0,P. Pierce enters the game for W. Johnson,,108-102,,
4:14.0,J. Redick enters the game for A. Rivers,,108-102,,
4:00.0,C. Paul makes 2-pt shot from 12 ft,2,110-102,,
3:47.0,,,110-102,,F. Kaminsky misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by Team,,110-102,,
3:28.0,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul),2,112-102,,
3:13.0,,,112-104,2,N. Batum makes 2-pt shot from 11 ft (assist by K. Walker)
2:52.0,P. Pierce makes 2-pt shot from 12 ft,2,114-104,,
2:35.0,,,114-104,,P. Hairston misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by C. Paul,,114-104,,
2:22.0,J. Redick misses 3-pt shot from 26 ft,,114-104,,
2:17.0,Offensive rebound by C. Paul,,114-104,,
2:01.0,C. Paul misses 2-pt shot from 12 ft,,114-104,,
2:00.0,,,114-104,,Defensive rebound by M. Williams
1:56.0,Personal foul by J. Redick (drawn by K. Walker),,114-104,,
1:56.0,,,114-105,1,K. Walker makes free throw 1 of 2
1:56.0,,,114-105,,J. Lamb enters the game for P. Hairston
1:56.0,,,114-106,1,K. Walker makes free throw 2 of 2
1:39.0,Shooting foul by J. Lamb (drawn by D. Jordan),,114-106,,
1:39.0,D. Jordan makes free throw 1 of 2,1,115-106,,
1:39.0,D. Jordan misses free throw 2 of 2,,115-106,,
1:39.0,,,115-106,,Defensive rebound by Team
1:22.0,,,115-108,2,K. Walker makes 2-pt shot from 1 ft
1:06.0,,,115-108,,Personal foul by F. Kaminsky (drawn by D. Jordan)
1:06.0,D. Jordan makes free throw 1 of 2,1,116-108,,
1:06.0,D. Jordan misses free throw 2 of 2,,116-108,,
1:05.0,,,116-108,,Defensive rebound by M. Williams
0:54.0,,,116-110,2,J. Lamb makes 2-pt shot from 1 ft
0:43.0,,,116-110,,Personal foul by K. Walker (drawn by C. Paul)
0:43.0,C. Paul makes free throw 1 of 2,1,117-110,,
0:43.0,A. Rivers enters the game for J. Redick,,117-110,,
0:43.0,L. Mbah a Moute enters the game for J. Crawford,,117-110,,
0:43.0,C. Paul makes free throw 2 of 2,1,118-110,,
0:38.0,,,118-110,,Shooting foul by D. Jordan (drawn by K. Walker)
0:38.0,,,118-111,1,K. Walker makes free throw 1 of 2
0:38.0,J. Crawford enters the game for D. Jordan,,118-111,,
0:38.0,J. Redick enters the game for L. Mbah a Moute,,118-111,,
0:38.0,,,118-112,1,K. Walker makes free throw 2 of 2
0:33.0,,,118-112,,Personal take foul by F. Kaminsky (drawn by J. Crawford)
0:33.0,J. Crawford makes free throw 1 of 2,1,119-112,,
0:33.0,L. Mbah a Moute enters the game for J. Redick,,119-112,,
0:33.0,J. Crawford makes free throw 2 of 2,1,120-112,,
0:26.0,,,120-114,2,K. Walker makes 2-pt shot from 22 ft
0:26.0,LA Clippers full timeout,,120-114,,
0:26.0,W. Johnson enters the game for L. Mbah a Moute,,120-114,,
0:26.0,J. Redick enters the game for A. Rivers,,120-114,,
0:18.0,,,120-114,,Personal foul by N. Batum (drawn by P. Pierce)
0:18.0,P. Pierce makes free throw 1 of 2,1,121-114,,
0:18.0,A. Rivers enters the game for J. Crawford,,121-114,,
0:18.0,P. Pierce makes free throw 2 of 2,1,122-114,,
0:13.0,,,122-114,,Shooting foul by P. Pierce (drawn by K. Walker)
0:13.0,,,122-115,1,K. Walker makes free throw 1 of 3
0:13.0,,,122-116,1,K. Walker makes free throw 2 of 3
0:13.0,J. Crawford enters the game for A. Rivers,,122-116,,
0:13.0,,,122-117,1,K. Walker makes free throw 3 of 3
0:12.0,,,122-117,,Personal foul by J. Lamb (drawn by W. Johnson)
0:12.0,A. Rivers enters the game for J. Redick,,122-117,,
0:12.0,,,122-117,,P. Hairston enters the game for J. Lamb
0:12.0,W. Johnson misses free throw 1 of 2,,122-117,,
0:12.0,Offensive rebound by Team,,122-117,,
0:12.0,W. Johnson misses free throw 2 of 2,,122-117,,
0:11.0,,,122-117,,Defensive rebound by F. Kaminsky
0:11.0,,,122-117,,Charlotte full timeout
0:11.0,J. Redick enters the game for W. Johnson,,122-117,,
0:11.0,L. Mbah a Moute enters the game for J. Crawford,,122-117,,
0:11.0,,,122-117,,C. Zeller enters the game for P. Hairston
0:11.0,D. Jordan enters the game for P. Pierce,,122-117,,
0:08.0,,,122-117,,K. Walker misses 3-pt shot from 24 ft
0:07.0,,,122-117,,Offensive rebound by C. Zeller
0:01.0,,,122-117,,F. Kaminsky misses 3-pt shot from 24 ft
0:00.0,,,122-117,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
