time,Sacramento,pts.away,score,pts.home,Washington
3:09.0,,,94-107,,Defensive rebound by M. Gortat
2:52.0,,,94-107,,J. Dudley misses 2-pt shot from 18 ft
2:50.0,Defensive rebound by D. Cousins,,94-107,,
2:43.0,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Rondo),2,96-107,,
2:29.0,,,96-107,,Turnover by J. Wall (bad pass)
2:29.0,Official timeout,,96-107,,
2:15.0,M. Belinelli misses 3-pt shot from 25 ft,,96-107,,
2:14.0,,,96-107,,Defensive rebound by M. Gortat
1:54.0,,,96-110,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
1:45.0,,,96-110,,Personal foul by G. Temple (drawn by M. Belinelli)
1:45.0,O. Casspi enters the game for R. Gay,,96-110,,
1:45.0,K. Koufos enters the game for D. Cousins,,96-110,,
1:45.0,S. Curry enters the game for R. Rondo,,96-110,,
1:45.0,B. McLemore enters the game for D. Collison,,96-110,,
1:34.0,O. Casspi misses 2-pt shot from 1 ft,,96-110,,
1:33.0,,,96-110,,Defensive rebound by M. Gortat
1:14.0,,,96-110,,M. Gortat misses 2-pt shot from 2 ft
1:13.0,Defensive rebound by K. Koufos,,96-110,,
1:13.0,Turnover by K. Koufos (traveling),,96-110,,
0:50.0,,,96-110,,J. Wall misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by B. McLemore,,96-110,,
0:41.0,S. Curry misses 2-pt shot from 16 ft,,96-110,,
0:40.0,,,96-110,,Defensive rebound by G. Temple
0:39.0,,,96-110,,Washington full timeout
0:39.0,,,96-110,,K. Oubre enters the game for J. Wall
0:39.0,,,96-110,,D. Blair enters the game for J. Dudley
0:39.0,,,96-110,,K. Humphries enters the game for M. Gortat
0:22.0,,,96-113,3,G. Temple makes 3-pt shot from 26 ft
0:13.0,S. Curry makes 2-pt shot from 3 ft,2,98-113,,
0:13.0,Shooting foul by G. Temple (drawn by S. Curry),,98-113,,
0:13.0,S. Curry makes free throw 1 of 1,1,99-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
