time,Denver,pts.away,score,pts.home,Milwaukee
3:15.0,E. Mudiay misses 2-pt shot from 2 ft,,67-89,,
3:14.0,,,67-89,,Defensive rebound by T. Ennis
2:52.0,,,67-89,,R. Vaughn misses 3-pt shot from 23 ft
2:50.0,Defensive rebound by D. Arthur,,67-89,,
2:31.0,J. Nelson makes 2-pt shot from 1 ft,2,69-89,,
2:09.0,,,69-91,2,J. O'Bryant makes 2-pt shot from 4 ft (assist by T. Ennis)
1:45.0,K. Papanikolaou misses 2-pt shot from 6 ft (block by R. Vaughn),,69-91,,
1:43.0,,,69-91,,Defensive rebound by T. Ennis
1:36.0,,,69-91,,R. Vaughn misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by W. Barton,,69-91,,
1:27.0,E. Mudiay misses 3-pt shot from 26 ft,,69-91,,
1:25.0,Offensive rebound by K. Papanikolaou,,69-91,,
1:21.0,W. Barton makes 3-pt shot from 25 ft (assist by K. Papanikolaou),3,72-91,,
1:06.0,M. Miller enters the game for W. Barton,,72-91,,
1:01.0,,,72-91,,T. Ennis misses 2-pt shot from 4 ft
1:01.0,,,72-91,,Offensive rebound by T. Ennis
1:01.0,Loose ball foul by J. Nelson (drawn by T. Ennis),,72-91,,
1:01.0,,,72-91,,T. Ennis misses free throw 1 of 2
1:01.0,,,72-91,,Offensive rebound by Team
1:01.0,,,72-92,1,T. Ennis makes free throw 2 of 2
0:47.0,K. Papanikolaou misses 3-pt shot from 23 ft,,72-92,,
0:46.0,Offensive rebound by D. Arthur,,72-92,,
0:35.0,E. Mudiay makes 2-pt shot from 1 ft (assist by M. Miller),2,74-92,,
0:13.0,,,74-92,,Turnover by J. O'Bryant (lost ball)
0:00.0,End of 4th quarter,,,,End of 4th quarter
