time,Portland,pts.away,score,pts.home,LA Clippers
2:31.0,,,37-42,,Shooting foul by A. Aminu (drawn by A. Rivers)
2:31.0,G. Henderson enters the game for A. Aminu,,37-42,,
2:31.0,,,37-42,,A. Rivers misses free throw 1 of 1
2:31.0,Defensive rebound by M. Harkless,,37-42,,
2:16.0,M. Harkless misses 2-pt shot from 2 ft (block by D. Jordan),,37-42,,
2:12.0,Offensive rebound by M. Harkless,,37-42,,
2:10.0,Shooting foul by P. Pierce (drawn by G. Henderson),,37-42,,
2:10.0,G. Henderson misses free throw 1 of 2,,37-42,,
2:10.0,Offensive rebound by Team,,37-42,,
2:10.0,G. Henderson makes free throw 2 of 2,1,38-42,,
1:49.0,,,38-42,,Turnover by A. Rivers (lost ball; steal by M. Plumlee)
1:47.0,Shooting foul by P. Pierce (drawn by M. Harkless),,38-42,,
1:47.0,M. Harkless makes free throw 1 of 2,1,39-42,,
1:47.0,M. Harkless makes free throw 2 of 2,1,40-42,,
1:47.0,Personal take foul by D. Lillard,,40-42,,
1:47.0,,,40-43,1,D. Jordan makes free throw 1 of 2
1:47.0,,,40-44,1,D. Jordan makes free throw 2 of 2
1:35.0,C. McCollum misses 2-pt shot from 6 ft,,40-44,,
1:34.0,,,40-44,,Defensive rebound by D. Jordan
1:34.0,,,40-44,,LA Clippers full timeout
1:34.0,,,40-44,,C. Aldrich enters the game for P. Pierce
1:34.0,,,40-44,,J. Green enters the game for D. Jordan
1:21.0,,,40-46,2,J. Crawford makes 2-pt shot from 2 ft
1:05.0,Turnover by M. Plumlee (lost ball; steal by J. Crawford),,40-46,,
0:56.0,,,40-48,2,C. Aldrich makes 2-pt shot from 5 ft (assist by J. Crawford)
0:49.0,,,40-48,,Personal block foul by C. Aldrich
0:49.0,D. Lillard makes free throw 1 of 2,1,41-48,,
0:49.0,D. Lillard makes free throw 2 of 2,1,42-48,,
0:35.0,,,42-50,2,J. Crawford makes 2-pt shot from 2 ft
0:28.0,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard),3,45-50,,
0:04.0,,,45-50,,J. Crawford misses 2-pt shot from 4 ft (block by G. Henderson)
0:04.0,,,45-50,,Offensive rebound by Team
0:03.0,,,45-50,,J. Redick misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by M. Plumlee,,45-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,45-50,,J. Redick misses 2-pt shot from 5 ft (block by C. McCollum)
11:41.0,Defensive rebound by C. McCollum,,45-50,,
11:35.0,D. Lillard misses 3-pt shot from 26 ft,,45-50,,
11:34.0,,,45-50,,Defensive rebound by D. Jordan
11:22.0,,,45-50,,A. Rivers misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by M. Plumlee,,45-50,,
11:13.0,Shooting foul by P. Pierce (drawn by A. Aminu),,45-50,,
11:13.0,A. Aminu makes free throw 1 of 2,1,46-50,,
11:13.0,A. Aminu makes free throw 2 of 2,1,47-50,,
11:01.0,,,47-50,,J. Redick misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by M. Plumlee,,47-50,,
10:47.0,M. Harkless misses 3-pt shot from 26 ft,,47-50,,
10:46.0,Offensive rebound by M. Plumlee,,47-50,,
10:43.0,A. Aminu misses 3-pt shot from 27 ft,,47-50,,
10:43.0,Offensive rebound by M. Harkless,,47-50,,
10:43.0,,,47-50,,Loose ball foul by J. Redick
10:33.0,Shooting foul by D. Jordan (drawn by A. Aminu),,47-50,,
10:33.0,A. Aminu makes free throw 1 of 2,1,48-50,,
10:33.0,A. Aminu misses free throw 2 of 2,,48-50,,
10:32.0,,,48-50,,Defensive rebound by D. Jordan
10:11.0,,,48-50,,J. Crawford misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by C. McCollum,,48-50,,
9:59.0,M. Plumlee misses 2-pt shot from 5 ft,,48-50,,
9:57.0,,,48-50,,Defensive rebound by J. Redick
9:46.0,,,48-50,,P. Pierce misses 2-pt shot from 3 ft
9:45.0,Defensive rebound by A. Aminu,,48-50,,
9:39.0,D. Lillard makes 3-pt shot from 27 ft,3,51-50,,
9:37.0,,,51-50,,LA Clippers full timeout
9:37.0,,,51-50,,J. Green enters the game for P. Pierce
9:19.0,,,51-50,,Turnover by A. Rivers (lost ball; steal by D. Lillard)
9:15.0,M. Plumlee makes 2-pt shot at rim,2,53-50,,
8:51.0,,,53-50,,A. Rivers misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by M. Plumlee,,53-50,,
8:25.0,C. McCollum misses 2-pt shot from 5 ft,,53-50,,
8:22.0,,,53-50,,Defensive rebound by D. Jordan
8:12.0,,,53-50,,D. Jordan misses 2-pt shot from 7 ft
8:11.0,,,53-50,,Offensive rebound by D. Jordan
8:11.0,,,53-50,,D. Jordan misses 2-pt shot from 7 ft
8:09.0,Defensive rebound by M. Harkless,,53-50,,
7:59.0,,,53-50,,Personal foul by A. Rivers
7:50.0,D. Lillard misses 2-pt shot from 21 ft,,53-50,,
7:48.0,,,53-50,,Defensive rebound by J. Green
7:42.0,Personal foul by M. Harkless,,53-50,,
7:28.0,,,53-50,,J. Green misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by M. Plumlee,,53-50,,
7:11.0,D. Lillard misses 2-pt shot from 16 ft,,53-50,,
7:10.0,Offensive rebound by M. Plumlee,,53-50,,
7:04.0,M. Harkless misses 3-pt shot from 25 ft,,53-50,,
7:03.0,,,53-50,,Defensive rebound by J. Green
6:48.0,,,53-50,,A. Rivers misses 2-pt shot from 3 ft (block by A. Aminu)
6:46.0,Defensive rebound by C. McCollum,,53-50,,
6:36.0,C. McCollum makes 2-pt shot from 19 ft,2,55-50,,
6:36.0,,,55-50,,LA Clippers full timeout
6:24.0,,,55-50,,Shooting foul by M. Plumlee (drawn by J. Green)
6:24.0,,,55-51,1,J. Green makes free throw 1 of 2
6:24.0,,,55-52,1,J. Green makes free throw 2 of 2
6:06.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,57-52,,
5:49.0,,,57-55,3,J. Crawford makes 3-pt shot from 27 ft (assist by J. Redick)
5:34.0,C. McCollum makes 2-pt shot from 12 ft (assist by M. Plumlee),2,59-55,,
5:13.0,,,59-57,2,J. Crawford makes 2-pt shot from 9 ft (assist by J. Green)
5:01.0,,,59-57,,Personal foul by J. Green
5:01.0,C. McCollum misses free throw 1 of 2,,59-57,,
5:01.0,Offensive rebound by Team,,59-57,,
5:01.0,G. Henderson enters the game for M. Harkless,,59-57,,
5:01.0,C. McCollum makes free throw 2 of 2,1,60-57,,
4:47.0,,,60-57,,Shooting foul by A. Aminu (drawn by D. Jordan)
4:47.0,,,60-58,1,D. Jordan makes free throw 1 of 2
4:47.0,A. Crabbe enters the game for A. Aminu,,60-58,,
4:47.0,,,60-58,,D. Jordan misses free throw 2 of 2
4:43.0,Defensive rebound by A. Crabbe,,60-58,,
4:29.0,C. McCollum makes 3-pt shot from 28 ft,3,63-58,,
4:10.0,,,63-60,2,J. Green makes 2-pt shot from 6 ft (assist by D. Jordan)
3:55.0,C. McCollum makes 2-pt shot from 5 ft,2,65-60,,
3:31.0,,,65-60,,J. Crawford misses 2-pt shot from 8 ft
3:29.0,Defensive rebound by G. Henderson,,65-60,,
3:24.0,A. Crabbe makes 2-pt shot from 19 ft (assist by G. Henderson),2,67-60,,
3:08.0,,,67-62,2,D. Jordan makes 2-pt shot at rim
2:33.0,G. Henderson makes 2-pt shot from 5 ft (assist by M. Plumlee),2,69-62,,
2:20.0,,,69-62,,Turnover by D. Jordan (lost ball; steal by A. Crabbe)
2:15.0,M. Plumlee makes 2-pt shot at rim (assist by A. Crabbe),2,71-62,,
1:52.0,,,71-62,,Shooting foul by A. Crabbe (drawn by J. Crawford)
1:52.0,Portland full timeout,,71-62,,
1:52.0,E. Davis enters the game for M. Plumlee,,71-62,,
1:52.0,M. Harkless enters the game for C. McCollum,,71-62,,
1:52.0,,,71-62,,P. Prigioni enters the game for D. Jordan
1:52.0,,,71-62,,W. Johnson enters the game for J. Redick
1:52.0,,,71-62,,C. Aldrich enters the game for A. Rivers
1:52.0,,,71-63,1,J. Crawford makes free throw 1 of 2
1:52.0,,,71-64,1,J. Crawford makes free throw 2 of 2
1:42.0,D. Lillard misses 3-pt shot from 26 ft,,71-64,,
1:40.0,,,71-64,,Defensive rebound by J. Crawford
1:38.0,,,71-66,2,J. Green makes 2-pt shot from 1 ft (assist by J. Crawford)
1:18.0,G. Henderson misses 2-pt shot from 18 ft,,71-66,,
1:18.0,,,71-66,,Defensive rebound by Team
0:59.0,,,71-69,3,J. Green makes 3-pt shot from 26 ft (assist by C. Aldrich)
0:32.0,A. Crabbe misses 3-pt shot from 28 ft,,71-69,,
0:31.0,,,71-69,,Defensive rebound by W. Johnson
0:08.0,,,71-69,,J. Crawford misses 2-pt shot from 19 ft
0:05.0,,,71-69,,Offensive rebound by J. Green
0:01.0,Personal foul by M. Harkless,,71-69,,
0:01.0,,,71-70,1,J. Crawford makes free throw 1 of 2
0:01.0,,,71-71,1,J. Crawford makes free throw 2 of 2
0:01.0,Turnover by M. Harkless (lost ball; steal by J. Green),,71-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Lillard makes 3-pt shot from 26 ft,3,74-71,,
11:33.0,,,74-71,,Shooting foul by G. Henderson (drawn by W. Johnson)
11:33.0,,,74-72,1,W. Johnson makes free throw 1 of 3
11:33.0,,,74-73,1,W. Johnson makes free throw 2 of 3
11:33.0,,,74-74,1,W. Johnson makes free throw 3 of 3
11:27.0,,,74-74,,Personal foul by P. Prigioni
11:20.0,A. Crabbe makes 2-pt shot from 16 ft,2,76-74,,
11:02.0,,,76-74,,J. Green misses 2-pt shot from 11 ft
11:01.0,Defensive rebound by G. Henderson,,76-74,,
10:57.0,M. Harkless makes 2-pt shot at rim (assist by G. Henderson),2,78-74,,
10:43.0,,,78-76,2,C. Aldrich makes 2-pt shot from 2 ft (assist by P. Prigioni)
10:28.0,A. Crabbe misses 3-pt shot from 24 ft,,78-76,,
10:26.0,,,78-76,,Defensive rebound by W. Johnson
10:10.0,,,78-76,,J. Crawford misses 3-pt shot from 27 ft
10:09.0,Defensive rebound by E. Davis,,78-76,,
10:00.0,D. Lillard makes 3-pt shot from 26 ft,3,81-76,,
9:50.0,,,81-76,,Turnover by P. Prigioni (lost ball; steal by D. Lillard)
9:47.0,D. Lillard makes 2-pt shot at rim,2,83-76,,
9:28.0,,,83-76,,P. Prigioni misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by G. Henderson,,83-76,,
9:17.0,G. Henderson misses 3-pt shot from 26 ft,,83-76,,
9:16.0,,,83-76,,Defensive rebound by W. Johnson
9:11.0,Shooting block foul by M. Harkless (drawn by J. Green),,83-76,,
9:11.0,,,83-76,,J. Green misses free throw 1 of 2
9:11.0,,,83-76,,Offensive rebound by Team
9:11.0,C. McCollum enters the game for D. Lillard,,83-76,,
