time,Utah,pts.away,score,pts.home,Miami
2:15.0,R. Hood enters the game for T. Booker,,80-83,,
2:15.0,,,80-83,,C. Bosh misses free throw 1 of 2
2:15.0,,,80-83,,Offensive rebound by Team
2:15.0,,,80-84,1,C. Bosh makes free throw 2 of 2
2:05.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,82-84,,
1:48.0,,,82-86,2,T. Johnson makes 2-pt shot from 3 ft
1:27.0,G. Hayward misses 2-pt shot from 10 ft,,82-86,,
1:25.0,,,82-86,,Defensive rebound by H. Whiteside
1:15.0,,,82-86,,J. Winslow misses 2-pt shot from 13 ft (block by D. Favors)
1:14.0,,,82-86,,Offensive rebound by Team
1:09.0,,,82-86,,C. Bosh misses 2-pt shot from 19 ft
1:08.0,Defensive rebound by G. Hayward,,82-86,,
0:55.0,A. Burks makes 2-pt shot from 1 ft,2,84-86,,
0:50.0,,,84-86,,Miami full timeout
0:50.0,R. Neto enters the game for T. Burke,,84-86,,
0:38.0,,,84-88,2,T. Johnson makes 2-pt shot from 18 ft
0:38.0,Utah full timeout,,84-88,,
0:38.0,T. Burke enters the game for R. Neto,,84-88,,
0:32.0,G. Hayward misses 2-pt shot from 14 ft,,84-88,,
0:30.0,,,84-88,,Defensive rebound by H. Whiteside
0:28.0,Personal foul by D. Favors (drawn by H. Whiteside),,84-88,,
0:28.0,,,84-88,,H. Whiteside misses free throw 1 of 2
0:28.0,,,84-88,,Offensive rebound by Team
0:28.0,,,84-88,,H. Whiteside misses free throw 2 of 2
0:27.0,Defensive rebound by D. Favors,,84-88,,
0:23.0,A. Burks misses 2-pt shot at rim (block by C. Bosh),,84-88,,
0:20.0,,,84-88,,Defensive rebound by G. Dragic
0:20.0,Personal foul by R. Hood (drawn by G. Dragic),,84-88,,
0:20.0,,,84-89,1,G. Dragic makes free throw 1 of 2
0:20.0,,,84-89,,G. Dragic misses free throw 2 of 2
0:19.0,Defensive rebound by G. Hayward,,84-89,,
0:19.0,Utah full timeout,,84-89,,
0:19.0,,,84-89,,L. Deng enters the game for H. Whiteside
0:12.0,Shooting foul by J. Winslow (drawn by G. Hayward),,84-89,,
0:12.0,G. Hayward makes free throw 1 of 2,1,85-89,,
0:12.0,R. Neto enters the game for T. Burke,,85-89,,
0:12.0,G. Hayward makes free throw 2 of 2,1,86-89,,
0:12.0,,,86-89,,Miami full timeout
0:11.0,Personal foul by A. Burks (drawn by G. Dragic),,86-89,,
0:11.0,,,86-90,1,G. Dragic makes free throw 1 of 2
0:11.0,,,86-91,1,G. Dragic makes free throw 2 of 2
0:11.0,Utah full timeout,,86-91,,
0:11.0,J. Ingles enters the game for R. Neto,,86-91,,
0:07.0,G. Hayward misses 3-pt shot from 25 ft,,86-91,,
0:06.0,Offensive rebound by G. Hayward,,86-91,,
0:06.0,G. Hayward makes 2-pt shot from 1 ft,2,88-91,,
0:05.0,Personal foul by G. Hayward (drawn by G. Dragic),,88-91,,
0:05.0,,,88-91,,G. Dragic misses free throw 1 of 2
0:05.0,,,88-91,,Offensive rebound by Team
0:05.0,,,88-92,1,G. Dragic makes free throw 2 of 2
0:00.0,A. Burks makes 3-pt shot from 24 ft,3,91-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
