time,Memphis,pts.away,score,pts.home,Chicago
2:19.0,,,83-92,,D. McDermott misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by M. Conley,,83-92,,
2:01.0,M. Conley misses 2-pt shot from 7 ft,,83-92,,
2:00.0,Offensive rebound by M. Gasol,,83-92,,
1:54.0,M. Conley misses 3-pt shot from 23 ft,,83-92,,
1:53.0,,,83-92,,Defensive rebound by P. Gasol
1:44.0,,,83-92,,Shooting foul by M. Barnes (drawn by J. Butler)
1:44.0,,,83-93,1,J. Butler makes free throw 1 of 2
1:44.0,,,83-94,1,J. Butler makes free throw 2 of 2
1:35.0,M. Barnes makes 2-pt shot from 15 ft (assist by M. Conley),2,85-94,,
1:12.0,,,85-94,,J. Butler misses 2-pt shot from 18 ft
1:11.0,Defensive rebound by M. Conley,,85-94,,
1:06.0,,,85-94,,Violation by J. Butler (kicked ball)
1:02.0,M. Conley misses 2-pt shot from 21 ft,,85-94,,
1:01.0,,,85-94,,Defensive rebound by J. Noah
0:43.0,,,85-96,2,J. Butler makes 2-pt shot from 3 ft (assist by D. Rose)
0:31.0,J. Green misses 3-pt shot from 25 ft,,85-96,,
0:30.0,Offensive rebound by M. Gasol,,85-96,,
0:25.0,M. Barnes misses 3-pt shot from 25 ft,,85-96,,
0:25.0,,,85-96,,Defensive rebound by P. Gasol
0:24.0,Personal foul by M. Gasol (drawn by P. Gasol),,85-96,,
0:24.0,,,85-97,1,P. Gasol makes free throw 1 of 2
0:24.0,,,85-98,1,P. Gasol makes free throw 2 of 2
0:00.0,M. Conley misses 3-pt shot from 25 ft,,85-98,,
0:00.0,Offensive rebound by Team,,85-98,,
0:00.0,Turnover by Team (shot clock),,85-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
