time,Boston,pts.away,score,pts.home,LA Clippers
4:36.0,,,83-105,,A. Rivers misses 2-pt shot from 7 ft
4:34.0,Defensive rebound by J. Mickey,,83-105,,
4:32.0,M. Smart makes 2-pt shot from 6 ft,2,85-105,,
4:32.0,Shooting foul by C. Wilcox (drawn by M. Smart),,85-105,,
4:32.0,M. Smart makes free throw 1 of 1,1,86-105,,
4:10.0,,,86-107,2,J. Ayres makes 2-pt shot from 15 ft (assist by C. Wilcox)
3:54.0,M. Smart misses 3-pt shot from 24 ft,,86-107,,
3:54.0,Offensive rebound by Team,,86-107,,
3:54.0,,,86-107,,Loose ball foul by J. Green
3:54.0,R. Hunter enters the game for E. Turner,,86-107,,
3:46.0,,,86-107,,Personal foul by J. Ayres
3:37.0,T. Rozier misses 2-pt shot from 17 ft,,86-107,,
3:36.0,,,86-107,,Defensive rebound by J. Ayres
3:18.0,,,86-107,,J. Green misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by J. Mickey,,86-107,,
3:02.0,J. Mickey misses 2-pt shot from 16 ft,,86-107,,
3:01.0,Offensive rebound by T. Zeller,,86-107,,
2:54.0,J. Mickey makes 2-pt shot at rim (assist by M. Smart),2,88-107,,
2:39.0,,,88-107,,Offensive foul by J. Ayres
2:39.0,,,88-107,,Turnover by J. Ayres (offensive foul)
2:39.0,,,88-107,,LA Clippers full timeout
2:39.0,J. Young enters the game for M. Smart,,88-107,,
2:23.0,Shooting foul by J. Ayres (drawn by T. Zeller),,88-107,,
2:23.0,T. Zeller makes free throw 1 of 2,1,89-107,,
2:23.0,T. Zeller makes free throw 2 of 2,1,90-107,,
2:04.0,,,90-107,,J. Green misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by T. Zeller,,90-107,,
1:55.0,T. Zeller misses 2-pt shot from 18 ft,,90-107,,
1:54.0,,,90-107,,Defensive rebound by P. Prigioni
1:40.0,,,90-109,2,J. Ayres makes 2-pt shot from 18 ft (assist by P. Prigioni)
1:23.0,R. Hunter misses 2-pt shot from 19 ft,,90-109,,
1:22.0,,,90-109,,Defensive rebound by P. Prigioni
1:10.0,,,90-112,3,P. Prigioni makes 3-pt shot from 25 ft
1:01.0,Turnover by T. Zeller (lost ball; steal by C. Wilcox),,90-112,,
0:57.0,,,90-114,2,C. Wilcox makes 2-pt shot from 2 ft (assist by A. Rivers)
0:32.0,J. Mickey misses 2-pt shot at rim,,90-114,,
0:30.0,,,90-114,,Defensive rebound by P. Prigioni
0:07.0,,,90-114,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
