time,New York,pts.away,score,pts.home,Cleveland
3:38.0,A. Afflalo makes free throw 2 of 2,1,42-47,,
3:25.0,,,42-47,,J. Smith misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by D. Williams,,42-47,,
3:04.0,K. Porzingis makes 2-pt shot from 13 ft (assist by L. Thomas),2,44-47,,
2:42.0,,,44-47,,L. James misses 2-pt shot from 1 ft (block by K. Porzingis)
2:36.0,Defensive rebound by J. Calderon,,44-47,,
2:33.0,A. Afflalo misses 2-pt shot at rim (block by I. Shumpert),,44-47,,
2:32.0,,,44-47,,Defensive rebound by I. Shumpert
2:26.0,,,44-49,2,L. James makes 2-pt shot from 1 ft (assist by I. Shumpert)
2:17.0,L. Thomas misses 3-pt shot from 24 ft,,44-49,,
2:16.0,,,44-49,,Defensive rebound by K. Love
2:13.0,Clear path foul by L. Thomas,,44-49,,
2:13.0,,,44-49,,Cleveland full timeout
2:13.0,L. Amundson enters the game for L. Thomas,,44-49,,
2:13.0,,,44-49,,Violation by Team (delay of game)
2:13.0,,,44-50,1,L. James makes clear path free throw 1 of 2
2:13.0,,,44-51,1,L. James makes clear path free throw 2 of 2
2:07.0,,,44-51,,Turnover by K. Love (bad pass; steal by K. Porzingis)
1:47.0,A. Afflalo misses 2-pt shot from 11 ft,,44-51,,
1:46.0,,,44-51,,Defensive rebound by Team
1:30.0,,,44-53,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
1:06.0,D. Williams misses 2-pt shot from 15 ft,,44-53,,
1:06.0,Offensive rebound by K. Porzingis,,44-53,,
1:04.0,Shooting foul by J. Smith (drawn by D. Williams),,44-53,,
1:04.0,D. Williams makes free throw 1 of 2,1,45-53,,
1:04.0,,,45-53,,M. Williams enters the game for J. Smith
1:04.0,D. Williams makes free throw 2 of 2,1,46-53,,
0:45.0,,,46-53,,K. Love misses 2-pt shot from 8 ft
0:44.0,Defensive rebound by L. Amundson,,46-53,,
0:34.0,K. Porzingis misses 2-pt shot from 3 ft,,46-53,,
0:34.0,Offensive rebound by K. Porzingis,,46-53,,
0:28.0,,,46-53,,Personal foul by L. James (drawn by K. Porzingis)
0:28.0,K. Porzingis makes free throw 1 of 2,1,47-53,,
0:28.0,L. Galloway enters the game for L. Amundson,,47-53,,
0:28.0,K. Porzingis misses free throw 2 of 2,,47-53,,
0:28.0,,,47-53,,Defensive rebound by K. Love
0:07.0,,,47-55,2,K. Love makes 2-pt shot at rim (assist by L. James)
0:00.0,K. Porzingis makes 3-pt shot from 27 ft (assist by D. Williams),3,50-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Afflalo makes 2-pt shot from 7 ft (assist by L. Thomas),2,52-55,,
11:21.0,,,52-55,,K. Irving misses 2-pt shot from 15 ft
11:21.0,,,52-55,,Offensive rebound by T. Mozgov
11:13.0,,,52-55,,K. Love misses 3-pt shot from 22 ft
11:13.0,Defensive rebound by J. Calderon,,52-55,,
11:03.0,R. Lopez misses 2-pt shot from 10 ft,,52-55,,
11:03.0,,,52-55,,Defensive rebound by K. Love
10:41.0,,,52-55,,J. Smith misses 2-pt shot from 7 ft
