time,Sacramento,pts.away,score,pts.home,Portland
7:08.0,,,81-102,,M. Leonard misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by W. Cauley-Stein,,81-102,,
7:03.0,Turnover by D. Collison (bad pass),,81-102,,
6:45.0,,,81-102,,C. McCollum misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
6:44.0,Defensive rebound by W. Cauley-Stein,,81-102,,
6:43.0,Shooting foul by G. Henderson (drawn by M. Belinelli),,81-102,,
6:43.0,M. Belinelli makes free throw 1 of 2,1,82-102,,
6:43.0,S. Curry enters the game for D. Cousins,,82-102,,
6:43.0,Q. Acy enters the game for R. Rondo,,82-102,,
6:43.0,O. Casspi enters the game for D. Collison,,82-102,,
6:43.0,,,82-102,,D. Lillard enters the game for C. McCollum
6:43.0,M. Belinelli makes free throw 2 of 2,1,83-102,,
6:28.0,,,83-104,2,G. Henderson makes 2-pt shot at rim (assist by D. Lillard)
6:09.0,M. Belinelli misses 2-pt shot from 21 ft,,83-104,,
6:08.0,,,83-104,,Defensive rebound by M. Leonard
5:53.0,,,83-104,,D. Lillard misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by O. Casspi,,83-104,,
5:40.0,O. Casspi makes 3-pt shot from 24 ft (assist by Q. Acy),3,86-104,,
5:19.0,,,86-106,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
5:06.0,,,86-106,,Personal foul by G. Henderson (drawn by O. Casspi)
5:06.0,Official timeout,,86-106,,
5:06.0,J. Anderson enters the game for M. Belinelli,,86-106,,
5:06.0,B. McLemore enters the game for O. Casspi,,86-106,,
5:06.0,,,86-106,,N. Vonleh enters the game for E. Davis
4:54.0,J. Anderson misses 2-pt shot from 20 ft,,86-106,,
4:54.0,Offensive rebound by Team,,86-106,,
4:54.0,,,86-106,,Personal foul by N. Vonleh (drawn by Q. Acy)
4:53.0,Shooting foul by D. Lillard (drawn by S. Curry),,86-106,,
4:53.0,S. Curry misses free throw 1 of 3,,86-106,,
4:53.0,Offensive rebound by Team,,86-106,,
4:53.0,S. Curry makes free throw 2 of 3,1,87-106,,
4:53.0,S. Curry makes free throw 3 of 3,1,88-106,,
4:33.0,,,88-106,,G. Henderson misses 2-pt shot from 7 ft
4:32.0,,,88-106,,Offensive rebound by N. Vonleh
4:32.0,,,88-108,2,N. Vonleh makes 2-pt shot at rim
4:10.0,S. Curry misses 3-pt shot from 24 ft,,88-108,,
4:09.0,,,88-108,,Defensive rebound by M. Leonard
3:46.0,,,88-110,2,G. Henderson makes 2-pt shot from 14 ft
3:28.0,B. McLemore misses 2-pt shot from 2 ft,,88-110,,
3:27.0,Offensive rebound by W. Cauley-Stein,,88-110,,
3:27.0,W. Cauley-Stein misses 2-pt shot at rim,,88-110,,
3:26.0,Offensive rebound by B. McLemore,,88-110,,
3:22.0,Q. Acy makes 2-pt shot from 1 ft (assist by B. McLemore),2,90-110,,
3:22.0,,,90-110,,Portland full timeout
3:22.0,,,90-110,,P. Connaughton enters the game for D. Lillard
3:22.0,,,90-110,,T. Frazier enters the game for A. Crabbe
3:22.0,,,90-110,,C. Kaman enters the game for M. Leonard
3:22.0,,,90-110,,M. Harkless enters the game for G. Henderson
3:08.0,,,90-110,,N. Vonleh misses 2-pt shot from 1 ft
3:07.0,,,90-110,,Offensive rebound by P. Connaughton
3:07.0,,,90-110,,P. Connaughton misses 2-pt shot at rim
3:05.0,,,90-110,,Offensive rebound by P. Connaughton
3:04.0,,,90-110,,Turnover by P. Connaughton (lost ball; steal by S. Curry)
2:58.0,S. Curry makes 3-pt shot from 22 ft (assist by J. Anderson),3,93-110,,
2:33.0,,,93-112,2,C. Kaman makes 2-pt shot from 1 ft (assist by T. Frazier)
2:19.0,S. Curry misses 2-pt shot from 2 ft,,93-112,,
2:18.0,,,93-112,,Defensive rebound by M. Harkless
2:02.0,,,93-112,,P. Connaughton misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by Team,,93-112,,
2:02.0,,,93-112,,Loose ball foul by T. Frazier (drawn by W. Cauley-Stein)
2:02.0,W. Cauley-Stein makes free throw 1 of 2,1,94-112,,
2:02.0,W. Cauley-Stein makes free throw 2 of 2,1,95-112,,
1:46.0,,,95-112,,C. Kaman misses 2-pt shot from 13 ft
1:45.0,Defensive rebound by B. McLemore,,95-112,,
1:38.0,J. Anderson misses 2-pt shot from 1 ft,,95-112,,
1:37.0,,,95-112,,Defensive rebound by P. Connaughton
1:23.0,,,95-112,,C. Kaman misses 2-pt shot from 15 ft (block by J. Anderson)
1:22.0,,,95-112,,Offensive rebound by T. Frazier
1:20.0,,,95-112,,Turnover by C. Kaman (bad pass; steal by Q. Acy)
1:19.0,Turnover by S. Curry (bad pass),,95-112,,
0:57.0,,,95-112,,C. Kaman misses 3-pt shot from 22 ft
0:56.0,Defensive rebound by S. Curry,,95-112,,
0:51.0,J. Anderson misses 3-pt shot from 25 ft,,95-112,,
0:48.0,,,95-112,,Defensive rebound by N. Vonleh
0:26.0,,,95-112,,T. Frazier misses 2-pt shot from 14 ft
0:25.0,Defensive rebound by Q. Acy,,95-112,,
0:15.0,S. Curry makes 2-pt shot from 1 ft,2,97-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
