time,Utah,pts.away,score,pts.home,LA Lakers
0:39.0,T. Booker makes free throw 1 of 2,1,83-72,,
0:39.0,T. Booker makes free throw 2 of 2,1,84-72,,
0:32.0,Personal foul by R. Gobert,,84-72,,
0:32.0,T. Lyles enters the game for R. Gobert,,84-72,,
0:32.0,,,84-73,1,L. Williams makes free throw 1 of 2
0:32.0,,,84-74,1,L. Williams makes free throw 2 of 2
0:32.0,Utah full timeout,,84-74,,
0:32.0,T. Burke enters the game for T. Lyles,,84-74,,
0:32.0,J. Ingles enters the game for C. Johnson,,84-74,,
0:31.0,,,84-74,,Personal take foul by A. Brown (drawn by T. Burke)
0:31.0,T. Burke makes free throw 1 of 2,1,85-74,,
0:31.0,C. Johnson enters the game for J. Ingles,,85-74,,
0:31.0,T. Burke makes free throw 2 of 2,1,86-74,,
0:22.0,,,86-74,,A. Brown misses 3-pt shot from 24 ft
0:21.0,,,86-74,,Offensive rebound by L. Nance
0:17.0,,,86-74,,L. Nance misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by G. Hayward,,86-74,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
