time,Detroit,pts.away,score,pts.home,Milwaukee
4:03.0,R. Jackson makes free throw 2 of 2,1,95-81,,
3:46.0,,,95-81,,Turnover by G. Monroe (lost ball; steal by A. Drummond)
3:42.0,Shooting foul by J. Parker (drawn by T. Harris),,95-81,,
3:42.0,T. Harris makes free throw 1 of 2,1,96-81,,
3:42.0,T. Harris makes free throw 2 of 2,1,97-81,,
3:31.0,,,97-83,2,K. Middleton makes 2-pt shot from 14 ft
3:15.0,M. Morris misses 3-pt shot from 23 ft,,97-83,,
3:13.0,,,97-83,,Defensive rebound by J. Parker
3:07.0,,,97-83,,Turnover by O. Mayo (lost ball; steal by R. Jackson)
3:04.0,,,97-83,,Personal foul by G. Antetokounmpo (drawn by T. Harris)
3:04.0,T. Harris makes free throw 1 of 2,1,98-83,,
3:04.0,T. Harris misses free throw 2 of 2,,98-83,,
3:03.0,,,98-83,,Defensive rebound by G. Monroe
2:47.0,Shooting block foul by A. Drummond (drawn by J. Parker),,98-83,,
2:47.0,Detroit full timeout,,98-83,,
2:47.0,,,98-83,,T. Ennis enters the game for G. Antetokounmpo
2:47.0,,,98-83,,R. Vaughn enters the game for K. Middleton
2:47.0,,,98-83,,M. Plumlee enters the game for O. Mayo
2:47.0,,,98-83,,S. Novak enters the game for G. Monroe
2:47.0,A. Baynes enters the game for A. Drummond,,98-83,,
2:47.0,,,98-84,1,J. Parker makes free throw 1 of 2
2:47.0,,,98-84,,J. Parker misses free throw 2 of 2
2:46.0,Defensive rebound by M. Morris,,98-84,,
