time,Brooklyn,pts.away,score,pts.home,Minnesota
3:32.0,,,104-120,,Personal foul by R. Rubio (drawn by T. Robinson)
3:32.0,T. Robinson misses free throw 1 of 2,,104-120,,
3:32.0,Offensive rebound by Team,,104-120,,
3:32.0,T. Robinson misses free throw 2 of 2,,104-120,,
3:32.0,,,104-120,,Defensive rebound by K. Towns
3:18.0,,,104-122,2,S. Muhammad makes 2-pt shot at rim (assist by K. Towns)
2:54.0,S. Larkin makes 2-pt shot from 1 ft,2,106-122,,
2:54.0,Shooting foul by K. Towns (drawn by S. Larkin),,106-122,,
2:54.0,S. Larkin makes free throw 1 of 1,1,107-122,,
2:31.0,,,107-124,2,A. Wiggins makes 2-pt shot from 19 ft
2:09.0,S. Kilpatrick makes 2-pt shot from 9 ft,2,109-124,,
1:43.0,,,109-126,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
1:31.0,M. Brown makes 2-pt shot from 1 ft,2,111-126,,
1:31.0,Shooting foul by R. Rubio (drawn by M. Brown),,111-126,,
1:31.0,,,111-126,,T. Jones enters the game for R. Rubio
1:31.0,,,111-126,,D. Rudez enters the game for A. Wiggins
1:31.0,,,111-126,,G. Smith enters the game for K. Towns
1:31.0,M. Brown makes free throw 1 of 1,1,112-126,,
1:11.0,,,112-126,,S. Muhammad misses 2-pt shot from 10 ft
1:10.0,,,112-126,,Offensive rebound by S. Muhammad
1:10.0,,,112-126,,Shooting foul by M. Brown (drawn by S. Muhammad)
1:10.0,,,112-127,1,S. Muhammad makes free throw 1 of 2
1:10.0,,,112-128,1,S. Muhammad makes free throw 2 of 2
1:00.0,M. Brown makes 2-pt shot from 1 ft,2,114-128,,
0:38.0,,,114-128,,S. Muhammad misses 2-pt shot from 10 ft
0:38.0,,,114-128,,Offensive rebound by G. Smith
0:37.0,,,114-130,2,G. Smith makes 2-pt shot from 1 ft
0:30.0,S. Larkin misses 2-pt shot from 2 ft,,114-130,,
0:30.0,Offensive rebound by T. Robinson,,114-130,,
0:30.0,T. Robinson makes 2-pt shot at rim,2,116-130,,
0:08.0,,,116-132,2,T. Jones makes 2-pt shot from 2 ft
0:01.0,S. Larkin makes 2-pt shot at rim,2,118-132,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
