time,Chicago,pts.away,score,pts.home,Denver
11:25.0,,,57-55,,N. Jokic misses 2-pt shot from 14 ft
11:24.0,Defensive rebound by T. Snell,,57-55,,
11:10.0,D. Rose misses 2-pt shot from 8 ft,,57-55,,
11:09.0,,,57-55,,Defensive rebound by N. Jokic
11:02.0,,,57-55,,D. Gallinari misses 3-pt shot from 24 ft
11:01.0,,,57-55,,Offensive rebound by Team
11:01.0,Loose ball foul by C. Bairstow (drawn by K. Faried),,57-55,,
10:50.0,,,57-55,,Shooting foul by T. Snell (drawn by D. Gallinari)
10:50.0,,,57-56,1,D. Gallinari makes free throw 1 of 2
10:50.0,,,57-57,1,D. Gallinari makes free throw 2 of 2
10:36.0,D. Rose makes 2-pt shot from 1 ft,2,59-57,,
10:19.0,,,59-57,,Turnover by K. Faried (step out of bounds)
10:07.0,C. Bairstow misses 2-pt shot from 2 ft (block by E. Mudiay),,59-57,,
10:06.0,Offensive rebound by Team,,59-57,,
9:57.0,C. Bairstow misses 2-pt shot from 17 ft,,59-57,,
9:57.0,,,59-57,,Defensive rebound by N. Jokic
9:49.0,,,59-57,,E. Mudiay misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by D. Rose,,59-57,,
9:43.0,D. Rose makes 2-pt shot from 1 ft,2,61-57,,
9:32.0,,,61-57,,D. Gallinari misses 2-pt shot from 3 ft (block by T. Snell)
9:30.0,Defensive rebound by C. Bairstow,,61-57,,
9:25.0,E. Moore misses 2-pt shot from 6 ft,,61-57,,
9:24.0,,,61-57,,Defensive rebound by K. Faried
9:12.0,,,61-57,,N. Jokic misses 2-pt shot from 1 ft
9:10.0,,,61-57,,Offensive rebound by K. Faried
9:10.0,,,61-57,,K. Faried misses 2-pt shot at rim
9:09.0,Defensive rebound by T. Gibson,,61-57,,
9:04.0,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose),3,64-57,,
9:04.0,,,64-57,,Denver full timeout
8:59.0,Personal foul by T. Snell (drawn by D. Gallinari),,64-57,,
8:44.0,,,64-57,,E. Mudiay misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by C. Bairstow,,64-57,,
8:37.0,D. Rose misses 2-pt shot from 4 ft,,64-57,,
8:33.0,,,64-57,,Defensive rebound by N. Jokic
8:15.0,,,64-59,2,D. Gallinari makes 2-pt shot from 19 ft
8:02.0,Shooting foul by N. Jokic (drawn by T. Gibson),,64-59,,
8:02.0,T. Gibson makes free throw 1 of 2,1,65-59,,
8:02.0,,,65-59,,J. Lauvergne enters the game for N. Jokic
8:02.0,T. Gibson makes free throw 2 of 2,1,66-59,,
7:52.0,,,66-59,,G. Harris misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by C. Bairstow,,66-59,,
7:42.0,Shooting foul by J. Lauvergne (drawn by C. Bairstow),,66-59,,
7:42.0,C. Bairstow makes free throw 1 of 2,1,67-59,,
7:42.0,C. Bairstow makes free throw 2 of 2,1,68-59,,
7:29.0,,,68-59,,Offensive foul by K. Faried
7:29.0,,,68-59,,Turnover by K. Faried (offensive foul)
7:29.0,B. Portis enters the game for C. Bairstow,,68-59,,
7:10.0,B. Portis misses 2-pt shot from 7 ft,,68-59,,
7:08.0,,,68-59,,Defensive rebound by K. Faried
7:05.0,Shooting block foul by T. Snell (drawn by D. Gallinari),,68-59,,
7:05.0,,,68-60,1,D. Gallinari makes free throw 1 of 2
7:05.0,,,68-61,1,D. Gallinari makes free throw 2 of 2
6:48.0,B. Portis misses 2-pt shot from 1 ft,,68-61,,
6:48.0,Offensive rebound by B. Portis,,68-61,,
6:48.0,B. Portis misses 2-pt shot from 1 ft,,68-61,,
6:46.0,Offensive rebound by B. Portis,,68-61,,
6:46.0,B. Portis misses 2-pt shot from 1 ft,,68-61,,
6:45.0,Offensive rebound by Team,,68-61,,
6:35.0,D. Rose misses 3-pt shot from 25 ft,,68-61,,
6:34.0,Offensive rebound by B. Portis,,68-61,,
6:30.0,T. Gibson makes 2-pt shot at rim (assist by B. Portis),2,70-61,,
6:09.0,,,70-61,,J. Lauvergne misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by B. Portis,,70-61,,
5:49.0,Turnover by E. Moore (bad pass),,70-61,,
5:49.0,,,70-61,,J. Nurkic enters the game for K. Faried
5:36.0,,,70-63,2,D. Gallinari makes 2-pt shot from 20 ft (assist by E. Mudiay)
5:29.0,Chicago full timeout,,70-63,,
5:29.0,C. Bairstow enters the game for T. Gibson,,70-63,,
5:26.0,D. Rose makes 2-pt shot at rim (assist by C. Bairstow),2,72-63,,
5:26.0,Shooting foul by J. Nurkic (drawn by D. Rose),,72-63,,
5:26.0,D. Rose misses free throw 1 of 1,,72-63,,
5:25.0,,,72-63,,Defensive rebound by J. Lauvergne
5:11.0,,,72-63,,G. Harris misses 2-pt shot at rim
5:11.0,Defensive rebound by C. Bairstow,,72-63,,
5:06.0,Turnover by E. Moore (bad pass; steal by E. Mudiay),,72-63,,
5:03.0,Shooting block foul by C. Bairstow (drawn by E. Mudiay),,72-63,,
5:03.0,,,72-64,1,E. Mudiay makes free throw 1 of 2
5:03.0,D. McDermott enters the game for C. Bairstow,,72-64,,
5:03.0,,,72-65,1,E. Mudiay makes free throw 2 of 2
4:45.0,D. Rose makes 2-pt shot from 15 ft,2,74-65,,
4:32.0,,,74-65,,J. Lauvergne misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by D. McDermott,,74-65,,
4:23.0,Turnover by D. Rose (bad pass),,74-65,,
4:23.0,,,74-65,,W. Barton enters the game for J. Lauvergne
4:15.0,,,74-67,2,E. Mudiay makes 2-pt shot at rim
4:02.0,D. McDermott misses 2-pt shot from 2 ft (block by D. Gallinari),,74-67,,
3:59.0,Offensive rebound by D. McDermott,,74-67,,
3:59.0,D. McDermott makes 2-pt shot from 1 ft,2,76-67,,
3:52.0,,,76-67,,Shooting foul by B. Portis (drawn by E. Mudiay)
3:52.0,,,76-67,,E. Mudiay misses free throw 1 of 2
3:52.0,,,76-67,,Offensive rebound by Team
