time,Denver,pts.away,score,pts.home,New Orleans
0:26.0,W. Barton makes free throw 1 of 2,1,94-99,,
0:26.0,W. Barton makes free throw 2 of 2,1,95-99,,
0:26.0,,,95-99,,New Orleans full timeout
0:24.0,Personal take foul by W. Barton,,95-99,,
0:24.0,,,95-100,1,T. Douglas makes free throw 1 of 2
0:24.0,,,95-101,1,T. Douglas makes free throw 2 of 2
0:24.0,Denver full timeout,,95-101,,
0:19.0,E. Mudiay misses 3-pt shot from 25 ft,,95-101,,
0:18.0,,,95-101,,Defensive rebound by D. Cunningham
0:00.0,End of 4th quarter,,,,End of 4th quarter
