time,Portland,pts.away,score,pts.home,New York
2:56.0,D. Lillard makes 3-pt shot from 24 ft,3,100-81,,
2:36.0,,,100-81,,L. Thomas misses 2-pt shot from 17 ft
2:34.0,,,100-81,,Offensive rebound by K. O'Quinn
2:33.0,,,100-81,,K. O'Quinn misses 2-pt shot from 3 ft (block by A. Aminu)
2:31.0,Defensive rebound by D. Lillard,,100-81,,
2:31.0,Portland full timeout,,100-81,,
2:31.0,B. Roberts enters the game for A. Aminu,,100-81,,
2:31.0,N. Vonleh enters the game for M. Plumlee,,100-81,,
2:31.0,P. Connaughton enters the game for C. McCollum,,100-81,,
2:31.0,M. Harkless enters the game for D. Lillard,,100-81,,
2:09.0,N. Vonleh misses 3-pt shot from 24 ft,,100-81,,
2:07.0,Offensive rebound by Team,,100-81,,
2:07.0,Turnover by Team (shot clock),,100-81,,
1:56.0,,,100-81,,Shooting foul by B. Roberts (drawn by J. Fredette)
1:56.0,,,100-82,1,J. Fredette makes free throw 1 of 2
1:56.0,,,100-83,1,J. Fredette makes free throw 2 of 2
1:43.0,B. Roberts makes 2-pt shot from 20 ft,2,102-83,,
1:33.0,,,102-83,,J. Grant misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by M. Leonard,,102-83,,
1:21.0,M. Leonard misses 2-pt shot from 17 ft,,102-83,,
1:20.0,,,102-83,,Defensive rebound by J. Grant
1:10.0,,,102-83,,K. O'Quinn misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by M. Leonard,,102-83,,
0:58.0,M. Leonard misses 3-pt shot from 26 ft,,102-83,,
0:57.0,,,102-83,,Defensive rebound by D. Williams
0:47.0,,,102-83,,L. Thomas misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by P. Connaughton,,102-83,,
0:37.0,P. Connaughton misses 2-pt shot from 4 ft,,102-83,,
0:36.0,Offensive rebound by M. Leonard,,102-83,,
0:36.0,M. Leonard makes 2-pt shot from 2 ft,2,104-83,,
0:28.0,,,104-83,,K. O'Quinn misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by P. Connaughton,,104-83,,
0:03.0,Turnover by Team (shot clock),,104-83,,
0:01.0,,,104-83,,Shooting foul by M. Leonard (drawn by J. Fredette)
0:01.0,,,104-83,,J. Fredette misses free throw 1 of 3
0:01.0,,,104-83,,Offensive rebound by Team
0:01.0,,,104-84,1,J. Fredette makes free throw 2 of 3
0:01.0,,,104-85,1,J. Fredette makes free throw 3 of 3
0:00.0,End of 4th quarter,,,,End of 4th quarter
