time,Washington,pts.away,score,pts.home,Dallas
2:24.0,,,110-98,,R. Felton misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by J. Dudley,,110-98,,
2:21.0,,,110-98,,Personal take foul by D. Harris (drawn by R. Sessions)
2:21.0,R. Sessions makes free throw 1 of 2,1,111-98,,
2:21.0,R. Sessions makes free throw 2 of 2,1,112-98,,
2:09.0,,,112-100,2,D. Nowitzki makes 2-pt shot from 2 ft
1:48.0,R. Sessions misses 3-pt shot from 23 ft,,112-100,,
1:47.0,,,112-100,,Defensive rebound by J. Barea
1:40.0,,,112-102,2,W. Matthews makes 2-pt shot at rim
1:26.0,J. Wall misses 2-pt shot from 17 ft,,112-102,,
1:25.0,,,112-102,,Defensive rebound by D. Harris
1:17.0,,,112-105,3,J. Barea makes 3-pt shot from 25 ft
0:56.0,J. Dudley misses 3-pt shot from 24 ft,,112-105,,
0:55.0,,,112-105,,Defensive rebound by R. Felton
0:45.0,,,112-105,,W. Matthews misses 3-pt shot from 24 ft
0:44.0,,,112-105,,Offensive rebound by D. Nowitzki
0:44.0,Loose ball foul by R. Sessions (drawn by D. Nowitzki),,112-105,,
0:44.0,,,112-106,1,D. Nowitzki makes free throw 1 of 2
0:44.0,,,112-107,1,D. Nowitzki makes free throw 2 of 2
0:36.0,Turnover by J. Dudley (lost ball; steal by J. Barea),,112-107,,
0:32.0,,,112-109,2,D. Harris makes 2-pt shot from 1 ft (assist by R. Felton)
0:32.0,Washington full timeout,,112-109,,
0:08.0,G. Neal misses 3-pt shot from 24 ft,,112-109,,
0:07.0,,,112-109,,Defensive rebound by J. Barea
0:04.0,Personal take foul by J. Dudley,,112-109,,
0:04.0,,,112-110,1,J. Barea makes free throw 1 of 2
0:04.0,M. Gortat enters the game for R. Sessions,,112-110,,
0:04.0,D. Blair enters the game for G. Neal,,112-110,,
0:04.0,,,112-110,,D. Powell enters the game for D. Nowitzki
0:04.0,,,112-111,1,J. Barea makes free throw 2 of 2
0:04.0,Washington full timeout,,112-111,,
0:04.0,G. Neal enters the game for M. Gortat,,112-111,,
0:04.0,R. Sessions enters the game for D. Blair,,112-111,,
0:04.0,,,112-111,,Personal take foul by D. Harris (drawn by J. Wall)
0:04.0,J. Wall makes free throw 1 of 2,1,113-111,,
0:04.0,,,113-111,,Z. Pachulia enters the game for J. Barea
0:04.0,J. Wall makes free throw 2 of 2,1,114-111,,
0:04.0,,,114-111,,Dallas full timeout
0:04.0,,,114-111,,D. Nowitzki enters the game for Z. Pachulia
0:04.0,,,114-111,,J. Barea enters the game for D. Powell
0:04.0,G. Temple enters the game for G. Neal,,114-111,,
0:01.0,,,114-111,,D. Nowitzki misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by G. Temple,,114-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
