time,Minnesota,pts.away,score,pts.home,Orlando
4:30.0,Jump ball: E. Payton vs. R. Rubio (T. Harris gains possession),,,,Jump ball: E. Payton vs. R. Rubio (T. Harris gains possession)
4:30.0,Turnover by R. Rubio (lost ball; steal by E. Payton),,82-86,,
4:11.0,,,82-89,3,A. Nicholson makes 3-pt shot from 25 ft (assist by E. Payton)
4:11.0,Minnesota full timeout,,82-89,,
4:11.0,K. Martin enters the game for G. Dieng,,82-89,,
3:58.0,Z. LaVine misses 2-pt shot from 15 ft,,82-89,,
3:58.0,,,82-89,,Defensive rebound by T. Harris
3:41.0,,,82-89,,A. Nicholson misses 2-pt shot from 6 ft
3:41.0,Defensive rebound by K. Towns,,82-89,,
3:35.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,84-89,,
3:16.0,,,84-89,,T. Harris misses 2-pt shot from 12 ft
3:15.0,Defensive rebound by R. Rubio,,84-89,,
3:12.0,Shooting foul by J. Smith (drawn by A. Wiggins),,84-89,,
3:12.0,A. Wiggins makes free throw 1 of 2,1,85-89,,
3:12.0,A. Wiggins makes free throw 2 of 2,1,86-89,,
2:50.0,,,86-89,,E. Fournier misses 2-pt shot at rim (block by K. Towns)
2:49.0,Defensive rebound by K. Towns,,86-89,,
2:47.0,Turnover by K. Towns (turnover),,86-89,,
2:32.0,,,86-89,,Offensive foul by J. Smith
2:32.0,,,86-89,,Turnover by J. Smith (offensive foul)
2:20.0,R. Rubio misses 2-pt shot from 19 ft,,86-89,,
2:19.0,,,86-89,,Defensive rebound by T. Harris
2:10.0,,,86-89,,E. Payton misses 2-pt shot from 5 ft
2:10.0,,,86-89,,Offensive rebound by Team
2:04.0,,,86-89,,A. Nicholson misses 2-pt shot from 3 ft (block by A. Wiggins)
2:03.0,,,86-89,,Offensive rebound by J. Smith
2:00.0,,,86-91,2,E. Payton makes 2-pt shot from 16 ft
2:00.0,Minnesota full timeout,,86-91,,
1:48.0,Shooting foul by J. Smith (drawn by A. Wiggins),,86-91,,
1:48.0,A. Wiggins makes free throw 1 of 2,1,87-91,,
1:48.0,A. Wiggins makes free throw 2 of 2,1,88-91,,
1:25.0,,,88-91,,T. Harris misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by R. Rubio,,88-91,,
1:23.0,,,88-91,,Personal foul by A. Nicholson (drawn by R. Rubio)
1:23.0,R. Rubio makes free throw 1 of 2,1,89-91,,
1:23.0,R. Rubio makes free throw 2 of 2,1,90-91,,
1:08.0,,,90-93,2,E. Fournier makes 2-pt shot from 5 ft
0:55.0,A. Wiggins misses 2-pt shot from 18 ft,,90-93,,
0:55.0,,,90-93,,Defensive rebound by T. Harris
0:40.0,,,90-93,,A. Nicholson misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by K. Martin,,90-93,,
0:28.0,Shooting foul by E. Payton (drawn by A. Wiggins),,90-93,,
0:28.0,A. Wiggins makes free throw 1 of 2,1,91-93,,
0:28.0,G. Dieng enters the game for K. Martin,,91-93,,
0:28.0,A. Wiggins misses free throw 2 of 2,,91-93,,
0:27.0,,,91-93,,Defensive rebound by A. Nicholson
0:27.0,,,91-93,,Orlando full timeout
0:27.0,T. Prince enters the game for Z. LaVine,,91-93,,
0:10.0,,,91-93,,Orlando full timeout
0:06.0,,,91-93,,Turnover by E. Payton (step out of bounds)
0:06.0,Z. LaVine enters the game for G. Dieng,,91-93,,
0:06.0,Minnesota full timeout,,91-93,,
0:06.0,,,91-93,,V. Oladipo enters the game for A. Nicholson
0:02.0,A. Wiggins makes 2-pt shot from 3 ft,2,93-93,,
0:02.0,,,93-93,,Orlando full timeout
0:02.0,,,93-93,,C. Frye enters the game for E. Payton
0:00.0,,,93-93,,T. Harris misses 2-pt shot at rim (block by K. Towns)
0:00.0,Defensive rebound by R. Rubio,,93-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:40.0,,,93-93,,A. Nicholson misses 2-pt shot at rim
4:39.0,,,93-93,,Offensive rebound by J. Smith
4:34.0,,,93-93,,E. Payton misses 2-pt shot from 19 ft
4:34.0,,,93-93,,Offensive rebound by A. Nicholson
4:30.0,,,93-93,,A. Nicholson misses 2-pt shot from 2 ft (block by K. Towns)
4:28.0,Defensive rebound by T. Prince,,93-93,,
4:13.0,A. Wiggins misses 2-pt shot from 18 ft,,93-93,,
4:11.0,,,93-93,,Defensive rebound by E. Payton
3:53.0,,,93-93,,J. Smith misses 2-pt shot at rim
3:52.0,Defensive rebound by K. Towns,,93-93,,
3:27.0,K. Towns misses 3-pt shot from 25 ft,,93-93,,
3:27.0,,,93-93,,Defensive rebound by A. Nicholson
3:19.0,,,93-93,,T. Harris misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by R. Rubio,,93-93,,
3:15.0,Shooting foul by A. Nicholson (drawn by A. Wiggins),,93-93,,
3:15.0,A. Wiggins makes free throw 1 of 2,1,94-93,,
3:15.0,A. Wiggins makes free throw 2 of 2,1,95-93,,
3:00.0,,,95-95,2,E. Payton makes 2-pt shot from 7 ft
2:36.0,A. Wiggins misses 2-pt shot from 15 ft,,95-95,,
2:35.0,,,95-95,,Defensive rebound by E. Payton
2:21.0,,,95-95,,T. Harris misses 2-pt shot from 6 ft
2:20.0,Defensive rebound by R. Rubio,,95-95,,
2:16.0,Minnesota full timeout,,95-95,,
1:57.0,T. Prince misses 2-pt shot from 22 ft,,95-95,,
1:56.0,,,95-95,,Defensive rebound by T. Harris
1:44.0,,,95-95,,Turnover by E. Fournier (turnover)
1:31.0,K. Towns makes 2-pt shot from 6 ft,2,97-95,,
1:09.0,,,97-98,3,E. Fournier makes 3-pt shot from 24 ft
0:58.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,99-98,,
0:49.0,,,99-100,2,E. Payton makes 2-pt shot from 1 ft
0:49.0,,,99-100,,Shooting foul by R. Rubio (drawn by E. Payton)
0:49.0,G. Dieng enters the game for Z. LaVine,,99-100,,
0:49.0,,,99-101,1,E. Payton makes free throw 1 of 1
0:49.0,Minnesota full timeout,,99-101,,
0:49.0,,,99-101,,V. Oladipo enters the game for A. Nicholson
0:41.0,A. Wiggins misses 2-pt shot from 2 ft,,99-101,,
0:41.0,Offensive rebound by A. Wiggins,,99-101,,
0:41.0,A. Wiggins misses 2-pt shot from 2 ft,,99-101,,
0:41.0,Offensive rebound by K. Towns,,99-101,,
0:41.0,Shooting foul by J. Smith (drawn by K. Towns),,99-101,,
0:41.0,K. Towns makes free throw 1 of 2,1,100-101,,
0:41.0,,,100-101,,A. Nicholson enters the game for V. Oladipo
0:41.0,K. Towns makes free throw 2 of 2,1,101-101,,
0:41.0,,,101-101,,Orlando full timeout
0:41.0,Z. LaVine enters the game for G. Dieng,,101-101,,
0:23.0,,,101-101,,E. Payton misses 2-pt shot from 18 ft
0:22.0,Jump ball: Z. LaVine vs. J. Smith (T. Harris gains possession),,,,Jump ball: Z. LaVine vs. J. Smith (T. Harris gains possession)
0:22.0,,,101-101,,Offensive rebound by Team
0:03.0,,,101-104,3,E. Fournier makes 3-pt shot from 24 ft
0:03.0,Minnesota full timeout,,101-104,,
0:03.0,,,101-104,,V. Oladipo enters the game for A. Nicholson
0:00.0,Z. LaVine misses 3-pt shot from 25 ft,,101-104,,
0:00.0,Offensive rebound by Team,,101-104,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
