time,Minnesota,pts.away,score,pts.home,Cleveland
2:06.0,,,98-106,,J. Smith misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by R. Rubio,,98-106,,
1:57.0,Z. LaVine misses 3-pt shot from 25 ft,,98-106,,
1:56.0,Offensive rebound by K. Towns,,98-106,,
1:51.0,S. Muhammad makes 2-pt shot from 6 ft (assist by K. Towns),2,100-106,,
1:36.0,,,100-106,,M. Dellavedova misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by K. Towns,,100-106,,
1:29.0,S. Muhammad misses 2-pt shot from 21 ft,,100-106,,
1:28.0,,,100-106,,Defensive rebound by L. James
1:08.0,,,100-106,,K. Love misses 3-pt shot from 23 ft
1:08.0,Defensive rebound by R. Rubio,,100-106,,
1:00.0,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio),2,102-106,,
0:43.0,Personal foul by A. Wiggins (drawn by K. Irving),,102-106,,
0:43.0,,,102-107,1,K. Irving makes free throw 1 of 2
0:43.0,,,102-107,,T. Thompson enters the game for K. Love
0:43.0,,,102-108,1,K. Irving makes free throw 2 of 2
0:43.0,Minnesota full timeout,,102-108,,
0:37.0,Shooting foul by T. Thompson (drawn by Z. LaVine),,102-108,,
0:37.0,Z. LaVine makes free throw 1 of 2,1,103-108,,
0:37.0,,,103-108,,K. Love enters the game for T. Thompson
0:37.0,Z. LaVine makes free throw 2 of 2,1,104-108,,
0:19.0,,,104-110,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
0:17.0,Z. LaVine makes 2-pt shot from 1 ft,2,106-110,,
0:17.0,Shooting foul by K. Love (drawn by Z. LaVine),,106-110,,
0:17.0,Z. LaVine makes free throw 1 of 1,1,107-110,,
0:17.0,,,107-110,,Cleveland full timeout
0:16.0,Personal foul by A. Wiggins (drawn by L. James),,107-110,,
0:16.0,,,107-111,1,L. James makes free throw 1 of 2
0:16.0,,,107-111,,T. Thompson enters the game for K. Love
0:16.0,,,107-111,,I. Shumpert enters the game for K. Irving
0:16.0,,,107-112,1,L. James makes free throw 2 of 2
0:08.0,Z. LaVine misses 3-pt shot from 24 ft,,107-112,,
0:08.0,Offensive rebound by R. Rubio,,107-112,,
0:04.0,S. Muhammad misses 3-pt shot from 24 ft,,107-112,,
0:03.0,,,107-112,,Defensive rebound by M. Dellavedova
0:01.0,Personal foul by Z. LaVine (drawn by M. Dellavedova),,107-112,,
0:01.0,,,107-113,1,M. Dellavedova makes free throw 1 of 2
0:01.0,,,107-114,1,M. Dellavedova makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
