time,Washington,pts.away,score,pts.home,Charlotte
2:16.0,,,85-94,,A. Jefferson misses 2-pt shot from 5 ft
2:15.0,Defensive rebound by M. Gortat,,85-94,,
2:03.0,Turnover by J. Wall (bad pass; steal by A. Jefferson),,85-94,,
1:52.0,,,85-96,2,K. Walker makes 2-pt shot from 7 ft
1:42.0,B. Beal misses 3-pt shot from 26 ft,,85-96,,
1:41.0,,,85-96,,Defensive rebound by A. Jefferson
1:22.0,,,85-96,,K. Walker misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by G. Neal,,85-96,,
1:07.0,G. Neal misses 3-pt shot from 25 ft,,85-96,,
1:05.0,Offensive rebound by M. Gortat,,85-96,,
1:02.0,B. Beal misses 3-pt shot from 27 ft,,85-96,,
1:01.0,,,85-96,,Defensive rebound by N. Batum
0:56.0,Personal take foul by B. Beal (drawn by J. Lamb),,85-96,,
0:56.0,,,85-97,1,J. Lamb makes free throw 1 of 2
0:56.0,,,85-98,1,J. Lamb makes free throw 2 of 2
0:56.0,Washington full timeout,,85-98,,
0:56.0,,,85-98,,C. Zeller enters the game for A. Jefferson
0:49.0,O. Porter misses 3-pt shot from 27 ft,,85-98,,
0:48.0,,,85-98,,Defensive rebound by J. Lamb
0:28.0,,,85-101,3,J. Lamb makes 3-pt shot from 26 ft (assist by K. Walker)
0:23.0,Shooting foul by C. Zeller (drawn by G. Neal),,85-101,,
0:23.0,G. Neal makes free throw 1 of 2,1,86-101,,
0:23.0,G. Neal makes free throw 2 of 2,1,87-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
