time,Utah,pts.away,score,pts.home,Washington
4:34.0,,,81-95,2,M. Gortat makes 2-pt shot at rim (assist by J. Dudley)
4:18.0,D. Favors misses 2-pt shot from 15 ft,,81-95,,
4:17.0,,,81-95,,Defensive rebound by M. Gortat
4:04.0,,,81-95,,J. Wall misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by G. Hayward,,81-95,,
3:55.0,G. Hayward makes 2-pt shot from 17 ft,2,83-95,,
3:32.0,,,83-97,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Dudley)
3:23.0,G. Hayward misses 2-pt shot from 4 ft (block by M. Gortat),,83-97,,
3:22.0,,,83-97,,Defensive rebound by R. Sessions
3:12.0,,,83-99,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:12.0,,,83-99,,Shooting foul by R. Gobert (drawn by M. Gortat)
3:12.0,,,83-100,1,M. Gortat makes free throw 1 of 1
3:08.0,Utah full timeout,,83-100,,
3:08.0,,,83-100,,B. Beal enters the game for R. Sessions
2:54.0,Turnover by R. Hood (bad pass; steal by J. Wall),,83-100,,
2:31.0,,,83-102,2,B. Beal makes 2-pt shot from 6 ft (assist by J. Wall)
2:02.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Hood),2,85-102,,
1:50.0,Personal take foul by G. Hayward (drawn by J. Wall),,85-102,,
1:50.0,J. Withey enters the game for G. Hayward,,85-102,,
1:50.0,T. Lyles enters the game for D. Favors,,85-102,,
1:50.0,J. Ingles enters the game for R. Gobert,,85-102,,
1:50.0,T. Burke enters the game for R. Hood,,85-102,,
1:50.0,,,85-102,,R. Sessions enters the game for J. Wall
1:50.0,,,85-102,,K. Oubre enters the game for B. Beal
1:50.0,,,85-102,,D. Gooden enters the game for M. Gortat
1:41.0,,,85-102,,J. Dudley misses 2-pt shot from 21 ft
1:40.0,Defensive rebound by T. Lyles,,85-102,,
1:36.0,,,85-102,,Personal take foul by K. Oubre (drawn by T. Burke)
1:36.0,,,85-102,,J. Eddie enters the game for G. Temple
1:24.0,J. Ingles misses 2-pt shot from 4 ft,,85-102,,
1:22.0,,,85-102,,Defensive rebound by D. Gooden
1:15.0,,,85-102,,K. Oubre misses 2-pt shot from 7 ft
1:14.0,Defensive rebound by T. Lyles,,85-102,,
1:05.0,T. Burke misses 2-pt shot from 5 ft (block by J. Dudley),,85-102,,
1:05.0,Offensive rebound by Team,,85-102,,
0:56.0,Shooting foul by D. Gooden (drawn by T. Lyles),,85-102,,
0:56.0,T. Lyles makes free throw 1 of 2,1,86-102,,
0:56.0,T. Lyles makes free throw 2 of 2,1,87-102,,
0:39.0,,,87-102,,Shooting foul by J. Withey (drawn by R. Sessions)
0:39.0,,,87-103,1,R. Sessions makes free throw 1 of 2
0:39.0,,,87-103,,R. Sessions misses free throw 2 of 2
0:38.0,Defensive rebound by T. Lyles,,87-103,,
0:26.0,T. Lyles makes 2-pt shot from 17 ft (assist by T. Burke),2,89-103,,
0:01.0,,,89-103,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
