time,Cleveland,pts.away,score,pts.home,Philadelphia
3:55.0,M. Dellavedova enters the game for K. Love,,70-62,,
3:55.0,J. Jones enters the game for M. Williams,,70-62,,
3:55.0,,,70-62,,J. Okafor enters the game for N. Noel
3:55.0,,,70-62,,N. Stauskas enters the game for I. Canaan
3:41.0,,,70-64,2,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell)
3:28.0,J. Jones makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,73-64,,
3:12.0,,,73-64,,Offensive charge foul by J. Grant
3:12.0,,,73-64,,Turnover by J. Grant (offensive foul)
3:00.0,J. Jones makes 3-pt shot from 24 ft (assist by T. Thompson),3,76-64,,
2:39.0,,,76-67,3,N. Stauskas makes 3-pt shot from 26 ft
2:16.0,J. Cunningham misses 2-pt shot from 19 ft,,76-67,,
2:15.0,,,76-67,,Defensive rebound by H. Thompson
1:58.0,,,76-67,,J. Grant misses 2-pt shot from 3 ft (block by T. Thompson)
1:56.0,,,76-67,,Offensive rebound by J. Grant
1:54.0,,,76-67,,H. Thompson misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by T. Thompson,,76-67,,
1:49.0,Turnover by M. Dellavedova (bad pass; steal by H. Thompson),,76-67,,
1:42.0,,,76-67,,H. Thompson misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by T. Thompson,,76-67,,
1:36.0,Shooting foul by H. Thompson (drawn by R. Jefferson),,76-67,,
1:36.0,R. Jefferson makes free throw 1 of 2,1,77-67,,
1:36.0,L. James enters the game for J. Cunningham,,77-67,,
1:36.0,,,77-67,,R. Holmes enters the game for J. Grant
1:36.0,R. Jefferson makes free throw 2 of 2,1,78-67,,
1:14.0,,,78-67,,Turnover by N. Stauskas (bad pass; steal by L. James)
1:11.0,L. James makes 2-pt shot at rim,2,80-67,,
1:00.0,,,80-69,2,J. Okafor makes 2-pt shot from 3 ft (assist by T. McConnell)
0:50.0,J. Jones misses 3-pt shot from 25 ft,,80-69,,
0:49.0,,,80-69,,Defensive rebound by N. Stauskas
0:41.0,,,80-69,,Shooting foul by T. Thompson (drawn by N. Stauskas)
0:41.0,,,80-70,1,N. Stauskas makes free throw 1 of 2
0:41.0,,,80-71,1,N. Stauskas makes free throw 2 of 2
0:32.0,L. James makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,82-71,,
0:22.0,Personal foul by L. James (drawn by H. Thompson),,82-71,,
0:22.0,,,82-72,1,H. Thompson makes free throw 1 of 2
0:22.0,,,82-72,,N. Noel enters the game for J. Okafor
0:22.0,,,82-72,,J. Sampson enters the game for R. Holmes
0:22.0,,,82-72,,J. Grant enters the game for T. McConnell
0:22.0,,,82-72,,H. Thompson misses free throw 2 of 2
0:22.0,Defensive rebound by M. Dellavedova,,82-72,,
0:00.0,M. Dellavedova misses 2-pt shot from 10 ft,,82-72,,
0:00.0,Offensive rebound by Team,,82-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,82-75,3,N. Stauskas makes 3-pt shot from 26 ft (assist by H. Thompson)
11:19.0,L. James makes 2-pt shot from 7 ft,2,84-75,,
10:59.0,,,84-75,,N. Stauskas misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by T. Thompson,,84-75,,
10:48.0,R. Jefferson misses 3-pt shot from 24 ft,,84-75,,
10:46.0,,,84-75,,Defensive rebound by H. Thompson
10:25.0,,,84-75,,Shooting foul by L. James (drawn by N. Noel)
10:25.0,,,84-75,,N. Noel misses free throw 1 of 2
10:25.0,,,84-75,,Offensive rebound by Team
10:25.0,,,84-75,,N. Noel misses free throw 2 of 2
10:24.0,Defensive rebound by J. Jones,,84-75,,
10:06.0,L. James misses 2-pt shot from 18 ft,,84-75,,
10:05.0,,,84-75,,Defensive rebound by J. Okafor
9:46.0,,,84-77,2,J. Okafor makes 2-pt shot from 1 ft
9:23.0,L. James misses 2-pt shot from 4 ft,,84-77,,
9:21.0,Offensive rebound by M. Dellavedova,,84-77,,
9:12.0,T. Thompson makes 2-pt shot from 14 ft (assist by M. Dellavedova),2,86-77,,
8:52.0,,,86-77,,H. Thompson misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by L. James,,86-77,,
8:47.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,88-77,,
8:46.0,,,88-77,,Philadelphia full timeout
8:46.0,K. Love enters the game for J. Jones,,88-77,,
8:46.0,T. Mozgov enters the game for T. Thompson,,88-77,,
8:46.0,,,88-77,,R. Covington enters the game for N. Stauskas
8:46.0,,,88-77,,T. McConnell enters the game for J. Okafor
8:27.0,,,88-77,,R. Covington misses 3-pt shot from 26 ft
8:25.0,,,88-77,,Offensive rebound by Team
8:16.0,,,88-77,,Turnover by N. Noel (lost ball)
8:07.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,90-77,,
7:53.0,,,90-77,,R. Covington misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by R. Jefferson,,90-77,,
7:45.0,R. Jefferson makes 3-pt shot from 25 ft (assist by L. James),3,93-77,,
7:45.0,,,93-77,,Philadelphia full timeout
7:45.0,M. Williams enters the game for M. Dellavedova,,93-77,,
7:45.0,,,93-77,,J. Okafor enters the game for T. McConnell
7:23.0,,,93-77,,Turnover by J. Okafor (lost ball; steal by L. James)
7:18.0,M. Williams makes 2-pt shot from 19 ft,2,95-77,,
7:00.0,,,95-77,,J. Okafor misses 2-pt shot from 5 ft (block by L. James)
7:00.0,,,95-77,,Offensive rebound by Team
6:54.0,,,95-77,,R. Covington misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by L. James,,95-77,,
6:48.0,Turnover by L. James (bad pass),,95-77,,
6:29.0,,,95-79,2,J. Okafor makes 2-pt shot from 2 ft
6:21.0,Cleveland full timeout,,95-79,,
6:21.0,M. Dellavedova enters the game for L. James,,95-79,,
6:21.0,,,95-79,,N. Stauskas enters the game for H. Thompson
6:11.0,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,97-79,,
5:57.0,,,97-79,,J. Okafor misses 2-pt shot from 2 ft (block by T. Mozgov)
5:57.0,,,97-79,,Offensive rebound by Team
5:45.0,,,97-79,,N. Stauskas misses 3-pt shot from 25 ft
5:44.0,,,97-79,,Offensive rebound by Team
5:44.0,,,97-79,,Turnover by Team (shot clock)
5:31.0,K. Love misses 2-pt shot from 19 ft,,97-79,,
5:27.0,,,97-79,,Defensive rebound by I. Canaan
5:22.0,Personal foul by M. Dellavedova (drawn by I. Canaan),,97-79,,
5:13.0,,,97-79,,N. Noel misses 2-pt shot from 9 ft
5:11.0,Defensive rebound by K. Love,,97-79,,
5:05.0,,,97-79,,Personal foul by R. Covington (drawn by T. Mozgov)
5:05.0,,,97-79,,R. Holmes enters the game for J. Okafor
5:05.0,,,97-79,,C. Wood enters the game for N. Noel
5:05.0,J. Cunningham enters the game for R. Jefferson,,97-79,,
