time,San Antonio,pts.away,score,pts.home,Chicago
2:38.0,,,87-89,,Defensive rebound by P. Gasol
2:19.0,,,87-89,,Turnover by J. Butler (lost ball)
2:00.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker),2,89-89,,
1:41.0,,,89-89,,D. Rose misses 2-pt shot from 8 ft
1:39.0,Defensive rebound by L. Aldridge,,89-89,,
1:23.0,T. Duncan misses 2-pt shot from 9 ft,,89-89,,
1:22.0,,,89-89,,Defensive rebound by N. Mirotic
1:21.0,,,89-89,,Turnover by N. Mirotic (lost ball)
1:06.0,L. Aldridge misses 2-pt shot from 2 ft (block by P. Gasol),,89-89,,
1:03.0,,,89-89,,Defensive rebound by J. Butler
0:51.0,Personal foul by M. Ginobili (drawn by P. Gasol),,89-89,,
0:51.0,,,89-89,,P. Gasol misses free throw 1 of 2
0:51.0,,,89-89,,Offensive rebound by Team
0:51.0,,,89-89,,J. Noah enters the game for N. Mirotic
0:51.0,,,89-90,1,P. Gasol makes free throw 2 of 2
0:34.0,M. Ginobili misses 2-pt shot from 11 ft,,89-90,,
0:32.0,,,89-90,,Defensive rebound by D. Rose
0:11.0,,,89-90,,Shooting foul by L. Aldridge (drawn by J. Butler)
0:11.0,,,89-91,1,J. Butler makes free throw 1 of 2
0:11.0,,,89-92,1,J. Butler makes free throw 2 of 2
0:11.0,San Antonio full timeout,,89-92,,
0:11.0,,,89-92,,T. Gibson enters the game for P. Gasol
0:05.0,K. Leonard misses 3-pt shot from 24 ft,,89-92,,
0:04.0,Offensive rebound by T. Duncan,,89-92,,
0:01.0,T. Parker misses 3-pt shot from 24 ft (block by D. Rose),,89-92,,
0:00.0,,,89-92,,Defensive rebound by E. Moore
0:00.0,End of 4th quarter,,,,End of 4th quarter
