time,Minnesota,pts.away,score,pts.home,Charlotte
0:50.0,A. Payne enters the game for A. Wiggins,,95-104,,
0:50.0,R. Rubio makes free throw 1 of 2,1,96-104,,
0:50.0,R. Rubio makes free throw 2 of 2,1,97-104,,
0:50.0,,,97-104,,Charlotte full timeout
0:50.0,,,97-104,,F. Kaminsky enters the game for A. Jefferson
0:28.0,,,97-104,,K. Walker misses 2-pt shot from 17 ft
0:25.0,Defensive rebound by R. Rubio,,97-104,,
0:25.0,,,97-104,,Personal foul by K. Walker (drawn by R. Rubio)
0:25.0,R. Rubio makes free throw 1 of 2,1,98-104,,
0:25.0,R. Rubio makes free throw 2 of 2,1,99-104,,
0:25.0,,,99-104,,Charlotte full timeout
0:25.0,,,99-104,,Charlotte full timeout
0:24.0,,,99-104,,Turnover by M. Williams (bad pass)
0:24.0,Personal foul by S. Muhammad (drawn by N. Batum),,99-104,,
0:23.0,Minnesota full timeout,,99-104,,
0:23.0,K. Towns enters the game for T. Jones,,99-104,,
0:23.0,Z. LaVine enters the game for A. Payne,,99-104,,
0:23.0,A. Wiggins enters the game for D. Rudez,,99-104,,
0:23.0,,,99-104,,J. Lin enters the game for F. Kaminsky
0:17.0,Z. LaVine misses 3-pt shot from 30 ft,,99-104,,
0:15.0,Offensive rebound by A. Wiggins,,99-104,,
0:15.0,A. Wiggins makes 2-pt shot at rim,2,101-104,,
0:12.0,Personal foul by A. Wiggins (drawn by J. Lin),,101-104,,
0:12.0,,,101-105,1,J. Lin makes free throw 1 of 2
0:12.0,G. Dieng enters the game for R. Rubio,,101-105,,
0:12.0,,,101-106,1,J. Lin makes free throw 2 of 2
0:12.0,Minnesota full timeout,,101-106,,
0:12.0,R. Rubio enters the game for G. Dieng,,101-106,,
0:10.0,Turnover by R. Rubio (lost ball),,101-106,,
0:09.0,Personal take foul by K. Towns (drawn by J. Lin),,101-106,,
0:09.0,,,101-107,1,J. Lin makes free throw 1 of 2
0:09.0,,,101-108,1,J. Lin makes free throw 2 of 2
0:04.0,Z. LaVine misses 3-pt shot from 25 ft,,101-108,,
0:01.0,Offensive rebound by A. Wiggins,,101-108,,
0:01.0,A. Wiggins makes 2-pt shot at rim,2,103-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
