time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,78-83,,K. Durant misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by A. Iguodala,,78-83,,
11:32.0,L. Barbosa misses 3-pt shot from 23 ft,,78-83,,
11:31.0,,,78-83,,Defensive rebound by K. Singler
11:23.0,,,78-83,,Shooting foul by H. Barnes (drawn by E. Kanter)
11:23.0,,,78-83,,E. Kanter misses free throw 1 of 2
11:23.0,,,78-83,,Offensive rebound by Team
11:23.0,,,78-84,1,E. Kanter makes free throw 2 of 2
11:03.0,S. Curry misses 2-pt shot from 2 ft,,78-84,,
11:03.0,,,78-84,,Defensive rebound by K. Durant
10:56.0,,,78-84,,Turnover by D. Waiters (bad pass; steal by A. Varejao)
10:51.0,H. Barnes misses 2-pt shot from 2 ft,,78-84,,
10:51.0,,,78-84,,Defensive rebound by K. Durant
10:42.0,,,78-84,,D. Waiters misses 3-pt shot from 22 ft
10:41.0,Defensive rebound by A. Varejao,,78-84,,
10:33.0,,,78-84,,Personal foul by A. Roberson (drawn by A. Varejao)
10:24.0,A. Varejao misses 2-pt shot from 2 ft,,78-84,,
10:24.0,,,78-84,,Defensive rebound by E. Kanter
10:15.0,,,78-86,2,E. Kanter makes 2-pt shot from 2 ft (assist by K. Durant)
10:04.0,,,78-86,,Personal foul by K. Durant (drawn by S. Curry)
10:04.0,,,78-86,,R. Westbrook enters the game for D. Waiters
10:04.0,Golden State full timeout,,78-86,,
9:58.0,Shooting foul by K. Singler (drawn by A. Varejao),,78-86,,
9:58.0,A. Varejao misses free throw 1 of 2,,78-86,,
9:58.0,Offensive rebound by Team,,78-86,,
9:58.0,K. Thompson enters the game for L. Barbosa,,78-86,,
9:58.0,S. Livingston enters the game for S. Curry,,78-86,,
9:58.0,A. Varejao misses free throw 2 of 2,,78-86,,
9:57.0,,,78-86,,Defensive rebound by E. Kanter
9:40.0,,,78-88,2,K. Durant makes 2-pt shot from 16 ft
9:20.0,A. Iguodala misses 3-pt shot from 24 ft,,78-88,,
9:20.0,,,78-88,,Defensive rebound by A. Roberson
9:15.0,,,78-88,,Shooting foul by S. Livingston (drawn by E. Kanter)
9:15.0,,,78-89,1,E. Kanter makes free throw 1 of 2
9:15.0,D. Green enters the game for H. Barnes,,78-89,,
9:15.0,,,78-90,1,E. Kanter makes free throw 2 of 2
8:56.0,S. Livingston makes 2-pt shot from 6 ft (assist by D. Green),2,80-90,,
8:56.0,Shooting foul by A. Roberson (drawn by S. Livingston),,80-90,,
8:56.0,S. Livingston makes free throw 1 of 1,1,81-90,,
8:46.0,,,81-90,,K. Durant misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by D. Green,,81-90,,
8:30.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,83-90,,
8:07.0,,,83-90,,A. Roberson misses 3-pt shot from 22 ft
8:06.0,,,83-90,,Offensive rebound by K. Singler
8:03.0,,,83-90,,K. Singler misses 2-pt shot from 3 ft
8:01.0,,,83-90,,Offensive rebound by E. Kanter
8:01.0,,,83-92,2,E. Kanter makes 2-pt shot at rim
