time,Portland,pts.away,score,pts.home,Phoenix
3:05.0,,,43-46,2,E. Bledsoe makes 2-pt shot at rim
2:54.0,D. Lillard makes 2-pt shot from 1 ft,2,45-46,,
2:38.0,,,45-46,,Shooting foul by A. Crabbe (drawn by E. Bledsoe)
2:38.0,Official timeout,,45-46,,
2:38.0,,,45-46,,P. Tucker enters the game for T. Warren
2:38.0,C. McCollum enters the game for N. Vonleh,,45-46,,
2:38.0,Violation by Team (jump ball),,45-46,,
2:38.0,,,45-47,1,E. Bledsoe makes free throw 1 of 2
2:38.0,,,45-48,1,E. Bledsoe makes free throw 2 of 2
2:23.0,A. Aminu misses 3-pt shot from 25 ft,,45-48,,
2:22.0,,,45-48,,Defensive rebound by B. Knight
2:08.0,,,45-48,,Offensive foul by M. Morris
2:08.0,,,45-48,,Turnover by M. Morris (offensive foul)
2:08.0,,,45-48,,R. Price enters the game for B. Knight
1:48.0,D. Lillard misses 2-pt shot from 1 ft,,45-48,,
1:47.0,Offensive rebound by M. Plumlee,,45-48,,
1:46.0,Turnover by D. Lillard (lost ball; steal by R. Price),,45-48,,
1:42.0,,,45-50,2,R. Price makes 2-pt shot from 1 ft
1:24.0,C. McCollum misses 2-pt shot from 13 ft,,45-50,,
1:24.0,Offensive rebound by A. Aminu,,45-50,,
1:24.0,Shooting foul by P. Tucker (drawn by A. Aminu),,45-50,,
1:24.0,A. Aminu makes free throw 1 of 2,1,46-50,,
1:24.0,A. Aminu makes free throw 2 of 2,1,47-50,,
1:10.0,,,47-50,,M. Morris misses 2-pt shot from 19 ft
1:09.0,Defensive rebound by A. Crabbe,,47-50,,
1:04.0,A. Aminu makes 2-pt shot at rim (assist by A. Crabbe),2,49-50,,
0:51.0,Personal block foul by A. Aminu (drawn by E. Bledsoe),,49-50,,
0:51.0,,,49-50,,E. Bledsoe misses free throw 1 of 2
0:51.0,,,49-50,,Offensive rebound by Team
0:51.0,N. Vonleh enters the game for A. Aminu,,49-50,,
0:51.0,,,49-51,1,E. Bledsoe makes free throw 2 of 2
0:37.0,Turnover by D. Lillard (lost ball; steal by P. Tucker),,49-51,,
0:33.0,,,49-51,,Shooting foul by A. Crabbe (drawn by R. Price)
0:33.0,,,49-52,1,R. Price makes free throw 1 of 2
0:33.0,M. Leonard enters the game for N. Vonleh,,49-52,,
0:33.0,,,49-53,1,R. Price makes free throw 2 of 2
0:21.0,C. McCollum misses 2-pt shot from 2 ft (block by T. Chandler),,49-53,,
0:20.0,,,49-53,,Defensive rebound by T. Chandler
0:18.0,,,49-53,,Shooting foul by M. Leonard (drawn by R. Price)
0:18.0,,,49-54,1,R. Price makes free throw 1 of 2
0:18.0,,,49-55,1,R. Price makes free throw 2 of 2
0:18.0,Portland full timeout,,49-55,,
0:18.0,P. Connaughton enters the game for M. Plumlee,,49-55,,
0:05.0,M. Leonard misses 3-pt shot from 25 ft,,49-55,,
0:05.0,,,49-55,,Defensive rebound by P. Tucker
0:00.0,,,49-55,,E. Bledsoe misses 3-pt shot from 24 ft
0:00.0,,,49-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by M. Plumlee (bad pass; steal by B. Knight),,49-55,,
