time,Memphis,pts.away,score,pts.home,Orlando
5:11.0,Shooting foul by B. Jennings (drawn by V. Carter),,93-109,,
5:11.0,,,93-109,,E. Payton enters the game for B. Jennings
5:11.0,M. Barnes enters the game for L. Stephenson,,93-109,,
5:11.0,V. Carter misses free throw 1 of 1,,93-109,,
5:09.0,,,93-109,,Defensive rebound by N. Vucevic
4:51.0,,,93-109,,E. Payton misses 3-pt shot from 24 ft
4:50.0,,,93-109,,Offensive rebound by V. Oladipo
4:34.0,,,93-109,,V. Oladipo misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Martin,,93-109,,
4:25.0,Z. Randolph makes 3-pt shot from 24 ft (assist by V. Carter),3,96-109,,
4:09.0,,,96-109,,V. Oladipo misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by V. Carter,,96-109,,
4:03.0,Turnover by V. Carter (lost ball; steal by V. Oladipo),,96-109,,
3:46.0,,,96-109,,V. Oladipo misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by Z. Randolph,,96-109,,
3:40.0,M. Barnes misses 3-pt shot from 24 ft,,96-109,,
3:40.0,,,96-109,,Defensive rebound by Team
3:40.0,,,96-109,,A. Gordon enters the game for A. Nicholson
3:30.0,,,96-109,,Turnover by N. Vucevic (traveling)
3:18.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,99-109,,
3:18.0,,,99-109,,Orlando full timeout
3:18.0,J. Green enters the game for J. Martin,,99-109,,
2:58.0,,,99-109,,N. Vucevic misses 2-pt shot from 1 ft
2:57.0,,,99-109,,Offensive rebound by N. Vucevic
2:57.0,,,99-109,,N. Vucevic misses 2-pt shot from 1 ft
2:55.0,,,99-109,,Offensive rebound by A. Gordon
2:55.0,,,99-111,2,A. Gordon makes 2-pt shot from 1 ft
2:40.0,V. Carter makes 2-pt shot from 2 ft (assist by X. Munford),2,101-111,,
2:24.0,,,101-111,,Turnover by E. Fournier (offensive foul)
2:24.0,,,101-111,,Offensive foul by E. Fournier
2:15.0,Turnover by X. Munford (lost ball; steal by A. Gordon),,101-111,,
2:11.0,,,101-113,2,V. Oladipo makes 2-pt shot at rim
1:51.0,,,101-113,,Personal foul by N. Vucevic
1:40.0,Z. Randolph misses 2-pt shot from 2 ft,,101-113,,
1:38.0,,,101-113,,Defensive rebound by N. Vucevic
1:38.0,Personal foul by Z. Randolph,,101-113,,
1:22.0,,,101-113,,V. Oladipo misses 2-pt shot from 11 ft (block by M. Barnes)
1:21.0,,,101-113,,Offensive rebound by N. Vucevic
1:20.0,,,101-116,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:02.0,M. Barnes makes 3-pt shot from 24 ft,3,104-116,,
0:46.0,,,104-116,,Turnover by N. Vucevic (traveling)
0:46.0,R. Hollins enters the game for M. Barnes,,104-116,,
0:46.0,B. Cotton enters the game for Z. Randolph,,104-116,,
0:46.0,J. Martin enters the game for V. Carter,,104-116,,
0:40.0,Shooting foul by N. Vucevic (drawn by X. Munford),,104-116,,
0:40.0,X. Munford misses free throw 1 of 2,,104-116,,
0:40.0,Offensive rebound by Team,,104-116,,
0:40.0,X. Munford makes free throw 2 of 2,1,105-116,,
0:17.0,,,105-116,,E. Fournier misses 2-pt shot from 2 ft (block by R. Hollins)
0:16.0,,,105-116,,Offensive rebound by A. Gordon
0:15.0,,,105-119,3,A. Gordon makes 3-pt shot from 22 ft
0:07.0,B. Cotton makes 2-pt shot from 17 ft,2,107-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
