time,LA Clippers,pts.away,score,pts.home,New Orleans
3:33.0,P. Pierce makes free throw 2 of 2,1,43-45,,
3:13.0,,,43-45,,A. Davis misses 2-pt shot from 17 ft
3:13.0,Defensive rebound by P. Pierce,,43-45,,
2:56.0,,,43-45,,New Orleans full timeout
2:51.0,C. Paul misses 3-pt shot from 23 ft,,43-45,,
2:50.0,,,43-45,,Defensive rebound by T. Evans
2:28.0,,,43-45,,D. Cunningham misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by J. Redick,,43-45,,
2:18.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,45-45,,
2:04.0,,,45-47,2,T. Evans makes 2-pt shot from 1 ft
1:41.0,J. Redick makes 2-pt shot from 2 ft,2,47-47,,
1:23.0,,,47-47,,A. Gee misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by D. Jordan,,47-47,,
1:12.0,Turnover by C. Paul (back court),,47-47,,
1:12.0,,,47-47,,N. Cole enters the game for A. Gee
1:12.0,W. Johnson enters the game for D. Jordan,,47-47,,
1:06.0,,,47-47,,Shooting foul by W. Johnson (drawn by T. Evans)
1:06.0,,,47-47,,T. Evans misses free throw 1 of 2
1:06.0,,,47-47,,Offensive rebound by Team
1:06.0,,,47-48,1,T. Evans makes free throw 2 of 2
0:55.0,J. Redick misses 2-pt shot from 17 ft,,47-48,,
0:54.0,,,47-48,,Defensive rebound by A. Davis
0:39.0,,,47-48,,T. Evans misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by W. Johnson,,47-48,,
0:28.0,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul),3,50-48,,
0:08.0,,,50-48,,D. Cunningham misses 3-pt shot from 22 ft (block by P. Pierce)
0:07.0,Defensive rebound by C. Paul,,50-48,,
0:02.0,,,50-48,,Personal foul by T. Evans (drawn by C. Paul)
0:02.0,LA Clippers full timeout,,50-48,,
0:00.0,C. Paul misses 3-pt shot from 25 ft,,50-48,,
0:00.0,Offensive rebound by Team,,50-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,P. Pierce misses 2-pt shot from 13 ft,,50-48,,
11:38.0,,,50-48,,Defensive rebound by O. Asik
11:28.0,,,50-48,,Turnover by A. Davis (lost ball; steal by C. Paul)
11:25.0,,,50-48,,Personal foul by A. Davis (drawn by C. Paul)
11:16.0,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan),2,52-48,,
11:01.0,,,52-48,,N. Cole misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by C. Paul,,52-48,,
10:53.0,Turnover by C. Paul (bad pass; steal by T. Evans),,52-48,,
10:46.0,,,52-48,,T. Evans misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by P. Pierce,,52-48,,
10:29.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,52-48,,
10:29.0,Offensive rebound by P. Pierce,,52-48,,
10:17.0,Turnover by L. Mbah a Moute (lost ball),,52-48,,
10:04.0,,,52-48,,E. Gordon misses 2-pt shot from 10 ft
10:04.0,,,52-48,,Offensive rebound by Team
10:04.0,Loose ball foul by P. Pierce (drawn by O. Asik),,52-48,,
9:47.0,,,52-48,,N. Cole misses 3-pt shot from 24 ft
9:47.0,,,52-48,,Offensive rebound by Team
9:40.0,,,52-48,,A. Davis misses 2-pt shot from 12 ft
