time,Phoenix,pts.away,score,pts.home,Houston
4:58.0,Phoenix full timeout,,107-106,,
4:46.0,Turnover by A. Goodwin (lost ball; steal by P. Beverley),,107-106,,
4:40.0,,,107-108,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
4:18.0,A. Goodwin misses 3-pt shot from 24 ft,,107-108,,
4:17.0,,,107-108,,Defensive rebound by Team
4:17.0,Loose ball foul by D. Booker,,107-108,,
4:17.0,R. Price enters the game for A. Goodwin,,107-108,,
4:04.0,,,107-110,2,J. Terry makes 2-pt shot from 4 ft
3:50.0,Offensive foul by D. Booker,,107-110,,
3:50.0,Turnover by D. Booker (offensive foul),,107-110,,
3:34.0,Personal foul by P. Tucker,,107-110,,
3:24.0,,,107-110,,Turnover by P. Beverley (traveling)
3:10.0,,,107-110,,Personal foul by P. Beverley
3:10.0,D. Booker makes free throw 1 of 2,1,108-110,,
3:10.0,D. Booker makes free throw 2 of 2,1,109-110,,
2:45.0,,,109-110,,J. Harden misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by T. Chandler,,109-110,,
2:29.0,M. Teletovic misses 3-pt shot from 29 ft,,109-110,,
2:28.0,Offensive rebound by P. Tucker,,109-110,,
2:26.0,P. Tucker misses 2-pt shot from 2 ft,,109-110,,
2:24.0,Offensive rebound by T. Chandler,,109-110,,
2:24.0,T. Chandler makes 2-pt shot at rim,2,111-110,,
2:11.0,,,111-110,,Turnover by J. Terry (lost ball; steal by T. Chandler)
1:58.0,Shooting foul by T. Ariza (drawn by M. Teletovic),,111-110,,
1:58.0,M. Teletovic makes free throw 1 of 2,1,112-110,,
1:58.0,,,112-110,,D. Howard enters the game for C. Capela
1:58.0,M. Teletovic makes free throw 2 of 2,1,113-110,,
1:58.0,,,113-110,,Houston full timeout
1:44.0,,,113-110,,D. Howard misses 2-pt shot from 5 ft
1:43.0,Defensive rebound by P. Tucker,,113-110,,
1:42.0,,,113-110,,Personal foul by J. Harden
1:42.0,P. Tucker makes free throw 1 of 2,1,114-110,,
1:42.0,P. Tucker makes free throw 2 of 2,1,115-110,,
1:22.0,,,115-110,,J. Terry misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by M. Teletovic,,115-110,,
1:03.0,,,115-110,,Personal foul by D. Howard
1:03.0,D. Booker makes free throw 1 of 2,1,116-110,,
1:03.0,D. Booker makes free throw 2 of 2,1,117-110,,
1:03.0,,,117-110,,Houston full timeout
1:00.0,,,117-110,,T. Ariza misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by P. Tucker,,117-110,,
0:39.0,D. Booker misses 3-pt shot from 25 ft,,117-110,,
0:38.0,Offensive rebound by P. Tucker,,117-110,,
0:25.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,119-110,,
0:20.0,,,119-113,3,J. Harden makes 3-pt shot from 27 ft
0:19.0,,,119-113,,Personal take foul by P. Beverley
0:19.0,D. Booker makes free throw 1 of 2,1,120-113,,
0:19.0,D. Booker makes free throw 2 of 2,1,121-113,,
0:18.0,Personal block foul by P. Tucker,,121-113,,
0:18.0,,,121-114,1,J. Harden makes free throw 1 of 2
0:18.0,,,121-115,1,J. Harden makes free throw 2 of 2
0:18.0,,,121-115,,Personal foul by T. Ariza
0:18.0,T. Chandler makes free throw 1 of 2,1,122-115,,
0:18.0,T. Chandler misses free throw 2 of 2,,122-115,,
0:17.0,Offensive rebound by P. Tucker,,122-115,,
0:07.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,124-115,,
0:00.0,,,124-115,,P. Beverley misses 3-pt shot from 24 ft
0:00.0,,,124-115,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
