time,Houston,pts.away,score,pts.home,Sacramento
7:17.0,,,81-95,,Defensive rebound by Team
7:17.0,,,81-95,,D. Cousins enters the game for K. Koufos
7:01.0,,,81-95,,D. Collison misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by T. Ariza,,81-95,,
6:53.0,J. Harden makes 2-pt shot from 2 ft,2,83-95,,
6:35.0,,,83-95,,S. Curry misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by D. Howard,,83-95,,
6:23.0,J. Harden makes 2-pt shot from 1 ft,2,85-95,,
6:00.0,,,85-95,,Shooting foul by J. Harden (drawn by S. Curry)
6:00.0,,,85-96,1,S. Curry makes free throw 1 of 2
6:00.0,,,85-97,1,S. Curry makes free throw 2 of 2
5:49.0,J. Harden misses 2-pt shot from 6 ft,,85-97,,
5:48.0,,,85-97,,Defensive rebound by R. Gay
5:29.0,,,85-97,,D. Cousins misses 2-pt shot from 18 ft
5:29.0,,,85-97,,Offensive rebound by R. Gay
5:24.0,,,85-100,3,R. Gay makes 3-pt shot from 25 ft
4:57.0,P. Beverley makes 2-pt shot from 3 ft,2,87-100,,
4:41.0,,,87-102,2,S. Curry makes 2-pt shot from 2 ft (assist by R. Gay)
4:31.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,90-102,,
4:09.0,,,90-102,,Turnover by R. Gay (lost ball; steal by J. Harden)
4:09.0,,,90-102,,Personal foul by R. Gay (drawn by D. Howard)
4:09.0,,,90-102,,Sacramento full timeout
4:09.0,,,90-102,,O. Casspi enters the game for S. Curry
4:09.0,C. Brewer enters the game for J. Terry,,90-102,,
3:57.0,T. Ariza misses 3-pt shot from 23 ft,,90-102,,
3:57.0,,,90-102,,Defensive rebound by D. Collison
3:46.0,,,90-102,,Offensive foul by M. Belinelli
3:46.0,,,90-102,,Turnover by M. Belinelli (offensive foul)
3:34.0,P. Beverley makes 2-pt shot from 6 ft (assist by J. Harden),2,92-102,,
3:05.0,,,92-102,,M. Belinelli misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by J. Harden,,92-102,,
2:58.0,,,92-102,,Shooting block foul by D. Cousins (drawn by J. Harden)
2:58.0,Houston full timeout,,92-102,,
2:58.0,J. Harden makes free throw 1 of 2,1,93-102,,
2:58.0,J. Harden makes free throw 2 of 2,1,94-102,,
2:38.0,,,94-104,2,D. Cousins makes 2-pt shot from 2 ft (assist by O. Casspi)
2:38.0,,,94-104,,Violation by Team (delay of game)
2:21.0,Turnover by J. Harden (lost ball; steal by O. Casspi),,94-104,,
2:17.0,,,94-104,,Shooting foul by P. Beverley (drawn by R. Gay)
2:17.0,,,94-106,2,R. Gay makes 2-pt shot at rim (assist by O. Casspi)
2:17.0,,,94-106,,R. Gay misses free throw 1 of 1
2:15.0,,,94-106,,Offensive rebound by M. Belinelli
1:59.0,,,94-106,,D. Cousins misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by J. Harden,,94-106,,
1:50.0,P. Beverley misses 3-pt shot from 25 ft,,94-106,,
1:49.0,,,94-106,,Defensive rebound by R. Gay
1:45.0,,,94-106,,Turnover by R. Gay (lost ball; steal by C. Brewer)
1:40.0,P. Beverley misses 3-pt shot from 24 ft,,94-106,,
1:39.0,,,94-106,,Defensive rebound by R. Gay
1:29.0,Personal foul by D. Howard (drawn by D. Cousins),,94-106,,
1:29.0,,,94-107,1,D. Cousins makes free throw 1 of 2
1:29.0,K. McDaniels enters the game for C. Brewer,,94-107,,
1:29.0,M. Harrell enters the game for T. Ariza,,94-107,,
1:29.0,C. Capela enters the game for D. Howard,,94-107,,
1:29.0,D. Motiejunas enters the game for J. Harden,,94-107,,
1:29.0,,,94-107,,J. Anderson enters the game for R. Gay
1:29.0,,,94-107,,B. McLemore enters the game for D. Collison
1:29.0,,,94-107,,S. Curry enters the game for M. Belinelli
1:29.0,,,94-107,,D. Cousins misses free throw 2 of 2
1:26.0,Defensive rebound by D. Motiejunas,,94-107,,
1:17.0,K. McDaniels misses 2-pt shot from 7 ft,,94-107,,
1:16.0,Offensive rebound by C. Capela,,94-107,,
1:16.0,C. Capela misses 2-pt shot from 2 ft,,94-107,,
1:14.0,,,94-107,,Defensive rebound by D. Cousins
1:00.0,,,94-107,,J. Anderson misses 2-pt shot from 8 ft
1:00.0,Defensive rebound by C. Capela,,94-107,,
0:55.0,Turnover by P. Beverley (bad pass),,94-107,,
0:55.0,,,94-107,,K. Koufos enters the game for D. Cousins
0:55.0,,,94-107,,Q. Acy enters the game for O. Casspi
0:34.0,,,94-107,,Q. Acy misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by C. Capela,,94-107,,
0:22.0,,,94-107,,Violation by Q. Acy (def goaltending)
0:22.0,K. McDaniels makes 2-pt shot from 6 ft,2,96-107,,
0:22.0,,,96-107,,Technical foul by Q. Acy
0:22.0,K. McDaniels makes technical free throw,1,97-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
