time,New Orleans,pts.away,score,pts.home,Boston
4:07.0,,,88-89,,Shooting block foul by I. Thomas (drawn by T. Douglas)
4:07.0,T. Douglas makes free throw 1 of 1,1,89-89,,
3:52.0,,,89-89,,J. Crowder misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by T. Douglas,,89-89,,
3:37.0,L. Babbitt misses 2-pt shot from 4 ft (block by J. Crowder),,89-89,,
3:35.0,,,89-89,,Defensive rebound by A. Bradley
3:32.0,,,89-89,,Shooting foul by D. Cunningham (drawn by I. Thomas)
3:32.0,,,89-91,2,I. Thomas makes 2-pt shot from 1 ft
3:32.0,,,89-91,,I. Thomas misses free throw 1 of 1
3:32.0,Defensive rebound by L. Babbitt,,89-91,,
3:24.0,,,89-91,,Personal block foul by J. Crowder
3:17.0,T. Douglas misses 3-pt shot from 24 ft,,89-91,,
3:16.0,Offensive rebound by Team,,89-91,,
3:16.0,,,89-91,,Loose ball foul by M. Smart
3:16.0,J. Hamilton makes free throw 1 of 2,1,90-91,,
3:16.0,J. Hamilton makes free throw 2 of 2,1,91-91,,
2:59.0,Official timeout,,91-91,,
2:59.0,,,91-91,,J. Sullinger enters the game for A. Johnson
2:59.0,,,91-91,,Boston full timeout
2:55.0,,,91-91,,Shooting foul by D. Cunningham (drawn by J. Sullinger)
2:55.0,,,91-92,1,J. Sullinger makes free throw 1 of 2
2:55.0,,,91-93,1,J. Sullinger makes free throw 2 of 2
2:44.0,D. Cunningham misses 2-pt shot from 2 ft (block by M. Smart),,91-93,,
2:43.0,Offensive rebound by J. Hamilton,,91-93,,
2:42.0,J. Hamilton misses 2-pt shot from 2 ft,,91-93,,
2:41.0,Offensive rebound by Team,,91-93,,
2:39.0,L. Babbitt makes 2-pt shot from 17 ft (assist by J. Hamilton),2,93-93,,
2:19.0,,,93-95,2,A. Bradley makes 2-pt shot from 14 ft (assist by I. Thomas)
1:59.0,Turnover by T. Frazier (lost ball; steal by I. Thomas),,93-95,,
1:40.0,,,93-95,,M. Smart misses 3-pt shot from 25 ft
1:39.0,,,93-95,,Offensive rebound by J. Crowder
1:38.0,,,93-97,2,J. Crowder makes 2-pt shot from 1 ft
1:38.0,New Orleans full timeout,,93-97,,
1:38.0,,,93-97,,T. Rozier enters the game for M. Smart
1:38.0,,,93-97,,A. Johnson enters the game for J. Sullinger
1:24.0,T. Douglas misses 3-pt shot from 24 ft,,93-97,,
1:23.0,,,93-97,,Defensive rebound by I. Thomas
1:23.0,Personal foul by J. Hamilton,,93-97,,
1:23.0,,,93-98,1,I. Thomas makes free throw 1 of 2
1:23.0,,,93-99,1,I. Thomas makes free throw 2 of 2
1:23.0,New Orleans full timeout,,93-99,,
1:15.0,T. Frazier makes 2-pt shot from 1 ft (assist by D. Cunningham),2,95-99,,
1:00.0,,,95-99,,Turnover by A. Johnson (lost ball; steal by T. Frazier)
0:54.0,L. Babbitt misses 2-pt shot from 2 ft (block by A. Johnson),,95-99,,
0:52.0,,,95-99,,Defensive rebound by T. Rozier
0:33.0,,,95-102,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas)
0:33.0,New Orleans full timeout,,95-102,,
0:33.0,A. Ajinca enters the game for T. Frazier,,95-102,,
0:30.0,J. Hamilton misses 3-pt shot from 26 ft,,95-102,,
0:29.0,,,95-102,,Defensive rebound by J. Crowder
0:29.0,Personal foul by T. Douglas,,95-102,,
0:29.0,,,95-103,1,J. Crowder makes free throw 1 of 2
0:29.0,,,95-104,1,J. Crowder makes free throw 2 of 2
0:24.0,T. Douglas makes 2-pt shot from 2 ft,2,97-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
