time,LA Lakers,pts.away,score,pts.home,Orlando
0:26.0,,,99-99,,N. Vucevic misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by Team,,99-99,,
0:26.0,LA Lakers full timeout,,99-99,,
0:26.0,,,99-99,,A. Gordon enters the game for S. Napier
0:26.0,N. Young enters the game for J. Randle,,99-99,,
0:02.0,L. Williams misses 2-pt shot from 20 ft,,99-99,,
0:02.0,Offensive rebound by Team,,99-99,,
0:02.0,Turnover by Team (shot clock),,99-99,,
0:02.0,,,99-99,,Orlando full timeout
0:02.0,,,99-99,,S. Napier enters the game for A. Gordon
0:02.0,L. Nance enters the game for D. Russell,,99-99,,
0:02.0,J. Clarkson enters the game for N. Young,,99-99,,
0:00.0,,,99-101,2,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Harris)
0:00.0,End of 4th quarter,,,,End of 4th quarter
