time,Houston,pts.away,score,pts.home,Chicago
8:04.0,,,79-92,,T. Gibson misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by P. Beverley,,79-92,,
7:55.0,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza),3,82-92,,
7:54.0,,,82-92,,Chicago full timeout
7:54.0,,,82-92,,M. Dunleavy enters the game for D. McDermott
7:42.0,Personal foul by T. Ariza (drawn by J. Butler),,82-92,,
7:32.0,,,82-95,3,J. Butler makes 3-pt shot from 23 ft (assist by N. Mirotic)
7:16.0,Turnover by J. Harden (bad pass; steal by T. Gibson),,82-95,,
6:58.0,,,82-98,3,E. Moore makes 3-pt shot from 25 ft (assist by M. Dunleavy)
6:38.0,P. Beverley misses 3-pt shot from 24 ft,,82-98,,
6:36.0,,,82-98,,Defensive rebound by E. Moore
6:25.0,,,82-98,,Turnover by J. Butler (offensive foul)
6:25.0,,,82-98,,Offensive charge foul by J. Butler
6:25.0,C. Brewer enters the game for M. Harrell,,82-98,,
6:25.0,,,82-98,,P. Gasol enters the game for N. Mirotic
6:25.0,,,82-98,,D. McDermott enters the game for J. Butler
6:04.0,J. Harden misses 2-pt shot from 2 ft,,82-98,,
6:03.0,,,82-98,,Defensive rebound by M. Dunleavy
5:40.0,,,82-98,,P. Gasol misses 3-pt shot from 25 ft
5:40.0,,,82-98,,Offensive rebound by T. Gibson
5:40.0,,,82-98,,Turnover by Team (shot clock)
5:22.0,T. Ariza misses 3-pt shot from 25 ft,,82-98,,
5:21.0,,,82-98,,Defensive rebound by D. McDermott
5:12.0,,,82-98,,D. McDermott misses 2-pt shot from 6 ft
5:10.0,,,82-98,,Offensive rebound by D. McDermott
5:10.0,,,82-98,,D. McDermott misses 2-pt shot from 1 ft
5:09.0,,,82-98,,Offensive rebound by T. Gibson
5:09.0,,,82-100,2,T. Gibson makes 2-pt shot from 2 ft
4:53.0,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley),3,85-100,,
4:34.0,,,85-100,,Turnover by P. Gasol (bad pass; steal by C. Brewer)
4:30.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,87-100,,
4:14.0,,,87-102,2,P. Gasol makes 2-pt shot from 17 ft (assist by E. Moore)
4:01.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,89-102,,
3:41.0,,,89-102,,D. McDermott misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by J. Harden,,89-102,,
3:30.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Brewer),3,92-102,,
3:11.0,,,92-102,,D. McDermott misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by D. Howard,,92-102,,
3:08.0,,,92-102,,Personal foul by E. Moore (drawn by C. Brewer)
3:08.0,,,92-102,,J. Butler enters the game for D. McDermott
2:57.0,J. Harden misses 3-pt shot from 25 ft,,92-102,,
2:56.0,,,92-102,,Defensive rebound by M. Dunleavy
2:38.0,Personal foul by D. Howard (drawn by P. Gasol),,92-102,,
2:38.0,,,92-102,,Chicago full timeout
2:38.0,,,92-103,1,P. Gasol makes free throw 1 of 2
2:38.0,,,92-104,1,P. Gasol makes free throw 2 of 2
2:34.0,,,92-104,,Personal foul by J. Butler (drawn by D. Howard)
2:34.0,,,92-104,,D. Rose enters the game for J. Butler
2:22.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,95-104,,
2:22.0,Shooting foul by E. Moore (drawn by J. Harden),,95-104,,
2:22.0,J. Harden makes free throw 1 of 1,1,96-104,,
2:08.0,Personal foul by C. Brewer (drawn by P. Gasol),,96-104,,
1:52.0,,,96-104,,E. Moore misses 2-pt shot from 18 ft
1:51.0,Defensive rebound by C. Brewer,,96-104,,
1:49.0,Shooting foul by M. Dunleavy (drawn by C. Brewer),,96-104,,
1:49.0,C. Brewer misses free throw 1 of 2,,96-104,,
1:49.0,Offensive rebound by Team,,96-104,,
1:49.0,C. Brewer makes free throw 2 of 2,1,97-104,,
1:27.0,,,97-104,,Turnover by P. Gasol (lost ball; steal by P. Beverley)
1:17.0,J. Harden misses 3-pt shot from 26 ft,,97-104,,
1:16.0,,,97-104,,Defensive rebound by E. Moore
1:10.0,,,97-104,,M. Dunleavy misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by C. Brewer,,97-104,,
0:57.0,Turnover by J. Harden (bad pass),,97-104,,
0:44.0,,,97-104,,Chicago full timeout
0:44.0,,,97-104,,N. Mirotic enters the game for T. Gibson
0:44.0,,,97-104,,Chicago full timeout
0:42.0,,,97-104,,Turnover by M. Dunleavy (bad pass; steal by C. Brewer)
0:35.0,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza),3,100-104,,
0:33.0,Personal foul by D. Howard (drawn by E. Moore),,100-104,,
0:26.0,,,100-104,,Shooting foul by D. Howard (drawn by P. Gasol)
0:26.0,,,100-104,,T. Gibson enters the game for N. Mirotic
0:26.0,C. Capela enters the game for D. Howard,,100-104,,
0:26.0,,,100-105,1,P. Gasol makes free throw 1 of 2
0:26.0,,,100-106,1,P. Gasol makes free throw 2 of 2
0:26.0,Houston full timeout,,100-106,,
0:26.0,J. Terry enters the game for P. Beverley,,100-106,,
0:22.0,J. Harden misses 3-pt shot from 23 ft,,100-106,,
0:20.0,,,100-106,,Defensive rebound by P. Gasol
0:20.0,Personal take foul by C. Capela (drawn by P. Gasol),,100-106,,
0:20.0,,,100-107,1,P. Gasol makes free throw 1 of 2
0:20.0,,,100-108,1,P. Gasol makes free throw 2 of 2
0:20.0,Houston full timeout,,100-108,,
0:20.0,Houston full timeout,,100-108,,
0:11.0,T. Ariza misses 3-pt shot from 26 ft,,100-108,,
0:10.0,Offensive rebound by J. Harden,,100-108,,
0:06.0,J. Harden misses 3-pt shot from 23 ft,,100-108,,
0:04.0,,,100-108,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
