time,Detroit,pts.away,score,pts.home,Portland
2:50.0,,,107-98,,Personal foul by D. Lillard (drawn by R. Jackson)
2:43.0,Shooting foul by C. McCollum (drawn by R. Jackson),,107-98,,
2:43.0,R. Jackson makes free throw 1 of 2,1,108-98,,
2:43.0,,,108-98,,A. Crabbe enters the game for M. Plumlee
2:43.0,R. Jackson makes free throw 2 of 2,1,109-98,,
2:30.0,,,109-98,,Turnover by C. McCollum (bad pass; steal by A. Drummond)
2:27.0,,,109-98,,Personal take foul by A. Crabbe (drawn by A. Drummond)
2:27.0,A. Drummond misses free throw 1 of 2,,109-98,,
2:27.0,Offensive rebound by Team,,109-98,,
2:27.0,A. Drummond misses free throw 2 of 2,,109-98,,
2:26.0,,,109-98,,Defensive rebound by A. Crabbe
2:16.0,,,109-98,,D. Lillard misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by A. Drummond,,109-98,,
2:14.0,,,109-98,,Personal take foul by A. Crabbe (drawn by A. Drummond)
2:14.0,A. Drummond misses free throw 1 of 2,,109-98,,
2:14.0,Offensive rebound by Team,,109-98,,
2:14.0,A. Drummond misses free throw 2 of 2,,109-98,,
2:13.0,Offensive rebound by M. Morris,,109-98,,
2:08.0,R. Jackson makes 3-pt shot from 26 ft (assist by M. Morris),3,112-98,,
1:54.0,,,112-98,,C. McCollum misses 2-pt shot from 6 ft
1:52.0,Defensive rebound by A. Drummond,,112-98,,
1:37.0,,,112-98,,Personal foul by M. Leonard (drawn by A. Drummond)
1:37.0,A. Drummond misses free throw 1 of 2,,112-98,,
1:37.0,Offensive rebound by Team,,112-98,,
1:37.0,A. Drummond makes free throw 2 of 2,1,113-98,,
1:33.0,,,113-101,3,D. Lillard makes 3-pt shot from 25 ft
1:27.0,R. Jackson makes 2-pt shot from 2 ft,2,115-101,,
1:17.0,,,115-101,,D. Lillard misses 3-pt shot from 28 ft
1:17.0,Defensive rebound by A. Drummond,,115-101,,
0:59.0,R. Jackson makes 2-pt shot from 2 ft,2,117-101,,
0:47.0,,,117-101,,A. Aminu misses 3-pt shot from 22 ft
0:46.0,Defensive rebound by A. Drummond,,117-101,,
0:30.0,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Jackson),3,120-101,,
0:19.0,,,120-103,2,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard)
0:00.0,End of 4th quarter,,,,End of 4th quarter
