time,New Orleans,pts.away,score,pts.home,Portland
0:48.0,E. Gordon makes free throw 2 of 2,1,48-48,,
0:33.0,,,48-48,,C. McCollum misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by T. Evans,,48-48,,
0:08.0,T. Evans misses 2-pt shot from 16 ft,,48-48,,
0:07.0,,,48-48,,Defensive rebound by E. Davis
0:02.0,,,48-50,2,E. Davis makes 2-pt shot at rim (assist by M. Harkless)
0:00.0,R. Anderson misses 3-pt shot from 63 ft,,48-50,,
0:00.0,Offensive rebound by Team,,48-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Davis makes 2-pt shot from 4 ft (assist by E. Gordon),2,50-50,,
11:28.0,,,50-52,2,C. McCollum makes 2-pt shot from 15 ft
11:11.0,A. Davis misses 2-pt shot from 17 ft,,50-52,,
11:10.0,,,50-52,,Defensive rebound by D. Lillard
10:58.0,,,50-55,3,A. Aminu makes 3-pt shot from 22 ft (assist by C. McCollum)
10:42.0,A. Davis makes 2-pt shot from 13 ft,2,52-55,,
10:23.0,,,52-55,,C. McCollum misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by T. Evans,,52-55,,
10:15.0,Shooting foul by N. Vonleh (drawn by A. Davis),,52-55,,
10:15.0,A. Davis makes free throw 1 of 2,1,53-55,,
10:15.0,A. Davis makes free throw 2 of 2,1,54-55,,
10:01.0,,,54-57,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
9:39.0,Turnover by E. Gordon (lost ball; steal by C. McCollum),,54-57,,
9:23.0,,,54-57,,D. Lillard misses 3-pt shot from 29 ft
9:23.0,Defensive rebound by A. Davis,,54-57,,
9:10.0,A. Ajinca makes 2-pt shot from 19 ft (assist by A. Gee),2,56-57,,
9:01.0,,,56-59,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
8:46.0,A. Ajinca misses 2-pt shot from 19 ft,,56-59,,
8:45.0,,,56-59,,Defensive rebound by A. Aminu
8:28.0,,,56-62,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
8:10.0,Turnover by A. Davis (lost ball; steal by D. Lillard),,56-62,,
7:54.0,,,56-62,,C. McCollum misses 3-pt shot from 28 ft
7:54.0,,,56-62,,Offensive rebound by M. Plumlee
7:49.0,,,56-64,2,D. Lillard makes 2-pt shot from 18 ft (assist by M. Plumlee)
7:49.0,New Orleans full timeout,,56-64,,
7:42.0,,,56-64,,Personal foul by C. McCollum (drawn by E. Gordon)
7:42.0,R. Anderson enters the game for A. Ajinca,,56-64,,
7:32.0,R. Anderson misses 2-pt shot from 6 ft,,56-64,,
7:30.0,,,56-64,,Defensive rebound by A. Aminu
7:14.0,,,56-66,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:03.0,E. Gordon misses 2-pt shot from 20 ft,,56-66,,
7:03.0,,,56-66,,Defensive rebound by A. Aminu
6:50.0,,,56-66,,Turnover by C. McCollum (lost ball)
6:36.0,T. Evans misses 2-pt shot from 2 ft (block by A. Aminu),,56-66,,
6:35.0,,,56-66,,Defensive rebound by M. Plumlee
6:28.0,,,56-66,,A. Aminu misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by A. Davis,,56-66,,
6:11.0,R. Anderson misses 2-pt shot at rim,,56-66,,
6:10.0,,,56-66,,Defensive rebound by M. Plumlee
6:04.0,,,56-68,2,D. Lillard makes 2-pt shot from 19 ft
5:47.0,E. Gordon misses 3-pt shot from 26 ft,,56-68,,
5:46.0,,,56-68,,Defensive rebound by M. Plumlee
5:37.0,,,56-68,,D. Lillard misses 3-pt shot from 27 ft
5:36.0,Defensive rebound by E. Gordon,,56-68,,
5:26.0,T. Evans misses 3-pt shot from 25 ft,,56-68,,
5:25.0,,,56-68,,Defensive rebound by N. Vonleh
5:04.0,,,56-68,,Turnover by M. Plumlee (bad pass)
5:04.0,J. Holiday enters the game for A. Gee,,56-68,,
4:45.0,A. Davis misses 2-pt shot from 11 ft,,56-68,,
4:45.0,,,56-68,,Defensive rebound by A. Aminu
4:35.0,,,56-68,,Turnover by C. McCollum (bad pass; steal by T. Evans)
4:27.0,T. Evans misses 2-pt shot from 2 ft,,56-68,,
4:25.0,Offensive rebound by A. Davis,,56-68,,
4:25.0,A. Davis makes 2-pt shot at rim,2,58-68,,
4:05.0,,,58-68,,C. McCollum misses 2-pt shot from 21 ft (block by T. Evans)
4:05.0,Defensive rebound by R. Anderson,,58-68,,
3:54.0,Shooting foul by D. Lillard (drawn by A. Davis),,58-68,,
3:54.0,A. Davis misses free throw 1 of 2,,58-68,,
3:54.0,Offensive rebound by Team,,58-68,,
3:54.0,I. Smith enters the game for T. Evans,,58-68,,
3:54.0,,,58-68,,A. Crabbe enters the game for C. McCollum
3:54.0,,,58-68,,G. Henderson enters the game for A. Aminu
3:54.0,A. Davis makes free throw 2 of 2,1,59-68,,
3:35.0,,,59-70,2,D. Lillard makes 2-pt shot from 1 ft
3:20.0,R. Anderson makes 2-pt shot from 1 ft,2,61-70,,
3:20.0,,,61-70,,Portland full timeout
3:05.0,,,61-70,,D. Lillard misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by R. Anderson,,61-70,,
2:49.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,64-70,,
2:33.0,,,64-72,2,N. Vonleh makes 2-pt shot at rim (assist by A. Crabbe)
2:16.0,J. Holiday misses 3-pt shot from 25 ft,,64-72,,
2:16.0,,,64-72,,Defensive rebound by Team
2:16.0,,,64-72,,M. Leonard enters the game for M. Plumlee
2:16.0,,,64-72,,E. Davis enters the game for N. Vonleh
2:04.0,,,64-72,,Shooting foul by R. Anderson (drawn by D. Lillard)
2:04.0,,,64-72,,D. Lillard misses free throw 1 of 2
2:04.0,,,64-72,,Offensive rebound by Team
2:04.0,,,64-73,1,D. Lillard makes free throw 2 of 2
1:50.0,R. Anderson makes 3-pt shot from 25 ft (assist by I. Smith),3,67-73,,
1:33.0,,,67-73,,M. Leonard misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by A. Davis,,67-73,,
1:22.0,J. Holiday makes 2-pt shot from 3 ft,2,69-73,,
1:05.0,,,69-75,2,E. Davis makes 2-pt shot from 4 ft (assist by M. Leonard)
0:46.0,E. Gordon misses 3-pt shot from 23 ft,,69-75,,
0:45.0,,,69-75,,Defensive rebound by D. Lillard
0:35.0,,,69-78,3,G. Henderson makes 3-pt shot from 23 ft (assist by D. Lillard)
0:12.0,R. Anderson misses 2-pt shot from 20 ft,,69-78,,
0:12.0,,,69-78,,Defensive rebound by G. Henderson
0:02.0,,,69-78,,D. Lillard misses 3-pt shot from 24 ft (block by A. Davis)
0:00.0,Defensive rebound by R. Anderson,,69-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,69-78,,M. Leonard misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by A. Davis,,69-78,,
11:39.0,,,69-78,,Loose ball foul by G. Henderson (drawn by A. Davis)
11:29.0,J. Holiday misses 2-pt shot from 14 ft,,69-78,,
11:27.0,,,69-78,,Defensive rebound by A. Crabbe
11:20.0,,,69-80,2,G. Henderson makes 2-pt shot from 16 ft
10:54.0,A. Davis misses 2-pt shot from 14 ft,,69-80,,
10:53.0,,,69-80,,Defensive rebound by M. Leonard
