time,Detroit,pts.away,score,pts.home,Sacramento
2:40.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,89-96,,
2:39.0,,,89-96,,Defensive rebound by O. Casspi
2:18.0,,,89-96,,R. Rondo misses 2-pt shot from 6 ft (block by K. Caldwell-Pope)
2:16.0,Defensive rebound by A. Drummond,,89-96,,
2:15.0,Turnover by A. Drummond (lost ball),,89-96,,
2:15.0,Detroit full timeout,,89-96,,
2:15.0,M. Morris enters the game for S. Johnson,,89-96,,
2:07.0,Personal foul by R. Jackson (drawn by R. Rondo),,89-96,,
2:07.0,,,89-97,1,R. Rondo makes free throw 1 of 2
2:07.0,,,89-97,,R. Rondo misses free throw 2 of 2
2:06.0,Defensive rebound by R. Jackson,,89-97,,
1:47.0,R. Jackson misses 2-pt shot from 4 ft,,89-97,,
1:45.0,Offensive rebound by A. Drummond,,89-97,,
1:44.0,A. Drummond misses 2-pt shot from 3 ft,,89-97,,
1:44.0,,,89-97,,Defensive rebound by D. Cousins
1:44.0,Personal foul by A. Drummond (drawn by D. Cousins),,89-97,,
1:44.0,,,89-98,1,D. Cousins makes free throw 1 of 2
1:44.0,,,89-99,1,D. Cousins makes free throw 2 of 2
1:29.0,Turnover by K. Caldwell-Pope (step out of bounds),,89-99,,
1:11.0,Personal foul by K. Caldwell-Pope (drawn by M. Belinelli),,89-99,,
1:11.0,,,89-100,1,M. Belinelli makes free throw 1 of 2
1:11.0,,,89-101,1,M. Belinelli makes free throw 2 of 2
1:11.0,Detroit full timeout,,89-101,,
1:05.0,R. Jackson misses 3-pt shot from 25 ft,,89-101,,
1:05.0,,,89-101,,Defensive rebound by R. Gay
0:42.0,,,89-101,,D. Cousins misses 2-pt shot from 16 ft
0:41.0,Defensive rebound by M. Morris,,89-101,,
0:37.0,M. Morris misses 3-pt shot from 24 ft,,89-101,,
0:37.0,,,89-101,,Defensive rebound by Team
0:13.0,,,89-101,,Turnover by Team (shot clock)
0:07.0,R. Jackson makes 3-pt shot from 24 ft,3,92-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
