time,Charlotte,pts.away,score,pts.home,Phoenix
0:44.0,,,102-109,,Personal foul by T. Warren (drawn by J. Lin)
0:38.0,Turnover by K. Walker (lost ball; steal by P. Tucker),,102-109,,
0:32.0,,,102-109,,Phoenix full timeout
0:32.0,P. Hairston enters the game for J. Lin,,102-109,,
0:27.0,Personal foul by T. Daniels (drawn by B. Knight),,102-109,,
0:23.0,,,102-109,,Phoenix full timeout
0:21.0,Personal foul by C. Zeller (drawn by M. Teletovic),,102-109,,
0:21.0,,,102-110,1,M. Teletovic makes free throw 1 of 2
0:21.0,,,102-111,1,M. Teletovic makes free throw 2 of 2
0:14.0,T. Daniels misses 3-pt shot from 25 ft,,102-111,,
0:12.0,,,102-111,,Defensive rebound by M. Teletovic
0:00.0,End of 4th quarter,,,,End of 4th quarter
