time,Indiana,pts.away,score,pts.home,Boston
7:41.0,Offensive rebound by Team,,89-85,,
7:41.0,P. George enters the game for G. Robinson,,89-85,,
7:41.0,,,89-85,,K. Olynyk enters the game for J. Sullinger
7:41.0,C. Budinger makes free throw 2 of 2,1,90-85,,
7:27.0,,,90-87,2,E. Turner makes 2-pt shot from 10 ft (assist by J. Jerebko)
7:19.0,Turnover by P. George (lost ball),,90-87,,
7:01.0,,,90-87,,A. Johnson misses 2-pt shot from 1 ft (block by I. Mahinmi)
7:00.0,Defensive rebound by P. George,,90-87,,
6:38.0,P. George makes 2-pt shot from 19 ft,2,92-87,,
6:25.0,,,92-87,,Turnover by A. Johnson (bad pass)
6:18.0,Offensive foul by P. George,,92-87,,
6:18.0,Turnover by P. George (offensive foul),,92-87,,
6:18.0,,,92-87,,M. Smart enters the game for A. Johnson
6:06.0,,,92-87,,E. Turner misses 2-pt shot from 12 ft
6:06.0,Defensive rebound by C. Miles,,92-87,,
6:03.0,Turnover by C. Miles (bad pass; steal by E. Turner),,92-87,,
5:47.0,,,92-87,,Offensive charge foul by K. Olynyk
5:47.0,,,92-87,,Turnover by K. Olynyk (offensive foul)
5:47.0,,,92-87,,Boston full timeout
5:47.0,,,92-87,,I. Thomas enters the game for K. Olynyk
5:47.0,,,92-87,,J. Sullinger enters the game for R. Hunter
5:47.0,M. Ellis enters the game for C. Budinger,,92-87,,
5:33.0,P. George makes 2-pt shot from 4 ft,2,94-87,,
5:22.0,,,94-87,,Turnover by I. Thomas (lost ball; steal by M. Ellis)
5:16.0,M. Ellis makes 2-pt shot at rim,2,96-87,,
5:07.0,,,96-87,,J. Sullinger misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by I. Mahinmi,,96-87,,
4:46.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George),2,98-87,,
4:30.0,,,98-89,2,E. Turner makes 2-pt shot from 12 ft (assist by J. Sullinger)
4:11.0,P. George makes 2-pt shot from 12 ft,2,100-89,,
4:05.0,Personal block foul by G. Hill (drawn by I. Thomas),,100-89,,
4:05.0,,,100-89,,Violation by Team (delay of game)
4:04.0,,,100-89,,J. Crowder enters the game for J. Jerebko
4:04.0,,,100-89,,R. Hunter enters the game for M. Smart
3:50.0,,,100-89,,Turnover by J. Sullinger (lost ball; steal by I. Mahinmi)
3:32.0,P. George misses 2-pt shot from 14 ft,,100-89,,
3:31.0,,,100-89,,Defensive rebound by I. Thomas
3:16.0,,,100-89,,Turnover by I. Thomas (step out of bounds)
3:12.0,Turnover by C. Miles (bad pass; steal by J. Crowder),,100-89,,
3:10.0,,,100-89,,Turnover by J. Sullinger (bad pass; steal by M. Ellis)
2:50.0,I. Mahinmi misses 2-pt shot from 2 ft,,100-89,,
2:49.0,,,100-89,,Defensive rebound by E. Turner
2:40.0,,,100-89,,Turnover by E. Turner (bad pass)
2:40.0,Indiana full timeout,,100-89,,
2:23.0,C. Miles misses 3-pt shot from 24 ft,,100-89,,
2:22.0,,,100-89,,Defensive rebound by J. Crowder
1:59.0,,,100-89,,J. Crowder misses 2-pt shot from 5 ft
1:58.0,Defensive rebound by C. Miles,,100-89,,
1:38.0,Turnover by I. Mahinmi (bad pass; steal by J. Crowder),,100-89,,
1:32.0,,,100-89,,I. Thomas misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by Team,,100-89,,
1:31.0,,,100-89,,Loose ball foul by J. Sullinger (drawn by P. George)
1:31.0,,,100-89,,T. Rozier enters the game for J. Crowder
1:14.0,P. George misses 2-pt shot from 3 ft (block by E. Turner),,100-89,,
1:13.0,Offensive rebound by Team,,100-89,,
1:07.0,P. George misses 2-pt shot from 18 ft,,100-89,,
1:06.0,,,100-89,,Defensive rebound by Team
1:06.0,Loose ball foul by G. Hill (drawn by J. Sullinger),,100-89,,
1:00.0,,,100-89,,I. Thomas misses 2-pt shot from 2 ft (block by I. Mahinmi)
0:59.0,,,100-89,,Offensive rebound by J. Sullinger
0:59.0,,,100-91,2,J. Sullinger makes 2-pt shot at rim
0:40.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,102-91,,
0:29.0,,,102-91,,T. Rozier misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by P. George,,102-91,,
0:04.0,M. Ellis misses 3-pt shot from 24 ft,,102-91,,
0:03.0,,,102-91,,Defensive rebound by E. Turner
0:00.0,End of 4th quarter,,,,End of 4th quarter
