time,Philadelphia,pts.away,score,pts.home,Oklahoma City
7:12.0,T. McConnell makes 2-pt shot from 23 ft (assist by J. Okafor),2,71-81,,
6:57.0,,,71-81,,Turnover by D. Augustin (bad pass; steal by J. Sampson)
6:39.0,N. Stauskas misses 3-pt shot from 24 ft,,71-81,,
6:38.0,,,71-81,,Defensive rebound by R. Westbrook
6:30.0,,,71-84,3,R. Westbrook makes 3-pt shot from 24 ft
6:28.0,Philadelphia full timeout,,71-84,,
6:28.0,,,71-84,,S. Ibaka enters the game for N. Collison
6:28.0,I. Canaan enters the game for J. Okafor,,71-84,,
6:28.0,H. Thompson enters the game for N. Stauskas,,71-84,,
6:28.0,J. Grant enters the game for J. Sampson,,71-84,,
6:16.0,Turnover by H. Thompson (bad pass; steal by S. Adams),,71-84,,
6:12.0,,,71-84,,Shooting foul by I. Canaan (drawn by R. Westbrook)
6:12.0,,,71-85,1,R. Westbrook makes free throw 1 of 2
6:12.0,,,71-86,1,R. Westbrook makes free throw 2 of 2
5:54.0,N. Noel misses 2-pt shot from 1 ft (block by S. Ibaka),,71-86,,
5:53.0,,,71-86,,Defensive rebound by R. Westbrook
5:50.0,,,71-88,2,D. Augustin makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:39.0,N. Noel misses 2-pt shot from 17 ft,,71-88,,
5:39.0,,,71-88,,Defensive rebound by S. Ibaka
5:22.0,,,71-88,,R. Westbrook misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by N. Noel,,71-88,,
5:16.0,I. Canaan misses 3-pt shot from 25 ft,,71-88,,
5:15.0,,,71-88,,Defensive rebound by S. Adams
5:01.0,,,71-88,,R. Westbrook misses 2-pt shot from 12 ft
5:00.0,Defensive rebound by H. Thompson,,71-88,,
4:51.0,J. Grant misses 3-pt shot from 22 ft,,71-88,,
4:51.0,,,71-88,,Defensive rebound by D. Augustin
4:40.0,,,71-90,2,S. Ibaka makes 2-pt shot at rim (assist by D. Augustin)
4:40.0,Philadelphia full timeout,,71-90,,
4:40.0,C. Wood enters the game for N. Noel,,71-90,,
4:40.0,P. Pressey enters the game for T. McConnell,,71-90,,
4:23.0,I. Canaan misses 2-pt shot from 12 ft (block by S. Ibaka),,71-90,,
4:22.0,Offensive rebound by J. Grant,,71-90,,
4:21.0,Shooting foul by S. Adams (drawn by J. Grant),,71-90,,
4:21.0,J. Grant misses free throw 1 of 2,,71-90,,
4:21.0,Offensive rebound by Team,,71-90,,
4:21.0,J. Grant makes free throw 2 of 2,1,72-90,,
4:02.0,,,72-90,,S. Ibaka misses 2-pt shot from 14 ft
4:02.0,Defensive rebound by Team,,72-90,,
3:48.0,Turnover by H. Thompson (lost ball; steal by D. Augustin),,72-90,,
3:37.0,,,72-90,,R. Westbrook misses 2-pt shot from 13 ft
3:36.0,,,72-90,,Offensive rebound by Team
3:27.0,,,72-90,,Turnover by R. Westbrook (bad pass; steal by C. Wood)
3:24.0,C. Wood makes 2-pt shot from 2 ft,2,74-90,,
3:24.0,Shooting foul by S. Ibaka (drawn by C. Wood),,74-90,,
3:24.0,J. Sampson enters the game for I. Canaan,,74-90,,
3:24.0,C. Wood makes free throw 1 of 1,1,75-90,,
3:18.0,,,75-90,,Oklahoma City full timeout
3:03.0,,,75-90,,D. Waiters misses 3-pt shot from 24 ft
3:02.0,,,75-90,,Offensive rebound by R. Westbrook
2:57.0,,,75-93,3,R. Westbrook makes 3-pt shot from 22 ft
2:41.0,Shooting foul by D. Augustin (drawn by J. Grant),,75-93,,
2:41.0,J. Grant makes free throw 1 of 2,1,76-93,,
2:41.0,J. Grant makes free throw 2 of 2,1,77-93,,
2:30.0,,,77-93,,Shooting foul by C. Wood (drawn by D. Augustin)
2:30.0,,,77-93,,D. Augustin misses free throw 1 of 2
2:30.0,,,77-93,,Offensive rebound by Team
2:30.0,,,77-94,1,D. Augustin makes free throw 2 of 2
2:19.0,J. Sampson misses 2-pt shot from 3 ft,,77-94,,
2:19.0,,,77-94,,Defensive rebound by R. Westbrook
2:00.0,,,77-96,2,D. Waiters makes 2-pt shot from 1 ft
1:50.0,P. Pressey misses 3-pt shot from 24 ft,,77-96,,
1:49.0,,,77-96,,Defensive rebound by S. Ibaka
1:38.0,,,77-96,,Shooting foul by J. Sampson (drawn by S. Ibaka)
1:38.0,,,77-97,1,S. Ibaka makes free throw 1 of 2
1:38.0,,,77-97,,C. Payne enters the game for S. Adams
1:38.0,,,77-97,,M. McGary enters the game for R. Westbrook
1:38.0,,,77-98,1,S. Ibaka makes free throw 2 of 2
1:24.0,J. Sampson makes 2-pt shot at rim,2,79-98,,
1:08.0,,,79-98,,D. Waiters misses 2-pt shot from 18 ft
1:08.0,Defensive rebound by Team,,79-98,,
1:08.0,,,79-98,,Loose ball foul by S. Ibaka (drawn by C. Wood)
1:08.0,C. Wood misses free throw 1 of 2,,79-98,,
1:08.0,Offensive rebound by Team,,79-98,,
1:08.0,,,79-98,,S. Novak enters the game for S. Ibaka
1:08.0,C. Wood makes free throw 2 of 2,1,80-98,,
0:58.0,,,80-101,3,S. Novak makes 3-pt shot from 23 ft (assist by M. McGary)
0:48.0,J. Grant misses 3-pt shot from 23 ft,,80-101,,
0:47.0,,,80-101,,Defensive rebound by S. Novak
0:42.0,,,80-101,,Shooting foul by J. Grant (drawn by M. McGary)
0:42.0,,,80-101,,M. McGary misses free throw 1 of 2
0:42.0,,,80-101,,Offensive rebound by Team
0:42.0,,,80-102,1,M. McGary makes free throw 2 of 2
0:32.0,J. Sampson makes 2-pt shot from 2 ft,2,82-102,,
0:12.0,,,82-102,,Turnover by C. Payne (step out of bounds)
0:05.0,C. Wood makes 3-pt shot from 23 ft (assist by P. Pressey),3,85-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
