time,LA Clippers,pts.away,score,pts.home,Orlando
3:05.0,Personal foul by J. Crawford (drawn by V. Oladipo),,100-86,,
3:05.0,,,100-87,1,V. Oladipo makes free throw 1 of 2
3:05.0,L. Stephenson enters the game for W. Johnson,,100-87,,
3:05.0,,,100-88,1,V. Oladipo makes free throw 2 of 2
2:43.0,J. Redick misses 3-pt shot from 24 ft,,100-88,,
2:43.0,,,100-88,,Defensive rebound by V. Oladipo
2:40.0,,,100-88,,Turnover by V. Oladipo (bad pass)
2:40.0,LA Clippers full timeout,,100-88,,
2:24.0,J. Redick makes 3-pt shot from 24 ft (assist by L. Stephenson),3,103-88,,
2:14.0,Personal foul by C. Paul (drawn by N. Vucevic),,103-88,,
2:14.0,,,103-88,,N. Vucevic misses free throw 1 of 2
2:14.0,,,103-88,,Offensive rebound by Team
2:14.0,,,103-88,,M. Hezonja enters the game for A. Gordon
2:14.0,,,103-88,,K. Appling enters the game for V. Oladipo
2:14.0,,,103-88,,S. Napier enters the game for E. Payton
2:14.0,,,103-88,,A. Nicholson enters the game for E. Fournier
2:14.0,,,103-89,1,N. Vucevic makes free throw 2 of 2
1:49.0,J. Redick misses 3-pt shot from 33 ft,,103-89,,
1:48.0,,,103-89,,Defensive rebound by Team
1:48.0,,,103-89,,D. Dedmon enters the game for N. Vucevic
1:48.0,C. Wilcox enters the game for J. Redick,,103-89,,
1:48.0,W. Johnson enters the game for C. Paul,,103-89,,
1:38.0,,,103-89,,S. Napier misses 2-pt shot from 2 ft (block by D. Jordan)
1:37.0,Defensive rebound by W. Johnson,,103-89,,
1:26.0,C. Wilcox misses 2-pt shot from 21 ft,,103-89,,
1:25.0,,,103-89,,Defensive rebound by A. Nicholson
1:09.0,,,103-89,,Shooting foul by L. Stephenson (drawn by D. Dedmon)
1:09.0,,,103-90,1,D. Dedmon makes free throw 1 of 2
1:09.0,J. Ayres enters the game for D. Jordan,,103-90,,
1:09.0,,,103-91,1,D. Dedmon makes free throw 2 of 2
0:49.0,L. Stephenson makes 2-pt shot at rim,2,105-91,,
0:43.0,,,105-91,,K. Appling misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by L. Stephenson,,105-91,,
0:21.0,L. Stephenson makes 2-pt shot from 18 ft,2,107-91,,
0:13.0,,,107-93,2,M. Hezonja makes 2-pt shot from 1 ft
0:12.0,,,107-93,,Personal foul by K. Appling (drawn by J. Crawford)
0:00.0,End of 4th quarter,,,,End of 4th quarter
