time,Dallas,pts.away,score,pts.home,Indiana
2:25.0,,,77-100,2,J. Young makes 2-pt shot from 20 ft (assist by S. Hill)
2:11.0,C. Villanueva misses 2-pt shot at rim,,77-100,,
2:09.0,Offensive rebound by J. McGee,,77-100,,
2:09.0,J. McGee makes 2-pt shot at rim,2,79-100,,
1:55.0,,,79-102,2,G. Robinson makes 2-pt shot from 15 ft
1:43.0,J. Barea makes 2-pt shot from 1 ft (assist by J. McGee),2,81-102,,
1:28.0,,,81-105,3,J. Young makes 3-pt shot from 25 ft (assist by S. Hill)
1:15.0,J. Barea misses 3-pt shot from 26 ft,,81-105,,
1:14.0,,,81-105,,Defensive rebound by C. Budinger
0:57.0,,,81-105,,C. Budinger misses 3-pt shot from 24 ft
0:56.0,,,81-105,,Offensive rebound by G. Robinson
0:56.0,,,81-105,,G. Robinson misses 2-pt shot at rim
0:55.0,Defensive rebound by C. Villanueva,,81-105,,
0:43.0,J. Anderson misses 2-pt shot from 1 ft,,81-105,,
0:40.0,,,81-105,,Defensive rebound by Team
0:27.0,,,81-107,2,L. Allen makes 2-pt shot from 3 ft (assist by G. Robinson)
0:15.0,J. Anderson misses 3-pt shot from 26 ft,,81-107,,
0:14.0,,,81-107,,Defensive rebound by J. Young
0:00.0,End of 4th quarter,,,,End of 4th quarter
