time,Charlotte,pts.away,score,pts.home,Houston
6:15.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Lin),3,79-79,,
5:58.0,,,79-82,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry)
5:33.0,F. Kaminsky misses 3-pt shot from 24 ft,,79-82,,
5:32.0,,,79-82,,Defensive rebound by J. Terry
5:14.0,,,79-84,2,T. Jones makes 2-pt shot at rim (assist by J. Terry)
5:14.0,Charlotte full timeout,,79-84,,
5:14.0,Charlotte full timeout,,79-84,,
5:14.0,,,79-84,,D. Howard enters the game for C. Capela
5:14.0,N. Batum enters the game for S. Hawes,,79-84,,
5:14.0,C. Zeller enters the game for J. Lamb,,79-84,,
5:05.0,,,79-84,,Personal foul by T. Ariza (drawn by K. Walker)
5:05.0,K. Walker makes free throw 1 of 2,1,80-84,,
5:05.0,K. Walker makes free throw 2 of 2,1,81-84,,
4:40.0,,,81-84,,T. Ariza misses 3-pt shot from 26 ft
4:39.0,Defensive rebound by F. Kaminsky,,81-84,,
4:20.0,N. Batum misses 3-pt shot from 22 ft,,81-84,,
4:19.0,,,81-84,,Defensive rebound by D. Howard
4:01.0,,,81-84,,T. Jones misses 2-pt shot from 5 ft
4:00.0,Defensive rebound by F. Kaminsky,,81-84,,
3:55.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,83-84,,
3:35.0,,,83-86,2,J. Harden makes 2-pt shot from 14 ft
3:15.0,J. Lin makes 2-pt shot from 2 ft,2,85-86,,
2:52.0,,,85-86,,Shooting foul by J. Lin (drawn by J. Harden)
2:52.0,,,85-86,,Houston full timeout
2:52.0,,,85-86,,P. Beverley enters the game for J. Terry
2:52.0,M. Williams enters the game for F. Kaminsky,,85-86,,
2:52.0,,,85-87,1,J. Harden makes free throw 1 of 2
2:52.0,,,85-88,1,J. Harden makes free throw 2 of 2
2:30.0,M. Williams makes 3-pt shot from 24 ft (assist by J. Lin),3,88-88,,
2:10.0,,,88-88,,J. Harden misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by C. Zeller,,88-88,,
1:55.0,J. Lin misses 3-pt shot from 24 ft,,88-88,,
1:54.0,Offensive rebound by C. Zeller,,88-88,,
1:41.0,,,88-88,,Personal foul by D. Howard (drawn by J. Lin)
1:41.0,,,88-88,,M. Thornton enters the game for D. Howard
1:41.0,J. Lin makes free throw 1 of 2,1,89-88,,
1:41.0,J. Lin misses free throw 2 of 2,,89-88,,
1:41.0,,,89-88,,Defensive rebound by J. Harden
1:25.0,,,89-90,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
1:25.0,,,89-90,,Shooting foul by C. Zeller (drawn by T. Jones)
1:25.0,,,89-90,,C. Brewer enters the game for M. Thornton
1:25.0,,,89-91,1,T. Jones makes free throw 1 of 1
1:05.0,Turnover by K. Walker (bad pass; steal by T. Ariza),,89-91,,
0:49.0,,,89-91,,C. Brewer misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by C. Zeller,,89-91,,
0:38.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lin),2,91-91,,
0:32.0,,,91-91,,Shooting foul by M. Williams (drawn by J. Harden)
0:32.0,,,91-93,2,J. Harden makes 2-pt shot from 1 ft
0:32.0,,,91-94,1,J. Harden makes free throw 1 of 1
0:32.0,Charlotte full timeout,,91-94,,
0:27.0,C. Zeller misses 2-pt shot at rim (block by T. Jones),,91-94,,
0:26.0,,,91-94,,Defensive rebound by P. Beverley
0:24.0,Personal foul by K. Walker (drawn by P. Beverley),,91-94,,
0:24.0,,,91-95,1,P. Beverley makes free throw 1 of 2
0:24.0,,,91-96,1,P. Beverley makes free throw 2 of 2
0:24.0,Charlotte full timeout,,91-96,,
0:23.0,,,91-96,,Personal foul by C. Brewer (drawn by J. Lin)
0:23.0,J. Lin makes free throw 1 of 2,1,92-96,,
0:23.0,,,92-96,,C. Capela enters the game for C. Brewer
0:23.0,J. Lin makes free throw 2 of 2,1,93-96,,
0:23.0,,,93-96,,Houston full timeout
0:23.0,,,93-96,,J. Terry enters the game for C. Capela
0:23.0,,,93-96,,M. Thornton enters the game for T. Jones
0:21.0,Personal foul by K. Walker (drawn by P. Beverley),,93-96,,
0:21.0,,,93-96,,P. Beverley misses free throw 1 of 2
0:21.0,,,93-96,,Offensive rebound by Team
0:21.0,,,93-97,1,P. Beverley makes free throw 2 of 2
0:17.0,,,93-97,,Personal foul by P. Beverley (drawn by J. Lin)
0:17.0,J. Lin misses free throw 1 of 2,,93-97,,
0:17.0,Offensive rebound by Team,,93-97,,
0:17.0,,,93-97,,T. Jones enters the game for M. Thornton
0:17.0,,,93-97,,C. Capela enters the game for J. Terry
0:17.0,J. Lin misses free throw 2 of 2,,93-97,,
0:16.0,,,93-97,,Defensive rebound by T. Jones
0:16.0,,,93-97,,Personal foul by C. Capela (drawn by K. Walker)
0:16.0,Personal foul by K. Walker,,93-97,,
0:16.0,,,93-97,,M. Thornton enters the game for T. Jones
0:16.0,,,93-97,,J. Terry enters the game for C. Capela
0:14.0,Personal foul by C. Zeller (drawn by J. Harden),,93-97,,
0:14.0,,,93-98,1,J. Harden makes free throw 1 of 2
0:14.0,,,93-99,1,J. Harden makes free throw 2 of 2
0:09.0,J. Lin makes 2-pt shot at rim,2,95-99,,
0:09.0,Away from play foul by C. Zeller (drawn by J. Harden),,95-99,,
0:09.0,F. Kaminsky enters the game for C. Zeller,,95-99,,
0:09.0,,,95-100,1,J. Harden makes free throw 1 of 1
0:07.0,Personal foul by M. Williams (drawn by M. Thornton),,95-100,,
0:07.0,,,95-101,1,M. Thornton makes free throw 1 of 2
0:07.0,,,95-102,1,M. Thornton makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
